# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_f460328e6bb25e1108fb"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "70Ge^+(2P)"
# neutral: "Ar"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 69.9242, M = 39.948, &alpha; = 1.6425."
# updated: "2022-02-23 19:32:54"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14054_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "67f1f9d32e4eb30969ec23a3c3d3ad70f3dd6d323be4075ec492cbe14fedd9c7"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,5.832560112422e+21
2.000000000000e-01,5.832560112422e+21
7.800000000000e-01,5.832560112422e+21
1.370000000000e+00,5.832560112422e+21
2.390000000000e+00,5.832560112422e+21
3.350000000000e+00,5.832560112422e+21
4.690000000000e+00,5.832560112422e+21
5.630000000000e+00,5.832560112422e+21
6.750000000000e+00,5.832294947842e+21
7.770000000000e+00,5.832294947842e+21
8.930000000000e+00,5.832294947842e+21
1.027000000000e+01,5.832294947842e+21
1.181000000000e+01,5.832294947842e+21
1.299000000000e+01,5.832029783261e+21
1.429000000000e+01,5.832029783261e+21
1.501000000000e+01,5.832029783261e+21
1.576000000000e+01,5.832029783261e+21
1.654000000000e+01,5.832029783261e+21
1.737000000000e+01,5.832294947842e+21
1.824000000000e+01,5.832294947842e+21
1.915000000000e+01,5.832294947842e+21
2.011000000000e+01,5.832294947842e+21
2.111000000000e+01,5.832560112422e+21
2.217000000000e+01,5.832560112422e+21
2.328000000000e+01,5.832825277003e+21
2.444000000000e+01,5.833090441583e+21
2.543000000000e+01,5.833355606164e+21
2.645000000000e+01,5.833620770744e+21
2.807000000000e+01,5.834151099905e+21
2.863000000000e+01,5.834416264486e+21
2.979000000000e+01,5.834946593647e+21
3.038000000000e+01,5.835211758227e+21
3.099000000000e+01,5.835476922808e+21
3.354000000000e+01,5.836802745710e+21
3.851000000000e+01,5.840249885256e+21
4.006000000000e+01,5.841575708159e+21
4.085000000000e+01,5.842371201900e+21
4.167000000000e+01,5.843166695642e+21
4.249000000000e+01,5.843962189383e+21
4.334000000000e+01,5.844757683125e+21
4.689000000000e+01,5.848735151832e+21
4.782000000000e+01,5.849795810154e+21
4.876000000000e+01,5.851121633056e+21
5.172000000000e+01,5.854833937183e+21
5.274000000000e+01,5.856159760086e+21
5.379000000000e+01,5.857750747569e+21
5.485000000000e+01,5.859341735052e+21
5.593000000000e+01,5.860932722535e+21
5.704000000000e+01,5.862788874598e+21
5.816000000000e+01,5.864645026661e+21
5.931000000000e+01,5.866501178725e+21
6.048000000000e+01,5.868622495369e+21
6.167000000000e+01,5.871008976593e+21
6.288000000000e+01,5.873395457817e+21
6.411000000000e+01,5.875781939042e+21
6.537000000000e+01,5.878698749427e+21
6.665000000000e+01,5.881615559813e+21
6.796000000000e+01,5.884532370198e+21
6.929000000000e+01,5.887979509744e+21
7.064000000000e+01,5.891426649291e+21
7.202000000000e+01,5.895138953418e+21
7.343000000000e+01,5.899116422125e+21
7.486000000000e+01,5.903624219993e+21
7.632000000000e+01,5.908132017861e+21
7.931000000000e+01,5.918208271920e+21
8.084000000000e+01,5.924041892691e+21
8.399000000000e+01,5.936769792554e+21
8.725000000000e+01,5.951353844481e+21
8.892000000000e+01,5.959043617315e+21
9.062000000000e+01,5.966998554730e+21
9.234000000000e+01,5.975748985886e+21
9.409000000000e+01,5.985029746203e+21
9.586000000000e+01,5.994575671101e+21
9.949000000000e+01,6.015523672959e+21
1.013400000000e+02,6.026130256179e+21
1.032100000000e+02,6.037002003979e+21
1.051100000000e+02,6.048669245520e+21
1.070300000000e+02,6.059806157901e+21
1.089800000000e+02,6.072003728603e+21
1.129300000000e+02,6.097459528330e+21
1.149600000000e+02,6.110982921935e+21
1.212300000000e+02,6.149166621525e+21
1.340600000000e+02,6.216253260389e+21
1.409900000000e+02,6.252050478755e+21
1.433400000000e+02,6.266899695262e+21
1.579600000000e+02,6.350161373536e+21
1.684300000000e+02,6.410884062467e+21
1.826900000000e+02,6.493085082419e+21
1.857500000000e+02,6.509525286409e+21
1.888700000000e+02,6.524904832077e+21
1.920800000000e+02,6.540284377746e+21
1.953800000000e+02,6.555398758834e+21
2.254600000000e+02,6.654835476517e+21
2.297600000000e+02,6.664381401414e+21
2.342200000000e+02,6.671010515926e+21
2.435700000000e+02,6.683473251209e+21
2.535800000000e+02,6.693284340688e+21
2.588400000000e+02,6.695140492751e+21
2.642800000000e+02,6.695935986492e+21
2.699100000000e+02,6.694610163590e+21
2.757300000000e+02,6.691958517785e+21
2.817600000000e+02,6.687450719917e+21
2.944500000000e+02,6.673662161731e+21
3.011200000000e+02,6.664116236834e+21
3.080200000000e+02,6.652714159873e+21
3.151700000000e+02,6.639986260009e+21
3.225500000000e+02,6.625402208082e+21
3.380700000000e+02,6.591726306360e+21
3.462400000000e+02,6.572104127404e+21
3.546800000000e+02,6.551421290126e+21
3.633900000000e+02,6.528086807043e+21
4.114200000000e+02,6.396565175121e+21
4.328800000000e+02,6.335046992448e+21
4.441300000000e+02,6.301901419887e+21
4.557100000000e+02,6.269551341067e+21
4.676800000000e+02,6.235345110184e+21
4.799700000000e+02,6.200608550140e+21
4.926600000000e+02,6.165341660935e+21
5.057400000000e+02,6.129544442569e+21
5.192100000000e+02,6.093216895042e+21
5.330800000000e+02,6.056093853774e+21
5.473600000000e+02,6.018970812506e+21
5.773700000000e+02,5.943133742486e+21
5.927800000000e+02,5.906541030379e+21
6.596100000000e+02,5.752745573695e+21
6.959300000000e+02,5.674256857871e+21
7.148400000000e+02,5.636073158280e+21
7.342700000000e+02,5.597359129529e+21
7.542200000000e+02,5.559705759100e+21
7.747400000000e+02,5.520991730348e+21
7.957700000000e+02,5.483338359919e+21
8.173700000000e+02,5.445950154070e+21
8.395500000000e+02,5.408827112802e+21
8.623200000000e+02,5.371438906953e+21
8.856600000000e+02,5.334846194846e+21
9.096200000000e+02,5.296397330675e+21
9.341800000000e+02,5.262721428953e+21
9.594100000000e+02,5.226924210587e+21
9.852600000000e+02,5.191922485962e+21
1.011780000000e+03,5.156655596757e+21
1.124580000000e+03,5.021156496128e+21
1.154650000000e+03,4.988010923567e+21
1.185380000000e+03,4.951948540620e+21
1.216820000000e+03,4.920659120123e+21
1.282160000000e+03,4.860731924932e+21
1.316060000000e+03,4.829707669015e+21
1.350740000000e+03,4.799478906840e+21
1.386260000000e+03,4.767924321761e+21
1.459880000000e+03,4.710913936956e+21
1.498020000000e+03,4.682276162264e+21
1.537080000000e+03,4.654168716732e+21
1.577060000000e+03,4.625265777459e+21
1.617970000000e+03,4.599014483990e+21
1.659890000000e+03,4.571967696781e+21
1.791660000000e+03,4.493744145536e+21
1.837610000000e+03,4.468288345810e+21
1.982170000000e+03,4.394837757014e+21
2.032520000000e+03,4.371238109351e+21
2.084090000000e+03,4.347903626268e+21
2.136840000000e+03,4.325099472346e+21
2.190830000000e+03,4.302295318424e+21
2.245990000000e+03,4.280286658243e+21
2.302450000000e+03,4.258277998063e+21
2.360140000000e+03,4.237329996204e+21
2.419180000000e+03,4.216381994346e+21
2.541120000000e+03,4.175281484370e+21
2.604130000000e+03,4.155394140833e+21
2.668520000000e+03,4.136037126458e+21
2.801510000000e+03,4.097323097706e+21
