# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_ac61b0bfd076a7bb4c1d"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "70Ge^+(2P3/2)"
# neutral: "Ar"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 69.9242, M = 39.948, &alpha; = 1.6425."
# updated: "2022-01-20 22:04:57"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14056_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "c1eeee5f327a2570eb943563b1a97e63aa22b6647bb57e9437abedbbcb3beb77"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,5.180000000000e+19
1.400000000000e-01,5.180000000000e+19
5.400000000000e-01,5.180000000000e+19
9.500000000000e-01,5.180000000000e+19
1.660000000000e+00,5.190000000000e+19
3.260000000000e+00,5.230000000000e+19
3.920000000000e+00,5.250000000000e+19
4.700000000000e+00,5.280000000000e+19
5.400000000000e+00,5.310000000000e+19
6.210000000000e+00,5.360000000000e+19
7.150000000000e+00,5.420000000000e+19
8.220000000000e+00,5.490000000000e+19
9.040000000000e+00,5.560000000000e+19
1.045000000000e+01,5.690000000000e+19
1.152000000000e+01,5.800000000000e+19
1.401000000000e+01,6.100000000000e+19
1.622000000000e+01,6.410000000000e+19
1.772000000000e+01,6.650000000000e+19
1.808000000000e+01,6.710000000000e+19
1.844000000000e+01,6.780000000000e+19
1.881000000000e+01,6.840000000000e+19
1.919000000000e+01,6.910000000000e+19
1.957000000000e+01,6.980000000000e+19
2.249000000000e+01,7.560000000000e+19
2.294000000000e+01,7.660000000000e+19
2.340000000000e+01,7.760000000000e+19
2.387000000000e+01,7.870000000000e+19
2.435000000000e+01,7.980000000000e+19
2.484000000000e+01,8.090000000000e+19
2.534000000000e+01,8.210000000000e+19
2.637000000000e+01,8.470000000000e+19
2.744000000000e+01,8.750000000000e+19
3.091000000000e+01,9.740000000000e+19
3.153000000000e+01,9.930000000000e+19
3.216000000000e+01,1.014000000000e+20
3.280000000000e+01,1.036000000000e+20
3.346000000000e+01,1.058000000000e+20
3.413000000000e+01,1.081000000000e+20
3.481000000000e+01,1.106000000000e+20
3.551000000000e+01,1.131000000000e+20
3.621000000000e+01,1.158000000000e+20
3.694000000000e+01,1.186000000000e+20
3.767000000000e+01,1.215000000000e+20
3.842000000000e+01,1.245000000000e+20
3.919000000000e+01,1.277000000000e+20
3.997000000000e+01,1.311000000000e+20
4.076000000000e+01,1.346000000000e+20
4.157000000000e+01,1.382000000000e+20
4.239000000000e+01,1.421000000000e+20
4.323000000000e+01,1.461000000000e+20
4.409000000000e+01,1.502000000000e+20
