# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_e50370bb8298a1832e45"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "72Ge^+(2P)"
# neutral: "Ar"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 39.948, &alpha; = 1.6425."
# updated: "2022-02-27 21:43:30"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14060_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "170ce2367bd9b17565501c22ceabfdad0fd0e9b4e059d84f5a887f797e72c384"
reduced_electric_field_Td,reduced_transport_SI
7.000000000000e-02,5.839189226934e+21
2.800000000000e-01,5.839189226934e+21
1.100000000000e+00,5.839189226934e+21
1.930000000000e+00,5.839189226934e+21
4.730000000000e+00,5.839454391515e+21
6.620000000000e+00,5.839719556095e+21
7.950000000000e+00,5.839984720676e+21
1.097000000000e+01,5.840780214417e+21
1.261000000000e+01,5.841310543578e+21
1.834000000000e+01,5.843962189383e+21
2.223000000000e+01,5.846083506027e+21
2.334000000000e+01,5.846878999769e+21
2.573000000000e+01,5.848469987252e+21
2.701000000000e+01,5.849530645574e+21
2.835000000000e+01,5.850591303895e+21
2.977000000000e+01,5.851917126798e+21
3.125000000000e+01,5.853242949700e+21
3.443000000000e+01,5.856424924666e+21
3.512000000000e+01,5.857220418408e+21
3.582000000000e+01,5.858015912149e+21
3.653000000000e+01,5.858811405891e+21
3.725000000000e+01,5.859606899632e+21
3.952000000000e+01,5.862258545437e+21
4.031000000000e+01,5.863319203759e+21
4.192000000000e+01,5.865440520403e+21
4.624000000000e+01,5.872069634915e+21
4.715000000000e+01,5.873660622398e+21
4.809000000000e+01,5.875251609881e+21
4.904000000000e+01,5.876842597364e+21
5.099000000000e+01,5.880289736910e+21
5.302000000000e+01,5.884267205617e+21
5.407000000000e+01,5.886388522261e+21
5.513000000000e+01,5.888775003486e+21
5.622000000000e+01,5.890896320130e+21
6.316000000000e+01,5.908132017861e+21
6.565000000000e+01,5.915291461535e+21
6.693000000000e+01,5.919268930242e+21
6.824000000000e+01,5.923246398949e+21
6.956000000000e+01,5.927489032237e+21
7.091000000000e+01,5.931996830105e+21
7.228000000000e+01,5.936769792554e+21
7.368000000000e+01,5.941807919583e+21
7.655000000000e+01,5.952679667383e+21
7.802000000000e+01,5.958513288154e+21
7.952000000000e+01,5.964612073505e+21
8.104000000000e+01,5.970976023437e+21
8.258000000000e+01,5.977870302530e+21
8.416000000000e+01,5.985029746203e+21
8.575000000000e+01,5.992454354457e+21
8.737000000000e+01,6.000409291871e+21
8.902000000000e+01,6.008629393867e+21
9.069000000000e+01,6.017114660442e+21
9.239000000000e+01,6.026130256179e+21
9.412000000000e+01,6.035145851915e+21
9.587000000000e+01,6.044426612232e+21
9.764000000000e+01,6.054502866291e+21
9.944000000000e+01,6.064844284930e+21
1.012700000000e+02,6.075185703569e+21
1.031200000000e+02,6.086322615950e+21
1.088200000000e+02,6.121059175994e+21
1.107700000000e+02,6.132196088374e+21
1.127400000000e+02,6.143863329916e+21
1.147500000000e+02,6.155530571457e+21
1.167700000000e+02,6.167728142160e+21
1.188200000000e+02,6.179925712862e+21
1.230100000000e+02,6.205116348008e+21
1.251400000000e+02,6.217313918711e+21
1.294900000000e+02,6.242769718438e+21
1.339400000000e+02,6.270611999389e+21
1.432200000000e+02,6.320462940521e+21
1.504900000000e+02,6.359972463014e+21
1.555400000000e+02,6.386488921062e+21
1.634600000000e+02,6.429710747682e+21
1.689900000000e+02,6.457553028633e+21
1.718400000000e+02,6.472137080560e+21
1.807600000000e+02,6.511646603053e+21
2.241500000000e+02,6.651123172390e+21
2.329800000000e+02,6.663585907673e+21
2.376100000000e+02,6.668358870122e+21
2.423900000000e+02,6.672071174248e+21
2.473300000000e+02,6.674457655473e+21
2.524200000000e+02,6.675518313795e+21
2.576900000000e+02,6.675253149214e+21
2.631400000000e+02,6.673662161731e+21
2.687700000000e+02,6.670745351346e+21
2.745800000000e+02,6.666237553478e+21
2.868200000000e+02,6.650327678648e+21
3.067500000000e+02,6.622750562278e+21
3.138600000000e+02,6.608166510351e+21
3.211900000000e+02,6.593052129263e+21
3.287800000000e+02,6.576346760692e+21
3.366100000000e+02,6.558315569219e+21
3.447100000000e+02,6.538958554843e+21
3.530800000000e+02,6.517745388404e+21
3.617200000000e+02,6.495471563643e+21
3.706400000000e+02,6.471871915980e+21
3.798600000000e+02,6.446946445414e+21
3.991700000000e+02,6.392587706414e+21
4.093100000000e+02,6.363949931721e+21
4.197600000000e+02,6.334781827867e+21
4.305500000000e+02,6.304553065692e+21
4.416700000000e+02,6.273528809774e+21
4.531500000000e+02,6.241178730955e+21
4.771600000000e+02,6.173031433769e+21
4.897300000000e+02,6.138825202886e+21
5.026500000000e+02,6.104618972003e+21
5.159900000000e+02,6.068821753637e+21
5.297100000000e+02,6.032759370691e+21
5.438500000000e+02,5.996166658584e+21
6.046700000000e+02,5.847144164349e+21
6.209700000000e+02,5.808960464759e+21
6.549900000000e+02,5.733123394739e+21
6.727100000000e+02,5.694939695149e+21
6.909300000000e+02,5.657021160139e+21
7.096500000000e+02,5.619367789710e+21
7.289100000000e+02,5.581184090119e+21
7.486600000000e+02,5.543530719690e+21
7.689600000000e+02,5.505877349261e+21
7.898100000000e+02,5.468754307992e+21
8.112300000000e+02,5.431366102143e+21
8.788200000000e+02,5.319996978338e+21
9.026200000000e+02,5.285790747455e+21
9.519400000000e+02,5.214461475304e+21
9.776300000000e+02,5.179194586099e+21
1.030870000000e+03,5.109986630591e+21
1.086830000000e+03,5.042634827147e+21
1.115860000000e+03,5.009224090006e+21
1.145620000000e+03,4.972631377898e+21
1.207230000000e+03,4.912704182708e+21
1.239370000000e+03,4.880884433049e+21
1.272170000000e+03,4.849595012552e+21
1.305760000000e+03,4.818835921215e+21
1.375540000000e+03,4.758378396864e+21
