# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_d343cd356d71edd1d664"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "72Ge^+(2P3/2)"
# neutral: "Ar"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 39.948, &alpha; = 1.6425."
# updated: "2022-01-20 22:04:42"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14064_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "f6a5d63bb14beb9de8dea40d63cfa1877d02fc938da46e5989f06c0d78641bd9"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,5.954270654866e+21
2.300000000000e-01,5.954270654866e+21
9.400000000000e-01,5.954270654866e+21
2.870000000000e+00,5.954535819447e+21
4.020000000000e+00,5.954800984027e+21
5.620000000000e+00,5.955331313188e+21
6.750000000000e+00,5.955861642349e+21
9.310000000000e+00,5.957717794413e+21
1.071000000000e+01,5.958778452735e+21
1.231000000000e+01,5.960104275637e+21
1.415000000000e+01,5.961960427701e+21
1.556000000000e+01,5.963816579764e+21
1.711000000000e+01,5.965672731827e+21
1.797000000000e+01,5.966998554730e+21
1.886000000000e+01,5.968324377632e+21
1.980000000000e+01,5.969650200535e+21
2.078000000000e+01,5.971241188018e+21
2.182000000000e+01,5.972832175501e+21
2.290000000000e+01,5.974688327564e+21
2.404000000000e+01,5.976809644208e+21
2.523000000000e+01,5.979196125432e+21
2.648000000000e+01,5.981582606657e+21
2.780000000000e+01,5.984234252462e+21
2.917000000000e+01,5.987151062847e+21
2.975000000000e+01,5.988476885749e+21
3.034000000000e+01,5.989802708652e+21
3.094000000000e+01,5.991128531554e+21
3.155000000000e+01,5.992454354457e+21
3.218000000000e+01,5.994045341940e+21
3.281000000000e+01,5.995636329423e+21
3.346000000000e+01,5.997227316906e+21
3.412000000000e+01,5.998818304388e+21
3.479000000000e+01,6.000409291871e+21
3.548000000000e+01,6.002000279354e+21
3.618000000000e+01,6.003856431418e+21
3.911000000000e+01,6.011281039671e+21
3.988000000000e+01,6.013402356315e+21
4.067000000000e+01,6.015523672959e+21
4.146000000000e+01,6.017910154184e+21
4.228000000000e+01,6.020031470828e+21
4.311000000000e+01,6.022417952052e+21
4.395000000000e+01,6.024804433276e+21
4.481000000000e+01,6.027190914501e+21
4.569000000000e+01,6.029842560306e+21
4.658000000000e+01,6.032494206110e+21
4.749000000000e+01,6.035145851915e+21
4.842000000000e+01,6.037797497720e+21
4.936000000000e+01,6.040714308106e+21
5.033000000000e+01,6.043365953911e+21
5.131000000000e+01,6.046547928876e+21
5.436000000000e+01,6.055033195452e+21
5.542000000000e+01,6.058215170418e+21
5.871000000000e+01,6.068026259896e+21
5.985000000000e+01,6.071738564023e+21
6.101000000000e+01,6.075185703569e+21
6.219000000000e+01,6.078898007696e+21
6.340000000000e+01,6.082610311823e+21
6.462000000000e+01,6.086322615950e+21
6.587000000000e+01,6.090300084657e+21
6.714000000000e+01,6.094542717945e+21
6.844000000000e+01,6.098520186652e+21
6.976000000000e+01,6.103027984520e+21
7.110000000000e+01,6.107535782389e+21
7.247000000000e+01,6.112043580257e+21
7.387000000000e+01,6.116816542706e+21
7.529000000000e+01,6.121854669735e+21
7.674000000000e+01,6.126892796764e+21
7.821000000000e+01,6.132196088374e+21
7.971000000000e+01,6.137764544564e+21
8.124000000000e+01,6.143333000755e+21
8.279000000000e+01,6.149166621525e+21
8.438000000000e+01,6.154735077716e+21
8.599000000000e+01,6.161099027647e+21
8.763000000000e+01,6.167462977579e+21
8.931000000000e+01,6.174092092091e+21
9.101000000000e+01,6.180721206603e+21
9.274000000000e+01,6.187880650277e+21
9.450000000000e+01,6.195040093950e+21
9.629000000000e+01,6.202464702204e+21
1.018500000000e+02,6.227125008189e+21
1.057200000000e+02,6.242504553857e+21
1.077000000000e+02,6.250724655852e+21
1.097000000000e+02,6.259475087009e+21
1.117500000000e+02,6.267695189004e+21
1.138300000000e+02,6.276180455579e+21
1.159400000000e+02,6.284930886735e+21
