# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_468dc11f3cf0c93b1a59"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "73Ge^+(2P3/2)"
# neutral: "Ar"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 72.9235, M = 39.948, &alpha; = 1.6425."
# updated: "2022-01-20 22:04:24"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14069_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "9e9437ac371cfc8faef6022142213251750570bd5a7e4a51089814bd508a260c"
reduced_electric_field_Td,reduced_transport_SI
7.000000000000e-02,2.648000000000e+20
3.000000000000e-01,2.648000000000e+20
2.080000000000e+00,2.650000000000e+20
3.640000000000e+00,2.654000000000e+20
5.090000000000e+00,2.661000000000e+20
8.550000000000e+00,2.684000000000e+20
1.026000000000e+01,2.703000000000e+20
1.357000000000e+01,2.746000000000e+20
1.560000000000e+01,2.778000000000e+20
1.794000000000e+01,2.820000000000e+20
1.972000000000e+01,2.856000000000e+20
2.169000000000e+01,2.900000000000e+20
2.277000000000e+01,2.926000000000e+20
2.390000000000e+01,2.955000000000e+20
2.634000000000e+01,3.022000000000e+20
2.765000000000e+01,3.060000000000e+20
2.903000000000e+01,3.103000000000e+20
3.047000000000e+01,3.150000000000e+20
3.198000000000e+01,3.202000000000e+20
3.357000000000e+01,3.259000000000e+20
3.523000000000e+01,3.323000000000e+20
3.698000000000e+01,3.393000000000e+20
3.771000000000e+01,3.423000000000e+20
3.846000000000e+01,3.455000000000e+20
3.922000000000e+01,3.488000000000e+20
3.999000000000e+01,3.522000000000e+20
4.326000000000e+01,3.675000000000e+20
4.411000000000e+01,3.718000000000e+20
4.498000000000e+01,3.762000000000e+20
4.587000000000e+01,3.807000000000e+20
4.677000000000e+01,3.855000000000e+20
4.769000000000e+01,3.905000000000e+20
4.863000000000e+01,3.957000000000e+20
4.959000000000e+01,4.011000000000e+20
5.056000000000e+01,4.068000000000e+20
5.156000000000e+01,4.126000000000e+20
5.257000000000e+01,4.188000000000e+20
5.360000000000e+01,4.252000000000e+20
5.465000000000e+01,4.319000000000e+20
5.573000000000e+01,4.389000000000e+20
5.682000000000e+01,4.462000000000e+20
5.793000000000e+01,4.537000000000e+20
6.260000000000e+01,4.875000000000e+20
6.763000000000e+01,5.276000000000e+20
6.895000000000e+01,5.388000000000e+20
7.029000000000e+01,5.505000000000e+20
7.165000000000e+01,5.627000000000e+20
7.304000000000e+01,5.757000000000e+20
7.446000000000e+01,5.890000000000e+20
7.590000000000e+01,6.029000000000e+20
7.737000000000e+01,6.176000000000e+20
7.886000000000e+01,6.329000000000e+20
8.039000000000e+01,6.490000000000e+20
8.194000000000e+01,6.658000000000e+20
8.351000000000e+01,6.832000000000e+20
8.512000000000e+01,7.014000000000e+20
8.675000000000e+01,7.205000000000e+20
8.841000000000e+01,7.404000000000e+20
9.010000000000e+01,7.612000000000e+20
9.182000000000e+01,7.829000000000e+20
9.357000000000e+01,8.054000000000e+20
9.535000000000e+01,8.290000000000e+20
9.716000000000e+01,8.534000000000e+20
9.900000000000e+01,8.787000000000e+20
1.008700000000e+02,9.052000000000e+20
1.027800000000e+02,9.325000000000e+20
1.047100000000e+02,9.609000000000e+20
1.066800000000e+02,9.903000000000e+20
1.086800000000e+02,1.020600000000e+21
1.107100000000e+02,1.052000000000e+21
1.127800000000e+02,1.084400000000e+21
1.148800000000e+02,1.117600000000e+21
1.213900000000e+02,1.223400000000e+21
1.236300000000e+02,1.260400000000e+21
1.259100000000e+02,1.298000000000e+21
1.282200000000e+02,1.336900000000e+21
1.305800000000e+02,1.377400000000e+21
1.329800000000e+02,1.418200000000e+21
1.354100000000e+02,1.459600000000e+21
1.378900000000e+02,1.500300000000e+21
1.429800000000e+02,1.590600000000e+21
1.455900000000e+02,1.636200000000e+21
1.565300000000e+02,1.828200000000e+21
1.653300000000e+02,1.981100000000e+21
1.847200000000e+02,2.349500000000e+21
1.918200000000e+02,2.476000000000e+21
2.112600000000e+02,2.759200000000e+21
2.336600000000e+02,3.044000000000e+21
2.385400000000e+02,3.129600000000e+21
2.435700000000e+02,3.206600000000e+21
2.487600000000e+02,3.283300000000e+21
2.541100000000e+02,3.355900000000e+21
2.596300000000e+02,3.449100000000e+21
2.653200000000e+02,3.533100000000e+21
2.772500000000e+02,3.698100000000e+21
2.835000000000e+02,3.790100000000e+21
2.966100000000e+02,3.969600000000e+21
3.034800000000e+02,4.065200000000e+21
3.105700000000e+02,4.161500000000e+21
3.178900000000e+02,4.260800000000e+21
3.254500000000e+02,4.352000000000e+21
3.495900000000e+02,4.696700000000e+21
