# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_b3e496ab6e1ccdc595a2"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "73Ge^+(2P3/2)"
# neutral: "Ar"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 72.9235, M = 39.948, &alpha; = 1.6425."
# updated: "2022-01-20 22:04:24"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14069_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "7fdc33b3bb648add1eec6c7c9ed608afef5e7d379d78f63960c887c0b69bf121"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,5.873660622398e+21
1.900000000000e-01,5.873660622398e+21
7.800000000000e-01,5.873660622398e+21
1.360000000000e+00,5.873660622398e+21
3.330000000000e+00,5.873925786978e+21
4.660000000000e+00,5.874190951559e+21
6.700000000000e+00,5.874721280720e+21
8.860000000000e+00,5.875516774461e+21
1.172000000000e+01,5.877107761944e+21
1.289000000000e+01,5.877903255686e+21
1.418000000000e+01,5.878963914008e+21
1.489000000000e+01,5.879494243169e+21
1.641000000000e+01,5.880820066071e+21
1.809000000000e+01,5.882676218135e+21
1.899000000000e+01,5.883736876457e+21
1.993000000000e+01,5.884797534778e+21
2.093000000000e+01,5.886123357681e+21
2.306000000000e+01,5.889305332647e+21
2.421000000000e+01,5.891161484710e+21
2.469000000000e+01,5.891956978452e+21
2.518000000000e+01,5.892752472193e+21
2.568000000000e+01,5.893547965935e+21
2.619000000000e+01,5.894608624257e+21
2.671000000000e+01,5.895404117998e+21
2.724000000000e+01,5.896464776320e+21
2.778000000000e+01,5.897525434642e+21
2.833000000000e+01,5.898586092964e+21
2.947000000000e+01,5.900972574188e+21
3.005000000000e+01,5.902298397091e+21
3.065000000000e+01,5.903624219993e+21
3.125000000000e+01,5.904950042896e+21
3.187000000000e+01,5.906541030379e+21
3.250000000000e+01,5.907866853281e+21
3.314000000000e+01,5.909457840764e+21
3.380000000000e+01,5.911313992827e+21
3.446000000000e+01,5.912904980310e+21
3.654000000000e+01,5.918208271920e+21
3.726000000000e+01,5.920329588564e+21
3.799000000000e+01,5.922450905208e+21
3.874000000000e+01,5.924837386432e+21
3.950000000000e+01,5.926958703076e+21
4.028000000000e+01,5.929345184301e+21
4.107000000000e+01,5.931731665525e+21
4.187000000000e+01,5.934383311330e+21
4.269000000000e+01,5.937300121715e+21
4.352000000000e+01,5.939951767520e+21
4.794000000000e+01,5.954535819447e+21
4.887000000000e+01,5.957717794413e+21
4.982000000000e+01,5.961164933959e+21
5.177000000000e+01,5.967794048471e+21
5.277000000000e+01,5.971506352598e+21
5.379000000000e+01,5.974953492145e+21
5.483000000000e+01,5.978665796271e+21
5.588000000000e+01,5.982378100398e+21
5.696000000000e+01,5.986355569106e+21
5.806000000000e+01,5.990067873232e+21
5.917000000000e+01,5.994310506520e+21
6.031000000000e+01,5.998287975227e+21
6.147000000000e+01,6.002530608515e+21
6.264000000000e+01,6.007038406384e+21
6.384000000000e+01,6.011281039671e+21
6.507000000000e+01,6.015523672959e+21
6.631000000000e+01,6.020031470828e+21
6.758000000000e+01,6.024804433276e+21
6.887000000000e+01,6.029577395725e+21
7.018000000000e+01,6.034615522754e+21
7.152000000000e+01,6.039388485203e+21
7.288000000000e+01,6.045222105974e+21
7.427000000000e+01,6.049729903842e+21
7.569000000000e+01,6.055033195452e+21
7.860000000000e+01,6.066700436993e+21
8.009000000000e+01,6.072799222345e+21
8.162000000000e+01,6.078898007696e+21
8.317000000000e+01,6.085261957628e+21
8.474000000000e+01,6.092156236720e+21
8.966000000000e+01,6.113899732320e+21
9.136000000000e+01,6.121589505155e+21
9.308000000000e+01,6.129809607150e+21
9.483000000000e+01,6.138294873725e+21
9.663000000000e+01,6.146514975720e+21
9.846000000000e+01,6.155000242296e+21
1.003100000000e+02,6.163750673452e+21
1.041100000000e+02,6.182577358667e+21
1.060600000000e+02,6.192123283564e+21
1.206500000000e+02,6.257618934945e+21
1.228700000000e+02,6.267164859843e+21
1.251200000000e+02,6.276180455579e+21
1.274100000000e+02,6.284665722155e+21
1.297300000000e+02,6.293150988731e+21
1.418600000000e+02,6.333986334126e+21
1.444000000000e+02,6.341941271540e+21
1.469800000000e+02,6.348835550633e+21
1.577400000000e+02,6.381715958614e+21
1.605400000000e+02,6.389670896028e+21
1.634100000000e+02,6.398421327184e+21
2.150200000000e+02,6.492819917838e+21
2.192400000000e+02,6.496267057385e+21
2.235900000000e+02,6.499183867770e+21
2.280700000000e+02,6.501040019833e+21
2.326800000000e+02,6.501835513575e+21
2.374400000000e+02,6.501835513575e+21
2.423500000000e+02,6.501040019833e+21
2.474200000000e+02,6.498918703190e+21
2.526500000000e+02,6.496001892804e+21
2.580500000000e+02,6.491759259516e+21
2.636400000000e+02,6.485925638746e+21
2.693900000000e+02,6.479561688814e+21
2.753400000000e+02,6.472402245141e+21
2.878200000000e+02,6.452514901604e+21
2.943900000000e+02,6.441112824643e+21
3.011600000000e+02,6.428119760199e+21
3.639900000000e+02,6.276180455579e+21
3.730300000000e+02,6.251520149594e+21
3.823500000000e+02,6.225268856126e+21
3.919800000000e+02,6.199282727238e+21
4.019100000000e+02,6.172235940028e+21
4.121600000000e+02,6.142802671594e+21
4.227000000000e+02,6.113104238579e+21
4.335900000000e+02,6.082875476403e+21
4.448100000000e+02,6.052116385067e+21
4.563700000000e+02,6.020296635408e+21
4.682800000000e+02,5.987946556588e+21
4.805500000000e+02,5.954800984027e+21
4.931900000000e+02,5.921390246886e+21
5.062000000000e+02,5.887449180583e+21
5.195900000000e+02,5.852977785120e+21
5.333800000000e+02,5.818241225076e+21
5.475700000000e+02,5.783239500451e+21
5.621600000000e+02,5.747972611246e+21
5.771700000000e+02,5.712440557461e+21
5.926100000000e+02,5.676908503676e+21
6.084800000000e+02,5.640846120729e+21
6.247900000000e+02,5.605048902363e+21
6.415600000000e+02,5.569251683997e+21
6.587800000000e+02,5.533454465631e+21
6.764800000000e+02,5.497657247265e+21
6.946600000000e+02,5.461860028900e+21
7.133300000000e+02,5.426062810534e+21
7.324900000000e+02,5.390795921329e+21
7.521600000000e+02,5.355529032124e+21
7.723500000000e+02,5.320527307499e+21
7.930600000000e+02,5.285790747455e+21
8.143100000000e+02,5.251319351992e+21
8.361100000000e+02,5.216847956528e+21
8.584600000000e+02,5.179459750679e+21
8.813500000000e+02,5.149496153084e+21
9.048800000000e+02,5.116085415943e+21
9.289700000000e+02,5.083205007962e+21
9.536600000000e+02,5.050589764562e+21
9.789500000000e+02,5.018504850323e+21
1.031310000000e+03,4.955660844747e+21
1.058610000000e+03,4.924106259669e+21
1.086460000000e+03,4.893612332913e+21
1.114980000000e+03,4.863648735318e+21
1.144190000000e+03,4.833685137723e+21
1.204610000000e+03,4.775614094596e+21
1.236020000000e+03,4.747241484483e+21
1.268090000000e+03,4.718868874371e+21
1.300910000000e+03,4.688374947615e+21
1.334460000000e+03,4.661062995825e+21
1.368820000000e+03,4.637463348161e+21
1.552960000000e+03,4.508328197463e+21
1.632810000000e+03,4.461394066717e+21
1.674160000000e+03,4.437794419053e+21
1.716410000000e+03,4.414459935970e+21
