# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_3e24a0d4da3900ccba99"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "74Ge^+(2P3/2)"
# neutral: "Ar"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 39.948, &alpha; = 1.6425."
# updated: "2022-01-20 22:04:08"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14075_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "675a86a82a6ca87a367c22b7d9a41b4fc8868ff6b5cfa3ef6c3d57dd2f059498"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,5.868622495369e+21
1.400000000000e-01,5.868622495369e+21
5.500000000000e-01,5.868622495369e+21
9.600000000000e-01,5.868622495369e+21
1.680000000000e+00,5.868622495369e+21
2.350000000000e+00,5.868357330788e+21
3.300000000000e+00,5.868357330788e+21
3.950000000000e+00,5.868092166208e+21
4.750000000000e+00,5.867827001627e+21
5.460000000000e+00,5.867561837047e+21
6.280000000000e+00,5.867296672466e+21
7.220000000000e+00,5.866766343305e+21
8.300000000000e+00,5.866236014144e+21
9.130000000000e+00,5.865705684983e+21
1.005000000000e+01,5.865175355822e+21
1.055000000000e+01,5.864645026661e+21
1.108000000000e+01,5.864379862081e+21
1.163000000000e+01,5.863849532920e+21
1.222000000000e+01,5.863584368339e+21
1.283000000000e+01,5.863054039178e+21
1.347000000000e+01,5.862523710017e+21
1.415000000000e+01,5.861993380856e+21
1.485000000000e+01,5.861463051695e+21
1.560000000000e+01,5.860932722535e+21
1.638000000000e+01,5.860137228793e+21
1.720000000000e+01,5.859341735052e+21
1.755000000000e+01,5.859076570471e+21
1.790000000000e+01,5.858811405891e+21
1.826000000000e+01,5.858546241310e+21
1.862000000000e+01,5.858281076730e+21
1.900000000000e+01,5.858015912149e+21
1.938000000000e+01,5.857750747569e+21
1.977000000000e+01,5.856955253827e+21
2.017000000000e+01,5.856424924666e+21
2.227000000000e+01,5.855629430925e+21
2.272000000000e+01,5.855364266344e+21
2.317000000000e+01,5.855099101764e+21
2.364000000000e+01,5.854833937183e+21
2.411000000000e+01,5.854568772603e+21
2.460000000000e+01,5.854303608022e+21
2.509000000000e+01,5.854038443442e+21
2.559000000000e+01,5.853773278861e+21
2.611000000000e+01,5.853508114281e+21
2.663000000000e+01,5.853508114281e+21
2.716000000000e+01,5.853242949700e+21
2.771000000000e+01,5.853242949700e+21
2.827000000000e+01,5.852977785120e+21
3.000000000000e+01,5.852977785120e+21
3.060000000000e+01,5.853242949700e+21
3.122000000000e+01,5.853242949700e+21
3.184000000000e+01,5.853508114281e+21
3.248000000000e+01,5.853773278861e+21
3.313000000000e+01,5.854568772603e+21
3.379000000000e+01,5.855099101764e+21
3.447000000000e+01,5.855629430925e+21
3.516000000000e+01,5.856159760086e+21
3.586000000000e+01,5.856955253827e+21
3.658000000000e+01,5.857750747569e+21
3.731000000000e+01,5.858811405891e+21
3.805000000000e+01,5.859872064213e+21
3.881000000000e+01,5.860932722535e+21
3.958000000000e+01,5.862258545437e+21
4.037000000000e+01,5.863584368339e+21
4.117000000000e+01,5.865175355822e+21
4.199000000000e+01,5.866766343305e+21
4.282000000000e+01,5.868622495369e+21
4.367000000000e+01,5.870478647432e+21
4.453000000000e+01,5.872599964076e+21
4.541000000000e+01,5.874721280720e+21
4.630000000000e+01,5.877107761944e+21
4.722000000000e+01,5.879494243169e+21
4.814000000000e+01,5.882145888974e+21
4.909000000000e+01,5.884797534778e+21
5.005000000000e+01,5.887714345164e+21
5.102000000000e+01,5.890631155549e+21
5.202000000000e+01,5.893813130515e+21
5.303000000000e+01,5.896995105481e+21
5.406000000000e+01,5.900177080447e+21
5.511000000000e+01,5.903889384574e+21
5.725000000000e+01,5.910783663666e+21
5.947000000000e+01,5.918208271920e+21
6.061000000000e+01,5.922185740627e+21
6.177000000000e+01,5.926163209335e+21
6.295000000000e+01,5.929875513461e+21
6.415000000000e+01,5.934118146749e+21
6.536000000000e+01,5.938360780037e+21
6.660000000000e+01,5.942338248744e+21
6.786000000000e+01,5.947111211193e+21
6.914000000000e+01,5.951884173642e+21
7.044000000000e+01,5.956391971510e+21
7.177000000000e+01,5.961164933959e+21
7.589000000000e+01,5.976544479627e+21
7.876000000000e+01,5.987416227427e+21
8.023000000000e+01,5.994575671101e+21
8.173000000000e+01,6.001204785613e+21
8.326000000000e+01,6.008364229286e+21
8.482000000000e+01,6.015523672959e+21
8.640000000000e+01,6.023478610374e+21
8.802000000000e+01,6.031698712369e+21
9.134000000000e+01,6.049995068423e+21
9.305000000000e+01,6.059806157901e+21
1.039900000000e+02,6.121589505155e+21
1.059300000000e+02,6.132726417535e+21
1.079100000000e+02,6.143863329916e+21
1.119600000000e+02,6.166137154677e+21
1.140400000000e+02,6.177804396218e+21
1.183000000000e+02,6.199813056399e+21
1.204900000000e+02,6.209624145877e+21
1.227000000000e+02,6.220495893677e+21
1.249500000000e+02,6.229776653994e+21
1.272300000000e+02,6.239322578891e+21
1.295300000000e+02,6.249398832950e+21
1.318900000000e+02,6.257618934945e+21
1.342700000000e+02,6.266369366101e+21
1.366900000000e+02,6.274324303516e+21
1.391300000000e+02,6.282809570092e+21
1.416300000000e+02,6.290499342926e+21
1.441600000000e+02,6.297923951179e+21
1.658500000000e+02,6.360502792175e+21
1.687900000000e+02,6.368722894170e+21
1.717700000000e+02,6.377208160745e+21
1.843700000000e+02,6.411679556209e+21
1.877000000000e+02,6.420164822784e+21
1.982100000000e+02,6.441908318385e+21
2.018900000000e+02,6.449332926638e+21
2.056800000000e+02,6.455962041150e+21
2.095700000000e+02,6.461795661921e+21
2.135800000000e+02,6.467098953531e+21
2.177100000000e+02,6.471871915980e+21
2.219600000000e+02,6.476114549268e+21
2.263400000000e+02,6.479296524233e+21
2.308500000000e+02,6.481683005458e+21
2.355100000000e+02,6.483273992941e+21
2.403100000000e+02,6.483804322102e+21
2.611500000000e+02,6.478501030492e+21
2.667900000000e+02,6.473728068043e+21
2.786500000000e+02,6.458083357794e+21
2.848700000000e+02,6.448272268316e+21
2.979600000000e+02,6.424937785233e+21
3.048300000000e+02,6.413005379111e+21
3.119300000000e+02,6.398951656345e+21
3.192700000000e+02,6.383572110677e+21
3.268500000000e+02,6.365806083784e+21
3.427600000000e+02,6.327887548775e+21
3.511200000000e+02,6.306939546916e+21
3.778000000000e+02,6.233223793540e+21
3.971100000000e+02,6.178865054540e+21
4.071800000000e+02,6.152348596491e+21
4.283400000000e+02,6.095338211686e+21
4.394100000000e+02,6.064313955769e+21
4.508200000000e+02,6.035145851915e+21
4.625900000000e+02,6.000674456452e+21
4.746900000000e+02,5.968059213052e+21
