# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_8a952039649c6ccdc926"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "74Ge^+(2P3/2)"
# neutral: "Ar"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 39.948, &alpha; = 1.6425."
# updated: "2022-01-20 22:04:08"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14075_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "675a86a82a6ca87a367c22b7d9a41b4fc8868ff6b5cfa3ef6c3d57dd2f059498"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,5.859606899632e+21
1.900000000000e-01,5.859606899632e+21
7.800000000000e-01,5.859606899632e+21
1.360000000000e+00,5.859606899632e+21
2.380000000000e+00,5.859606899632e+21
3.330000000000e+00,5.859872064213e+21
4.670000000000e+00,5.860137228793e+21
5.600000000000e+00,5.860402393374e+21
6.720000000000e+00,5.860667557954e+21
7.730000000000e+00,5.860932722535e+21
8.890000000000e+00,5.861463051695e+21
1.022000000000e+01,5.862258545437e+21
1.175000000000e+01,5.863054039178e+21
1.292000000000e+01,5.863849532920e+21
1.421000000000e+01,5.864910191242e+21
1.492000000000e+01,5.865440520403e+21
1.567000000000e+01,5.865970849564e+21
1.645000000000e+01,5.866766343305e+21
1.727000000000e+01,5.867561837047e+21
1.813000000000e+01,5.868357330788e+21
1.903000000000e+01,5.869417989110e+21
1.998000000000e+01,5.870743812013e+21
2.098000000000e+01,5.872069634915e+21
2.202000000000e+01,5.873395457817e+21
2.312000000000e+01,5.874986445300e+21
2.427000000000e+01,5.876842597364e+21
2.475000000000e+01,5.877638091105e+21
2.524000000000e+01,5.878433584847e+21
2.574000000000e+01,5.879494243169e+21
2.625000000000e+01,5.880289736910e+21
2.677000000000e+01,5.881350395232e+21
2.731000000000e+01,5.882411053554e+21
2.785000000000e+01,5.883206547296e+21
2.840000000000e+01,5.884267205617e+21
2.896000000000e+01,5.885593028520e+21
2.954000000000e+01,5.886653686842e+21
3.012000000000e+01,5.887979509744e+21
3.072000000000e+01,5.889305332647e+21
3.133000000000e+01,5.890631155549e+21
3.195000000000e+01,5.892222143032e+21
3.258000000000e+01,5.893547965935e+21
3.322000000000e+01,5.895138953418e+21
3.388000000000e+01,5.896995105481e+21
