# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_9f11b464bba151c7cbcd"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "76Ge^+(2P3/2)"
# neutral: "Ar"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 75.9214, M = 39.948, &alpha; = 1.6425."
# updated: "2022-01-20 22:03:48"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14081_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "9027eac00dddd90f0d84d36d6d1d5229b80cfd1437b685a7a8a767110ca57fb4"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,5.100000000000e+19
1.400000000000e-01,5.100000000000e+19
5.500000000000e-01,5.100000000000e+19
9.700000000000e-01,5.100000000000e+19
2.360000000000e+00,5.130000000000e+19
3.970000000000e+00,5.170000000000e+19
4.770000000000e+00,5.200000000000e+19
5.480000000000e+00,5.240000000000e+19
7.250000000000e+00,5.340000000000e+19
9.180000000000e+00,5.480000000000e+19
1.113000000000e+01,5.660000000000e+19
1.227000000000e+01,5.790000000000e+19
1.289000000000e+01,5.860000000000e+19
1.353000000000e+01,5.930000000000e+19
1.421000000000e+01,6.020000000000e+19
1.567000000000e+01,6.220000000000e+19
1.728000000000e+01,6.460000000000e+19
1.763000000000e+01,6.510000000000e+19
1.798000000000e+01,6.570000000000e+19
1.871000000000e+01,6.690000000000e+19
1.908000000000e+01,6.750000000000e+19
2.237000000000e+01,7.380000000000e+19
2.375000000000e+01,7.670000000000e+19
2.422000000000e+01,7.770000000000e+19
2.571000000000e+01,8.110000000000e+19
2.623000000000e+01,8.240000000000e+19
2.729000000000e+01,8.510000000000e+19
3.014000000000e+01,9.270000000000e+19
3.074000000000e+01,9.440000000000e+19
3.199000000000e+01,9.820000000000e+19
3.263000000000e+01,1.002000000000e+20
3.328000000000e+01,1.022000000000e+20
3.532000000000e+01,1.093000000000e+20
3.603000000000e+01,1.118000000000e+20
3.675000000000e+01,1.144000000000e+20
3.748000000000e+01,1.172000000000e+20
3.823000000000e+01,1.201000000000e+20
3.899000000000e+01,1.231000000000e+20
3.977000000000e+01,1.262000000000e+20
4.056000000000e+01,1.295000000000e+20
4.218000000000e+01,1.366000000000e+20
4.387000000000e+01,1.443000000000e+20
4.474000000000e+01,1.485000000000e+20
4.562000000000e+01,1.528000000000e+20
