# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_480fa14a610a6b4f0567"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "7Li^+(1S0)"
# neutral: "Ar"
# gas_temperature_K: 295.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 295 K"
# group_comment: ""
# source_family: ""
# comment: "Mobility Data of Stefansson et al., J. Phys. D 21 (1988) 1359."
# updated: "2011-12-12 12:23:24"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_014_7959_7959/003_mobility.txt"
# source_file_sha256: "693260b5f3b21526b01030aa8379732af8e823ce23642a1377809fd766d07e0b"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e+01,1.312564673417e+22
5.000000000000e+01,1.415978859808e+22
6.000000000000e+01,1.545909504247e+22
7.000000000000e+01,1.662581919662e+22
8.000000000000e+01,1.776602689272e+22
1.000000000000e+02,1.914488271126e+22
1.200000000000e+02,1.948959666590e+22
1.500000000000e+02,1.882668521467e+22
2.000000000000e+02,1.880016875663e+22
2.500000000000e+02,1.728873064784e+22
3.000000000000e+02,1.694401669321e+22
3.500000000000e+02,1.644020399028e+22
4.000000000000e+02,1.577729253906e+22
