# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_0857195c7f3246b5621a"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "C3H5^+"
# neutral: "CH4"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Compiled Ko of Viehland & Mason, At. Data. Nucl. Data Tables 60 (1995) 37."
# source_family: "compiled ko of viehland & mason, at. data. nucl. data tables 60 (1995) 37."
# comment: ""
# updated: "2010-05-14 15:04:20"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_086_200_200/001_mobility.txt"
# source_file_sha256: "18b9f98b74a29fe984a7f01a0e9459a42bf0b1b72d5693277dbdbde1e64c2a57"
reduced_electric_field_Td,reduced_transport_SI
2.500000000000e+01,6.708663886356e+21
3.000000000000e+01,6.708663886356e+21
3.500000000000e+01,6.708663886356e+21
4.000000000000e+01,6.708663886356e+21
5.000000000000e+01,6.708663886356e+21
6.000000000000e+01,6.814729718551e+21
7.000000000000e+01,7.079894299040e+21
8.000000000000e+01,7.371575337577e+21
1.000000000000e+02,7.875388040505e+21
1.200000000000e+02,8.405717201481e+21
1.400000000000e+02,8.776947614165e+21
1.700000000000e+02,8.936046362458e+21
2.000000000000e+02,8.750431156116e+21
2.500000000000e+02,8.273134911237e+21
