# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_4bca0ad6f7702c66a246"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "CO^+"
# neutral: "CO"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "Raw diffusion Data from Technical Reports from Georgia Tech, 1970-1974."
# source_family: "raw transport data from technical reports from georgia tech, 1970-1974."
# comment: ""
# updated: "2010-05-14 15:04:20"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_028_225_225/001_diffusion_x_gas_density.txt"
# source_file_sha256: "5be5e7eb435ed0a94de3785a10c11d429b9ccf259fb4a155fb4e0f5d5e302397"
reduced_electric_field_Td,reduced_transport_SI
1.380000000000e+01,1.680000000000e+20
2.000000000000e+01,1.730000000000e+20
2.380000000000e+01,2.010000000000e+20
2.670000000000e+01,1.830000000000e+20
3.340000000000e+01,2.000000000000e+20
4.010000000000e+01,1.690000000000e+20
4.670000000000e+01,2.130000000000e+20
5.350000000000e+01,1.820000000000e+20
6.270000000000e+01,2.270000000000e+20
6.680000000000e+01,1.880000000000e+20
7.320000000000e+01,2.180000000000e+20
9.340000000000e+01,1.990000000000e+20
9.360000000000e+01,2.170000000000e+20
9.410000000000e+01,2.080000000000e+20
1.074000000000e+02,2.070000000000e+20
1.203000000000e+02,2.320000000000e+20
1.207000000000e+02,2.150000000000e+20
1.340000000000e+02,2.280000000000e+20
1.345000000000e+02,2.440000000000e+20
1.470000000000e+02,2.340000000000e+20
1.675000000000e+02,2.600000000000e+20
1.872000000000e+02,2.290000000000e+20
1.998000000000e+02,2.430000000000e+20
2.138000000000e+02,2.400000000000e+20
2.276000000000e+02,3.000000000000e+20
2.331000000000e+02,2.630000000000e+20
2.406000000000e+02,2.660000000000e+20
2.666000000000e+02,2.780000000000e+20
2.672000000000e+02,2.600000000000e+20
2.818000000000e+02,2.780000000000e+20
2.937000000000e+02,2.670000000000e+20
3.000000000000e+02,2.840000000000e+20
3.084000000000e+02,2.850000000000e+20
3.202000000000e+02,3.130000000000e+20
3.336000000000e+02,3.130000000000e+20
3.337000000000e+02,3.670000000000e+20
3.468000000000e+02,3.250000000000e+20
3.742000000000e+02,3.240000000000e+20
4.006000000000e+02,3.830000000000e+20
4.274000000000e+02,3.350000000000e+20
4.546000000000e+02,3.660000000000e+20
4.674000000000e+02,4.070000000000e+20
4.810000000000e+02,3.710000000000e+20
5.073000000000e+02,4.050000000000e+20
5.344000000000e+02,4.350000000000e+20
5.668000000000e+02,4.090000000000e+20
6.007000000000e+02,5.050000000000e+20
6.333000000000e+02,4.610000000000e+20
6.675000000000e+02,5.480000000000e+20
