# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_9e93c0d21983c1a449c8"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "12C(2P1/2)^+"
# neutral: "He"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "Ground State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland and T. G. Wright, Mol. Phys. 113 (2015) 3767-3782."
# source_family: "ground state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland and t. g. wright, mol. phys. 113 (2015) 3767-3782."
# comment: "Mi = 12, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-12-19 20:59:53"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_1382_neutral_8_37/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "b6022bacaf9b088078722ce15d5f0811f08d36dd56a68342d07e51a02083dc56"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,5.202529069182e+22
7.000000000000e-02,5.202529069182e+22
2.800000000000e-01,5.202794233762e+22
4.800000000000e-01,5.203059398343e+22
8.500000000000e-01,5.203854892084e+22
1.190000000000e+00,5.204915550406e+22
1.660000000000e+00,5.207036867050e+22
1.990000000000e+00,5.209158183694e+22
2.390000000000e+00,5.211809829499e+22
2.740000000000e+00,5.214991804465e+22
3.150000000000e+00,5.218969273172e+22
3.620000000000e+00,5.224272564782e+22
4.160000000000e+00,5.231432008455e+22
4.570000000000e+00,5.237530793806e+22
5.020000000000e+00,5.244955402060e+22
5.270000000000e+00,5.249463199928e+22
5.530000000000e+00,5.254236162377e+22
5.800000000000e+00,5.259539453987e+22
6.080000000000e+00,5.265638239338e+22
6.380000000000e+00,5.272002189270e+22
6.690000000000e+00,5.279426797524e+22
7.020000000000e+00,5.287646899519e+22
7.360000000000e+00,5.296662495255e+22
7.710000000000e+00,5.306473584733e+22
8.080000000000e+00,5.317610497114e+22
8.470000000000e+00,5.329808067816e+22
8.630000000000e+00,5.335111359426e+22
8.790000000000e+00,5.340679815616e+22
8.960000000000e+00,5.346513436387e+22
9.130000000000e+00,5.352347057158e+22
9.300000000000e+00,5.358711007090e+22
9.470000000000e+00,5.365340121602e+22
9.650000000000e+00,5.372234400694e+22
9.830000000000e+00,5.379128679787e+22
1.002000000000e+01,5.386553288041e+22
1.020000000000e+01,5.394508225455e+22
1.039000000000e+01,5.402463162870e+22
1.059000000000e+01,5.410948429446e+22
1.078000000000e+01,5.419698860602e+22
1.098000000000e+01,5.428714456338e+22
1.118000000000e+01,5.438260381236e+22
1.139000000000e+01,5.448071470714e+22
