# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_c1bd379d97ba3a73527d"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "12C(2P1/2)^+"
# neutral: "He"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 500 K"
# group_comment: "Ground State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland and T. G. Wright, Mol. Phys. 113 (2015) 3767-3782."
# source_family: "ground state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland and t. g. wright, mol. phys. 113 (2015) 3767-3782."
# comment: "Mi = 12, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-12-19 20:59:53"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_1382_neutral_8_37/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "b6022bacaf9b088078722ce15d5f0811f08d36dd56a68342d07e51a02083dc56"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,6.475319055526e+22
9.000000000000e-02,6.475319055526e+22
3.500000000000e-01,6.475584220107e+22
6.200000000000e-01,6.476114549268e+22
1.080000000000e+00,6.477440372170e+22
1.510000000000e+00,6.479296524233e+22
2.110000000000e+00,6.483273992941e+22
2.530000000000e+00,6.486455967907e+22
3.030000000000e+00,6.491494094936e+22
3.490000000000e+00,6.496532221965e+22
4.000000000000e+00,6.503161336477e+22
4.600000000000e+00,6.511911767633e+22
5.280000000000e+00,6.523579009175e+22
5.800000000000e+00,6.533655263234e+22
6.370000000000e+00,6.545587669355e+22
6.680000000000e+00,6.552747113029e+22
7.000000000000e+00,6.560171721282e+22
7.340000000000e+00,6.568656987858e+22
7.700000000000e+00,6.577672583595e+22
8.070000000000e+00,6.587748837653e+22
8.460000000000e+00,6.598885750034e+22
8.870000000000e+00,6.611083320736e+22
9.300000000000e+00,6.624341549761e+22
9.740000000000e+00,6.638130107946e+22
1.020000000000e+01,6.653774818195e+22
1.069000000000e+01,6.670480186766e+22
1.089000000000e+01,6.677639630439e+22
1.109000000000e+01,6.684799074112e+22
1.130000000000e+01,6.692754011527e+22
1.151000000000e+01,6.700974113522e+22
1.173000000000e+01,6.708929050936e+22
1.195000000000e+01,6.717414317512e+22
1.217000000000e+01,6.725369254927e+22
1.240000000000e+01,6.734915179824e+22
1.263000000000e+01,6.744195940141e+22
1.286000000000e+01,6.753476700458e+22
1.310000000000e+01,6.763287789936e+22
1.334000000000e+01,6.773098879415e+22
1.359000000000e+01,6.783705462634e+22
1.384000000000e+01,6.794312045854e+22
1.409000000000e+01,6.805183793654e+22
1.435000000000e+01,6.815790376873e+22
1.461000000000e+01,6.827457618415e+22
1.488000000000e+01,6.838329366215e+22
1.515000000000e+01,6.850261772337e+22
1.542000000000e+01,6.863254836781e+22
1.570000000000e+01,6.875187242903e+22
1.598000000000e+01,6.887649978186e+22
1.627000000000e+01,6.899847548888e+22
1.656000000000e+01,6.914431600815e+22
1.686000000000e+01,6.927689829839e+22
1.716000000000e+01,6.941743552605e+22
1.746000000000e+01,6.955532110791e+22
1.777000000000e+01,6.969850998137e+22
1.809000000000e+01,6.984169885483e+22
1.841000000000e+01,6.998488772830e+22
1.874000000000e+01,7.013337989337e+22
1.907000000000e+01,7.027656876683e+22
1.940000000000e+01,7.042771257771e+22
1.974000000000e+01,7.057885638859e+22
2.009000000000e+01,7.073530349108e+22
2.044000000000e+01,7.089175059357e+22
2.080000000000e+01,7.104554605025e+22
2.116000000000e+01,7.120199315274e+22
2.153000000000e+01,7.135844025523e+22
2.191000000000e+01,7.151488735771e+22
2.229000000000e+01,7.167133446020e+22
2.268000000000e+01,7.183308485430e+22
2.308000000000e+01,7.198953195679e+22
2.347000000000e+01,7.212476589284e+22
2.389000000000e+01,7.228121299533e+22
2.431000000000e+01,7.243500845201e+22
2.474000000000e+01,7.258880390869e+22
2.517000000000e+01,7.274259936538e+22
2.562000000000e+01,7.289374317625e+22
2.607000000000e+01,7.304223534133e+22
2.653000000000e+01,7.319072750640e+22
2.700000000000e+01,7.334187131728e+22
2.748000000000e+01,7.347180196172e+22
2.797000000000e+01,7.360968754357e+22
2.848000000000e+01,7.374757312543e+22
2.899000000000e+01,7.386689718665e+22
2.952000000000e+01,7.400743441431e+22
3.061000000000e+01,7.423812759933e+22
3.117000000000e+01,7.436805824377e+22
3.175000000000e+01,7.448473065918e+22
3.234000000000e+01,7.459344813718e+22
4.081000000000e+01,7.517415856845e+22
4.252000000000e+01,7.514233881880e+22
4.526000000000e+01,7.501771146597e+22
4.622000000000e+01,7.495407196665e+22
4.722000000000e+01,7.487717423831e+22
5.148000000000e+01,7.446882078435e+22
5.263000000000e+01,7.434684507733e+22
5.380000000000e+01,7.420100455806e+22
5.501000000000e+01,7.405781568460e+22
5.625000000000e+01,7.390136858211e+22
5.753000000000e+01,7.373431489640e+22
5.884000000000e+01,7.356195791908e+22
6.019000000000e+01,7.337899435855e+22
6.158000000000e+01,7.318807586060e+22
6.300000000000e+01,7.298389913362e+22
6.446000000000e+01,7.276646417762e+22
6.595000000000e+01,7.257554567967e+22
6.749000000000e+01,7.236076236947e+22
6.907000000000e+01,7.214332741347e+22
7.069000000000e+01,7.191793752006e+22
7.235000000000e+01,7.168724433503e+22
7.405000000000e+01,7.145655115001e+22
7.580000000000e+01,7.121790302757e+22
7.759000000000e+01,7.098190655093e+22
7.942000000000e+01,7.074325842849e+22
8.130000000000e+01,7.049930701444e+22
8.322000000000e+01,7.025535560039e+22
8.519000000000e+01,7.001140418635e+22
8.720000000000e+01,6.976480112649e+22
8.927000000000e+01,6.952350135825e+22
9.138000000000e+01,6.923977525712e+22
9.353000000000e+01,6.903559853015e+22
9.574000000000e+01,6.879164711610e+22
9.800000000000e+01,6.855299899366e+22
1.003100000000e+02,6.831435087122e+22
1.026700000000e+02,6.807835439458e+22
1.050800000000e+02,6.784500956376e+22
1.075400000000e+02,6.761431637873e+22
1.100600000000e+02,6.738627483951e+22
1.126300000000e+02,6.716353659190e+22
1.152500000000e+02,6.694079834429e+22
1.179300000000e+02,6.672336338829e+22
1.206600000000e+02,6.651123172390e+22
1.263000000000e+02,6.609492333253e+22
1.292000000000e+02,6.589339825136e+22
1.321700000000e+02,6.569717646180e+22
1.351900000000e+02,6.550360631804e+22
1.382700000000e+02,6.531533946590e+22
1.414200000000e+02,6.513237590536e+22
1.446300000000e+02,6.495206399063e+22
1.478900000000e+02,6.479031359653e+22
1.512300000000e+02,6.460469839019e+22
1.546300000000e+02,6.444029635028e+22
1.580900000000e+02,6.427854595619e+22
1.616200000000e+02,6.411944720789e+22
1.652300000000e+02,6.396565175121e+22
1.689000000000e+02,6.381981123194e+22
1.726400000000e+02,6.367131906687e+22
1.764600000000e+02,6.353078183921e+22
1.803500000000e+02,6.339554790316e+22
1.843100000000e+02,6.326296561292e+22
1.883600000000e+02,6.313303496848e+22
1.924800000000e+02,6.300840761565e+22
1.966800000000e+02,6.288643190862e+22
2.009700000000e+02,6.276975949321e+22
2.053300000000e+02,6.265573872360e+22
2.097900000000e+02,6.254702124560e+22
2.143300000000e+02,6.243830376760e+22
2.189600000000e+02,6.234019287282e+22
2.236900000000e+02,6.223412704062e+22
