# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_a19c82f9890f7c3df97f"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "12C(2P3/2)^+"
# neutral: "He"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 500 K"
# group_comment: "Excited State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland and T. G. Wright, Mol. Phys. 113 (2015) 3767-3782."
# source_family: "excited state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland and t. g. wright, mol. phys. 113 (2015) 3767-3782."
# comment: "Mi = 12, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-12-19 21:02:47"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_1383_neutral_8_37/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "c1d2fec8814fb4879fd998fef84cc94a295f31332325d6e53a98a519a38a3b42"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,2.803000000000e+21
9.000000000000e-02,2.803100000000e+21
3.500000000000e-01,2.803800000000e+21
6.200000000000e-01,2.804800000000e+21
1.090000000000e+00,2.810300000000e+21
1.520000000000e+00,2.817900000000e+21
2.130000000000e+00,2.831900000000e+21
2.550000000000e+00,2.845100000000e+21
3.060000000000e+00,2.863600000000e+21
3.520000000000e+00,2.883100000000e+21
4.050000000000e+00,2.909000000000e+21
4.650000000000e+00,2.943100000000e+21
5.350000000000e+00,2.988300000000e+21
5.880000000000e+00,3.027100000000e+21
6.470000000000e+00,3.074100000000e+21
6.790000000000e+00,3.101800000000e+21
7.120000000000e+00,3.132300000000e+21
7.480000000000e+00,3.165900000000e+21
7.850000000000e+00,3.202900000000e+21
8.240000000000e+00,3.243600000000e+21
8.650000000000e+00,3.288400000000e+21
9.070000000000e+00,3.337600000000e+21
9.520000000000e+00,3.391700000000e+21
9.990000000000e+00,3.451100000000e+21
1.049000000000e+01,3.516300000000e+21
1.101000000000e+01,3.587800000000e+21
1.123000000000e+01,3.618900000000e+21
1.145000000000e+01,3.651000000000e+21
1.167000000000e+01,3.684500000000e+21
1.190000000000e+01,3.718700000000e+21
1.214000000000e+01,3.754400000000e+21
1.238000000000e+01,3.791500000000e+21
