# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_8e0d5ef87f6d4392cd5e"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "12C(2P)^+"
# neutral: "He"
# gas_temperature_K: 77.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 77 K"
# group_comment: "Statistical State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland and T. G. Wright, Mol. Phys. 113 (2015) 3767-3782."
# source_family: "statistical state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland and t. g. wright, mol. phys. 113 (2015) 3767-3782."
# comment: "Mi = 12, M = 4.00261, &alpha; = 0.205052."
# updated: "2021-12-19 20:57:02"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_656_neutral_8_37/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "632dc44b7ca8ca63ce602239440a1550610f26f8aef38bcb4a780dca416579ca"
reduced_electric_field_Td,reduced_transport_SI
1.000000000000e-02,3.413000000000e+20
4.000000000000e-02,3.413000000000e+20
1.800000000000e-01,3.414000000000e+20
3.100000000000e-01,3.416000000000e+20
5.400000000000e-01,3.422000000000e+20
7.500000000000e-01,3.430000000000e+20
1.060000000000e+00,3.445000000000e+20
1.270000000000e+00,3.467000000000e+20
1.520000000000e+00,3.491000000000e+20
1.750000000000e+00,3.516000000000e+20
2.010000000000e+00,3.550000000000e+20
2.310000000000e+00,3.594000000000e+20
2.660000000000e+00,3.652000000000e+20
2.920000000000e+00,3.703000000000e+20
3.210000000000e+00,3.764000000000e+20
3.370000000000e+00,3.800000000000e+20
3.540000000000e+00,3.841000000000e+20
3.710000000000e+00,3.885000000000e+20
3.900000000000e+00,3.934000000000e+20
4.090000000000e+00,3.989000000000e+20
4.290000000000e+00,4.049000000000e+20
4.510000000000e+00,4.115000000000e+20
4.730000000000e+00,4.189000000000e+20
4.970000000000e+00,4.271000000000e+20
5.210000000000e+00,4.362000000000e+20
5.690000000000e+00,4.553000000000e+20
5.800000000000e+00,4.601000000000e+20
5.910000000000e+00,4.651000000000e+20
6.640000000000e+00,5.003000000000e+20
6.780000000000e+00,5.071000000000e+20
6.910000000000e+00,5.142000000000e+20
7.040000000000e+00,5.217000000000e+20
7.180000000000e+00,5.294000000000e+20
7.320000000000e+00,5.375000000000e+20
7.460000000000e+00,5.460000000000e+20
7.610000000000e+00,5.551000000000e+20
7.760000000000e+00,5.643000000000e+20
7.910000000000e+00,5.741000000000e+20
8.060000000000e+00,5.845000000000e+20
8.220000000000e+00,5.950000000000e+20
8.380000000000e+00,6.064000000000e+20
9.220000000000e+00,6.721000000000e+20
9.390000000000e+00,6.872000000000e+20
9.570000000000e+00,7.032000000000e+20
9.750000000000e+00,7.204000000000e+20
9.940000000000e+00,7.385000000000e+20
1.013000000000e+01,7.570000000000e+20
1.032000000000e+01,7.768000000000e+20
1.052000000000e+01,7.976000000000e+20
1.072000000000e+01,8.202000000000e+20
1.092000000000e+01,8.426000000000e+20
1.112000000000e+01,8.673000000000e+20
1.133000000000e+01,8.933000000000e+20
1.154000000000e+01,9.207000000000e+20
1.176000000000e+01,9.496000000000e+20
1.198000000000e+01,9.803000000000e+20
1.220000000000e+01,1.012600000000e+21
1.242000000000e+01,1.046800000000e+21
1.265000000000e+01,1.082900000000e+21
1.288000000000e+01,1.120700000000e+21
1.311000000000e+01,1.159000000000e+21
1.335000000000e+01,1.200800000000e+21
1.358000000000e+01,1.260400000000e+21
1.383000000000e+01,1.311800000000e+21
1.408000000000e+01,1.364700000000e+21
1.432000000000e+01,1.422400000000e+21
1.458000000000e+01,1.481500000000e+21
1.483000000000e+01,1.545300000000e+21
1.509000000000e+01,1.611600000000e+21
1.535000000000e+01,1.682000000000e+21
1.561000000000e+01,1.757400000000e+21
1.614000000000e+01,1.915400000000e+21
1.668000000000e+01,2.089900000000e+21
1.695000000000e+01,2.184000000000e+21
1.723000000000e+01,2.274600000000e+21
1.751000000000e+01,2.372700000000e+21
1.779000000000e+01,2.479900000000e+21
1.835000000000e+01,2.691700000000e+21
1.865000000000e+01,2.804700000000e+21
1.894000000000e+01,2.917100000000e+21
1.923000000000e+01,3.033800000000e+21
