# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_c73e4b4992fc807d2957"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "13C(2P1/2)^+"
# neutral: "He"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "Ground State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland and T. G. Wright, Mol. Phys. 113 (2015) 3767-3782."
# source_family: "ground state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland and t. g. wright, mol. phys. 113 (2015) 3767-3782."
# comment: "Mi = 13.0034, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-12-19 21:19:09"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13996_neutral_8_37/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "d416661ec84e3c622b6da5cddf193eed1f1cebaf5a31b48b0adc7289dcd865be"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,5.151882634309e+22
7.000000000000e-02,5.151882634309e+22
2.800000000000e-01,5.152147798889e+22
4.900000000000e-01,5.152412963470e+22
8.600000000000e-01,5.152943292631e+22
1.200000000000e+00,5.154269115533e+22
1.680000000000e+00,5.156390432177e+22
2.010000000000e+00,5.158246584240e+22
2.410000000000e+00,5.160898230045e+22
2.770000000000e+00,5.163815040431e+22
3.190000000000e+00,5.167792509138e+22
3.660000000000e+00,5.173095800748e+22
4.200000000000e+00,5.179990079840e+22
4.620000000000e+00,5.185823700611e+22
5.070000000000e+00,5.192983144284e+22
5.320000000000e+00,5.197225777572e+22
5.580000000000e+00,5.201998740021e+22
5.860000000000e+00,5.207302031631e+22
6.150000000000e+00,5.213135652401e+22
6.440000000000e+00,5.219499602333e+22
6.760000000000e+00,5.226659046006e+22
7.090000000000e+00,5.234348818840e+22
7.430000000000e+00,5.243099249997e+22
7.790000000000e+00,5.252910339475e+22
8.160000000000e+00,5.263516922694e+22
8.550000000000e+00,5.275449328816e+22
8.710000000000e+00,5.280487455845e+22
8.880000000000e+00,5.286055912036e+22
9.050000000000e+00,5.291624368226e+22
9.220000000000e+00,5.297457988997e+22
9.390000000000e+00,5.303556774348e+22
9.570000000000e+00,5.309920724280e+22
9.750000000000e+00,5.316549838792e+22
9.930000000000e+00,5.323444117885e+22
1.012000000000e+01,5.330603561558e+22
1.031000000000e+01,5.338293334392e+22
1.050000000000e+01,5.345983107226e+22
1.070000000000e+01,5.354203209221e+22
1.089000000000e+01,5.362688475797e+22
1.109000000000e+01,5.371438906953e+22
1.130000000000e+01,5.380719667270e+22
1.151000000000e+01,5.390000427587e+22
1.172000000000e+01,5.400076681646e+22
1.193000000000e+01,5.410418100285e+22
1.214000000000e+01,5.421289848085e+22
1.236000000000e+01,5.433222254207e+22
1.258000000000e+01,5.444889495748e+22
1.281000000000e+01,5.457087066451e+22
1.304000000000e+01,5.469814966314e+22
1.327000000000e+01,5.483073195339e+22
1.350000000000e+01,5.496861753524e+22
1.373000000000e+01,5.511180640870e+22
1.397000000000e+01,5.526029857378e+22
1.421000000000e+01,5.541409403046e+22
1.444000000000e+01,5.557054113295e+22
1.470000000000e+01,5.574554975607e+22
1.495000000000e+01,5.591790673339e+22
1.520000000000e+01,5.609291535651e+22
1.545000000000e+01,5.628913714607e+22
1.571000000000e+01,5.646414576919e+22
1.597000000000e+01,5.666036755876e+22
1.623000000000e+01,5.685924099412e+22
1.649000000000e+01,5.706606936690e+22
1.676000000000e+01,5.727024609388e+22
1.703000000000e+01,5.747442282085e+22
1.729000000000e+01,5.769981271427e+22
1.756000000000e+01,5.794641577412e+22
1.783000000000e+01,5.817976060495e+22
1.811000000000e+01,5.841840872739e+22
1.839000000000e+01,5.866236014144e+22
1.867000000000e+01,5.891161484710e+22
1.895000000000e+01,5.916617284437e+22
1.924000000000e+01,5.940747261262e+22
1.952000000000e+01,5.968854706793e+22
1.981000000000e+01,5.995636329423e+22
2.010000000000e+01,6.022948281213e+22
2.039000000000e+01,6.050525397584e+22
2.068000000000e+01,6.078367678535e+22
2.098000000000e+01,6.107800946969e+22
2.128000000000e+01,6.135643227920e+22
2.159000000000e+01,6.166137154677e+22
2.189000000000e+01,6.196365916852e+22
2.220000000000e+01,6.226329514447e+22
2.251000000000e+01,6.257353770365e+22
2.283000000000e+01,6.288643190862e+22
2.315000000000e+01,6.321523598843e+22
2.347000000000e+01,6.352813019340e+22
2.380000000000e+01,6.385693427321e+22
2.413000000000e+01,6.418838999882e+22
2.447000000000e+01,6.452249737024e+22
2.481000000000e+01,6.486190803326e+22
2.515000000000e+01,6.520397034209e+22
2.550000000000e+01,6.554868429673e+22
2.586000000000e+01,6.589870154297e+22
2.622000000000e+01,6.624871878922e+22
2.659000000000e+01,6.659873603546e+22
2.696000000000e+01,6.695140492751e+22
2.735000000000e+01,6.730672546536e+22
2.774000000000e+01,6.765674271161e+22
2.813000000000e+01,6.800941160366e+22
2.854000000000e+01,6.836208049571e+22
2.896000000000e+01,6.870944609615e+22
2.938000000000e+01,6.908597980044e+22
3.217000000000e+01,7.103228782123e+22
3.374000000000e+01,7.195771220713e+22
3.430000000000e+01,7.221757349601e+22
3.488000000000e+01,7.248538972230e+22
3.547000000000e+01,7.273729607377e+22
3.608000000000e+01,7.297859584201e+22
3.671000000000e+01,7.320928902704e+22
3.737000000000e+01,7.341081410821e+22
3.804000000000e+01,7.361499083518e+22
3.946000000000e+01,7.396235643562e+22
4.713000000000e+01,7.466769421972e+22
5.022000000000e+01,7.456958332494e+22
5.131000000000e+01,7.449003395079e+22
5.480000000000e+01,7.411615189231e+22
5.996000000000e+01,7.348771183655e+22
6.424000000000e+01,7.287783330142e+22
6.575000000000e+01,7.266570163703e+22
6.729000000000e+01,7.243235680620e+22
6.888000000000e+01,7.220166362118e+22
7.051000000000e+01,7.195240891552e+22
7.219000000000e+01,7.171641243889e+22
7.391000000000e+01,7.145655115001e+22
7.567000000000e+01,7.120199315274e+22
7.747000000000e+01,7.093948021805e+22
8.123000000000e+01,7.041710599449e+22
8.317000000000e+01,7.015459305981e+22
8.516000000000e+01,6.988412518771e+22
8.720000000000e+01,6.961630896142e+22
8.929000000000e+01,6.935909931834e+22
9.142000000000e+01,6.908597980044e+22
9.361000000000e+01,6.882081521995e+22
9.585000000000e+01,6.855830228527e+22
9.813000000000e+01,6.829844099639e+22
1.004700000000e+02,6.803327641590e+22
1.028600000000e+02,6.778402171024e+22
1.053000000000e+02,6.752946371297e+22
