# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_b4822912db38ea7d3a9c"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "13C(2P3/2)^+"
# neutral: "He"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "Excited State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland and T. G. Wright, Mol. Phys. 113 (2015) 3767-3782."
# source_family: "excited state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland and t. g. wright, mol. phys. 113 (2015) 3767-3782."
# comment: "Mi = 13.0034, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-12-19 21:21:39"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13997_neutral_8_37/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "2a52061572d0de8930f2106367b825aeaf045949efdfa73913384c5dee34527b"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,1.575300000000e+21
7.000000000000e-02,1.575300000000e+21
2.900000000000e-01,1.575800000000e+21
5.100000000000e-01,1.576800000000e+21
9.000000000000e-01,1.580000000000e+21
1.260000000000e+00,1.584500000000e+21
1.760000000000e+00,1.593100000000e+21
2.110000000000e+00,1.601400000000e+21
2.530000000000e+00,1.612800000000e+21
2.910000000000e+00,1.625000000000e+21
3.340000000000e+00,1.641100000000e+21
3.840000000000e+00,1.662800000000e+21
4.420000000000e+00,1.691200000000e+21
4.850000000000e+00,1.716100000000e+21
5.330000000000e+00,1.746100000000e+21
5.600000000000e+00,1.763900000000e+21
5.870000000000e+00,1.783500000000e+21
6.160000000000e+00,1.805300000000e+21
6.470000000000e+00,1.829400000000e+21
6.780000000000e+00,1.856000000000e+21
7.120000000000e+00,1.885500000000e+21
7.460000000000e+00,1.918100000000e+21
7.830000000000e+00,1.954100000000e+21
8.210000000000e+00,1.994100000000e+21
8.610000000000e+00,2.038200000000e+21
9.030000000000e+00,2.087100000000e+21
9.200000000000e+00,2.108300000000e+21
9.380000000000e+00,2.130500000000e+21
9.570000000000e+00,2.153700000000e+21
9.750000000000e+00,2.177800000000e+21
9.940000000000e+00,2.202900000000e+21
1.013000000000e+01,2.229000000000e+21
1.033000000000e+01,2.256100000000e+21
1.053000000000e+01,2.284300000000e+21
1.073000000000e+01,2.313800000000e+21
1.093000000000e+01,2.344400000000e+21
1.114000000000e+01,2.376300000000e+21
1.136000000000e+01,2.409400000000e+21
1.157000000000e+01,2.443900000000e+21
1.180000000000e+01,2.479800000000e+21
1.202000000000e+01,2.517200000000e+21
1.225000000000e+01,2.555400000000e+21
1.248000000000e+01,2.595700000000e+21
1.272000000000e+01,2.637600000000e+21
1.296000000000e+01,2.681100000000e+21
1.321000000000e+01,2.726400000000e+21
1.346000000000e+01,2.773300000000e+21
1.398000000000e+01,2.872700000000e+21
1.424000000000e+01,2.925100000000e+21
1.451000000000e+01,2.978000000000e+21
1.478000000000e+01,3.035000000000e+21
1.506000000000e+01,3.093000000000e+21
1.534000000000e+01,3.153300000000e+21
1.563000000000e+01,3.215400000000e+21
1.592000000000e+01,3.281600000000e+21
1.622000000000e+01,3.348300000000e+21
1.653000000000e+01,3.417200000000e+21
1.684000000000e+01,3.488200000000e+21
1.715000000000e+01,3.561500000000e+21
1.747000000000e+01,3.637100000000e+21
1.780000000000e+01,3.714900000000e+21
1.813000000000e+01,3.795000000000e+21
1.847000000000e+01,3.877400000000e+21
1.882000000000e+01,3.962200000000e+21
1.917000000000e+01,4.049300000000e+21
1.953000000000e+01,4.138700000000e+21
1.990000000000e+01,4.230400000000e+21
2.027000000000e+01,4.322000000000e+21
2.065000000000e+01,4.419300000000e+21
2.104000000000e+01,4.517100000000e+21
2.144000000000e+01,4.616600000000e+21
2.184000000000e+01,4.724300000000e+21
2.225000000000e+01,4.829400000000e+21
2.268000000000e+01,4.937200000000e+21
2.311000000000e+01,5.045600000000e+21
2.355000000000e+01,5.153600000000e+21
2.400000000000e+01,5.266000000000e+21
2.446000000000e+01,5.383100000000e+21
2.493000000000e+01,5.499700000000e+21
2.541000000000e+01,5.623600000000e+21
2.590000000000e+01,5.746300000000e+21
2.641000000000e+01,5.869700000000e+21
2.693000000000e+01,5.995200000000e+21
2.971000000000e+01,6.669100000000e+21
3.032000000000e+01,6.778000000000e+21
3.094000000000e+01,6.921000000000e+21
3.157000000000e+01,7.066100000000e+21
3.223000000000e+01,7.224600000000e+21
3.290000000000e+01,7.380200000000e+21
