# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_1223b0a2f9a9bbbf8fb7"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "13C(4P3/2)^+"
# neutral: "He"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 100 K"
# group_comment: "4P3/2 State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland and T. G. Wright, Mol. Phys. 113 (2015) 3767-3782."
# source_family: "4p3/2 state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland and t. g. wright, mol. phys. 113 (2015) 3767-3782."
# comment: "Mi = 13.0034, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-12-19 21:24:23"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_012_14001_14001/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "c6bbcb48fc2fbc0d9197af559d9a8d12d959d594a3028abbc7b9138a034bc84f"
reduced_electric_field_Td,reduced_transport_SI
1.000000000000e-02,5.109986630591e+22
5.000000000000e-02,5.109986630591e+22
2.000000000000e-01,5.109986630591e+22
3.500000000000e-01,5.110251795172e+22
6.100000000000e-01,5.110516959752e+22
8.500000000000e-01,5.110782124333e+22
1.200000000000e+00,5.111577618074e+22
1.430000000000e+00,5.112373111816e+22
1.720000000000e+00,5.113433770138e+22
1.980000000000e+00,5.114494428460e+22
2.270000000000e+00,5.115820251362e+22
2.610000000000e+00,5.117676403426e+22
3.010000000000e+00,5.120062884650e+22
3.300000000000e+00,5.121919036713e+22
3.630000000000e+00,5.124570682518e+22
3.810000000000e+00,5.125896505421e+22
4.000000000000e+00,5.127487492904e+22
4.200000000000e+00,5.129078480387e+22
4.410000000000e+00,5.130934632450e+22
4.630000000000e+00,5.133055949094e+22
4.860000000000e+00,5.135442430318e+22
5.100000000000e+00,5.137828911543e+22
5.350000000000e+00,5.140480557348e+22
5.620000000000e+00,5.143397367733e+22
5.890000000000e+00,5.146579342699e+22
6.180000000000e+00,5.150026482245e+22
6.310000000000e+00,5.151617469728e+22
6.430000000000e+00,5.153208457211e+22
6.560000000000e+00,5.154799444694e+22
6.690000000000e+00,5.156390432177e+22
6.820000000000e+00,5.157981419660e+22
7.230000000000e+00,5.163284711270e+22
7.370000000000e+00,5.165140863333e+22
7.510000000000e+00,5.166997015396e+22
7.660000000000e+00,5.168853167460e+22
7.810000000000e+00,5.170974484104e+22
7.960000000000e+00,5.173360965328e+22
8.120000000000e+00,5.175482281972e+22
8.280000000000e+00,5.177868763196e+22
8.440000000000e+00,5.179990079840e+22
8.610000000000e+00,5.182376561065e+22
8.770000000000e+00,5.184763042289e+22
8.950000000000e+00,5.187149523514e+22
9.120000000000e+00,5.189536004738e+22
9.300000000000e+00,5.192187650543e+22
9.480000000000e+00,5.194839296348e+22
9.850000000000e+00,5.200142587957e+22
1.004000000000e+01,5.202263904601e+22
