# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_2af2ff090843f5065ddf"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "13C(4P)^+"
# neutral: "He"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Statistical State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland and T. G. Wright, Mol. Phys. 113 (2015) 3767-3782."
# source_family: "statistical state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland and t. g. wright, mol. phys. 113 (2015) 3767-3782."
# comment: "Mi = 13.0034, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-12-19 21:23:11"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_010_13999_13999/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "56a516a324f101adbd15423ab69d2b820bfd4baebb30b1c854e7f25bbe504801"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,5.757253371564e+22
8.000000000000e-02,5.757253371564e+22
3.100000000000e-01,5.757253371564e+22
5.400000000000e-01,5.757253371564e+22
9.400000000000e-01,5.757253371564e+22
1.310000000000e+00,5.757253371564e+22
1.840000000000e+00,5.757253371564e+22
2.210000000000e+00,5.757253371564e+22
2.650000000000e+00,5.757518536144e+22
3.040000000000e+00,5.757518536144e+22
3.500000000000e+00,5.757518536144e+22
4.030000000000e+00,5.757518536144e+22
4.630000000000e+00,5.757518536144e+22
5.090000000000e+00,5.757518536144e+22
5.600000000000e+00,5.757253371564e+22
5.880000000000e+00,5.757253371564e+22
6.180000000000e+00,5.756988206983e+22
6.480000000000e+00,5.756988206983e+22
6.810000000000e+00,5.756723042403e+22
7.150000000000e+00,5.756457877822e+22
7.510000000000e+00,5.755927548661e+22
7.880000000000e+00,5.755397219500e+22
8.280000000000e+00,5.754601725759e+22
8.690000000000e+00,5.754071396598e+22
9.130000000000e+00,5.753275902856e+22
1.018000000000e+01,5.750359092471e+22
1.080000000000e+01,5.748237775827e+22
1.124000000000e+01,5.746646788344e+22
1.147000000000e+01,5.745586130022e+22
1.170000000000e+01,5.744790636281e+22
1.193000000000e+01,5.743729977959e+22
