# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_236b4419897b8aa8cfde"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "14N16O+(v=0)"
# neutral: "He"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 500 K"
# group_comment: "Ab Initio Potential (shifted) of Orek, Klos et al., J. Chem. Phys. 144 (2016) 204303. The calculations were made with the Monchick-Mason Approximation, as discussed by Viehland et al. (2021)."
# source_family: "ab initio potential (shifted) of orek, klos et al., j. chem. phys. 144 (2016) 204303. the calculations were made with the monchick-mason approximation, as discussed by viehland et al. (2021)."
# comment: "Mi = 29.998, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-04-28 14:44:57"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13988_neutral_8_37/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "3db74fd0de2415f6377dfeb822d3b4fc7874f1b24d380c352d4192cc4e43336c"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,2.364200000000e+21
7.000000000000e-02,2.364200000000e+21
1.600000000000e-01,2.364300000000e+21
4.100000000000e-01,2.364700000000e+21
6.200000000000e-01,2.365400000000e+21
9.200000000000e-01,2.366900000000e+21
1.390000000000e+00,2.370200000000e+21
1.660000000000e+00,2.372900000000e+21
2.000000000000e+00,2.376700000000e+21
2.290000000000e+00,2.380700000000e+21
2.640000000000e+00,2.386100000000e+21
3.040000000000e+00,2.393100000000e+21
3.490000000000e+00,2.402400000000e+21
3.840000000000e+00,2.410300000000e+21
4.230000000000e+00,2.420000000000e+21
4.650000000000e+00,2.431500000000e+21
5.120000000000e+00,2.445500000000e+21
5.630000000000e+00,2.462400000000e+21
6.200000000000e+00,2.482600000000e+21
6.510000000000e+00,2.494500000000e+21
6.840000000000e+00,2.507600000000e+21
7.180000000000e+00,2.522000000000e+21
7.550000000000e+00,2.537600000000e+21
7.930000000000e+00,2.554900000000e+21
8.130000000000e+00,2.564200000000e+21
8.330000000000e+00,2.573900000000e+21
8.540000000000e+00,2.584200000000e+21
8.760000000000e+00,2.594900000000e+21
8.980000000000e+00,2.606200000000e+21
9.210000000000e+00,2.617900000000e+21
9.440000000000e+00,2.630300000000e+21
9.680000000000e+00,2.643100000000e+21
9.930000000000e+00,2.656600000000e+21
1.018000000000e+01,2.670600000000e+21
1.044000000000e+01,2.685400000000e+21
1.070000000000e+01,2.700900000000e+21
1.098000000000e+01,2.717300000000e+21
1.126000000000e+01,2.734100000000e+21
1.154000000000e+01,2.751400000000e+21
1.183000000000e+01,2.769500000000e+21
1.214000000000e+01,2.788400000000e+21
1.245000000000e+01,2.808500000000e+21
1.277000000000e+01,2.829200000000e+21
1.309000000000e+01,2.850800000000e+21
1.343000000000e+01,2.873600000000e+21
1.364000000000e+01,2.887300000000e+21
1.385000000000e+01,2.901900000000e+21
1.406000000000e+01,2.916600000000e+21
1.428000000000e+01,2.931900000000e+21
1.450000000000e+01,2.947100000000e+21
1.473000000000e+01,2.963400000000e+21
1.496000000000e+01,2.980500000000e+21
1.521000000000e+01,2.999600000000e+21
1.544000000000e+01,3.015500000000e+21
1.567000000000e+01,3.032300000000e+21
1.592000000000e+01,3.050200000000e+21
1.615000000000e+01,3.066500000000e+21
1.641000000000e+01,3.085100000000e+21
1.666000000000e+01,3.104200000000e+21
1.692000000000e+01,3.123700000000e+21
1.719000000000e+01,3.143600000000e+21
1.746000000000e+01,3.164000000000e+21
1.773000000000e+01,3.184800000000e+21
1.801000000000e+01,3.206000000000e+21
1.830000000000e+01,3.227800000000e+21
1.859000000000e+01,3.249900000000e+21
1.888000000000e+01,3.272500000000e+21
1.918000000000e+01,3.295600000000e+21
1.949000000000e+01,3.319200000000e+21
1.979000000000e+01,3.343200000000e+21
2.011000000000e+01,3.367600000000e+21
2.043000000000e+01,3.392900000000e+21
2.076000000000e+01,3.418100000000e+21
2.109000000000e+01,3.444100000000e+21
2.143000000000e+01,3.470500000000e+21
2.213000000000e+01,3.524900000000e+21
2.285000000000e+01,3.581100000000e+21
2.360000000000e+01,3.639300000000e+21
2.438000000000e+01,3.699500000000e+21
2.518000000000e+01,3.761600000000e+21
2.560000000000e+01,3.793400000000e+21
2.602000000000e+01,3.825600000000e+21
2.645000000000e+01,3.858300000000e+21
2.689000000000e+01,3.891500000000e+21
2.734000000000e+01,3.925200000000e+21
2.780000000000e+01,3.959400000000e+21
2.827000000000e+01,3.994000000000e+21
2.874000000000e+01,4.029000000000e+21
2.923000000000e+01,4.064300000000e+21
2.972000000000e+01,4.100200000000e+21
3.023000000000e+01,4.136500000000e+21
3.074000000000e+01,4.173200000000e+21
3.127000000000e+01,4.210200000000e+21
3.236000000000e+01,4.285700000000e+21
3.292000000000e+01,4.325300000000e+21
3.349000000000e+01,4.363500000000e+21
3.408000000000e+01,4.402800000000e+21
3.467000000000e+01,4.442400000000e+21
3.528000000000e+01,4.482600000000e+21
3.591000000000e+01,4.522800000000e+21
3.654000000000e+01,4.563500000000e+21
3.720000000000e+01,4.604400000000e+21
3.786000000000e+01,4.645700000000e+21
4.068000000000e+01,4.813700000000e+21
4.142000000000e+01,4.856200000000e+21
4.219000000000e+01,4.898900000000e+21
4.297000000000e+01,4.941800000000e+21
4.377000000000e+01,4.984800000000e+21
4.458000000000e+01,5.027700000000e+21
4.628000000000e+01,5.116300000000e+21
4.806000000000e+01,5.204600000000e+21
4.992000000000e+01,5.291400000000e+21
5.724000000000e+01,5.597300000000e+21
5.840000000000e+01,5.639900000000e+21
5.959000000000e+01,5.678900000000e+21
6.080000000000e+01,5.725200000000e+21
6.206000000000e+01,5.767900000000e+21
6.334000000000e+01,5.809600000000e+21
6.466000000000e+01,5.850400000000e+21
6.601000000000e+01,5.891600000000e+21
6.741000000000e+01,5.932400000000e+21
6.884000000000e+01,5.974000000000e+21
7.031000000000e+01,6.013000000000e+21
7.182000000000e+01,6.052800000000e+21
7.499000000000e+01,6.129000000000e+21
7.833000000000e+01,6.203400000000e+21
8.188000000000e+01,6.242700000000e+21
8.373000000000e+01,6.312000000000e+21
8.564000000000e+01,6.325900000000e+21
8.760000000000e+01,6.379600000000e+21
8.963000000000e+01,6.412700000000e+21
9.171000000000e+01,6.419300000000e+21
9.607000000000e+01,6.504000000000e+21
9.835000000000e+01,6.540200000000e+21
1.007000000000e+02,6.572500000000e+21
1.031300000000e+02,6.603000000000e+21
1.056300000000e+02,6.671300000000e+21
1.082100000000e+02,6.662000000000e+21
1.108700000000e+02,6.691800000000e+21
1.136100000000e+02,6.721500000000e+21
1.164500000000e+02,6.751500000000e+21
1.193700000000e+02,6.787000000000e+21
1.223800000000e+02,6.818200000000e+21
1.254900000000e+02,6.851900000000e+21
1.286900000000e+02,6.879900000000e+21
1.320000000000e+02,6.912200000000e+21
1.354200000000e+02,6.946200000000e+21
1.389400000000e+02,6.981600000000e+21
1.425800000000e+02,7.020300000000e+21
1.464000000000e+02,7.052800000000e+21
1.502000000000e+02,7.078800000000e+21
1.626500000000e+02,7.210200000000e+21
1.671200000000e+02,7.247200000000e+21
1.715100000000e+02,7.274100000000e+21
1.761500000000e+02,7.431100000000e+21
1.809600000000e+02,7.372600000000e+21
2.079900000000e+02,7.706500000000e+21
2.131800000000e+02,7.702500000000e+21
2.191300000000e+02,7.818200000000e+21
2.253000000000e+02,7.862500000000e+21
2.316500000000e+02,7.907100000000e+21
2.382000000000e+02,8.069100000000e+21
2.449500000000e+02,8.061600000000e+21
2.519100000000e+02,8.198100000000e+21
2.591100000000e+02,8.237200000000e+21
2.665000000000e+02,8.318800000000e+21
2.741100000000e+02,8.413100000000e+21
2.819700000000e+02,8.482100000000e+21
2.900700000000e+02,8.590200000000e+21
2.984200000000e+02,8.677500000000e+21
3.976400000000e+02,9.952300000000e+21
4.089700000000e+02,9.633800000000e+21
