# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_8ec8e49abf00a0601557"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "14N^+(3P0)"
# neutral: "He"
# gas_temperature_K: 4.35
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 4.35 K"
# group_comment: "Mobility Data in He, Sanderson et al., J. Chem. Phys. 103 (1995) 7098."
# source_family: "transport data in he, sanderson et al., j. chem. phys. 103 (1995) 7098."
# comment: ""
# updated: "2011-12-13 14:11:20"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_034_7986_7986/003_mobility.txt"
# source_file_sha256: "891776ddaa5a7ab4245ba7746abeafdf5c3ed4332b3a93c2d1a4d7e306fee843"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e+00,3.950952249277e+22
3.000000000000e+00,4.083534539521e+22
4.000000000000e+00,4.136567455619e+22
5.000000000000e+00,4.189600371716e+22
6.000000000000e+00,4.216116829765e+22
7.000000000000e+00,4.269149745863e+22
8.000000000000e+00,4.322182661960e+22
9.000000000000e+00,4.375215578058e+22
1.000000000000e+01,4.454764952205e+22
1.200000000000e+01,4.534314326351e+22
1.400000000000e+01,4.640380158547e+22
1.600000000000e+01,4.693413074644e+22
1.800000000000e+01,4.772962448791e+22
2.000000000000e+01,4.879028280986e+22
2.200000000000e+01,4.958577655133e+22
2.400000000000e+01,5.064643487328e+22
2.600000000000e+01,5.144192861474e+22
2.800000000000e+01,5.223742235621e+22
3.000000000000e+01,5.356324525865e+22
3.400000000000e+01,5.488906816109e+22
3.800000000000e+01,5.594972648305e+22
4.200000000000e+01,5.701038480500e+22
5.000000000000e+01,5.807104312695e+22
5.800000000000e+01,5.939686602940e+22
6.600000000000e+01,5.992719519037e+22
