# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_621362e491f771de768a"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "70Ge^+(2P)"
# neutral: "He"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 69.9242, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-12-28 21:31:05"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14054_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "67f1f9d32e4eb30969ec23a3c3d3ad70f3dd6d323be4075ec492cbe14fedd9c7"
reduced_electric_field_Td,reduced_transport_SI
1.000000000000e-02,4.914295170191e+22
3.600000000000e-01,4.914560334772e+22
6.300000000000e-01,4.914825499352e+22
8.900000000000e-01,4.915355828513e+22
1.240000000000e+00,4.916416486835e+22
1.490000000000e+00,4.917211980576e+22
1.790000000000e+00,4.918537803479e+22
2.060000000000e+00,4.919863626381e+22
2.360000000000e+00,4.921454613864e+22
2.720000000000e+00,4.923841095089e+22
3.430000000000e+00,4.929409551279e+22
3.770000000000e+00,4.932591526245e+22
3.960000000000e+00,4.934447678308e+22
4.160000000000e+00,4.936568994952e+22
4.360000000000e+00,4.938690311596e+22
4.580000000000e+00,4.941076792820e+22
4.810000000000e+00,4.943728438625e+22
5.040000000000e+00,4.946645249011e+22
5.290000000000e+00,4.950092388557e+22
5.550000000000e+00,4.953539528103e+22
5.830000000000e+00,4.957516996811e+22
6.110000000000e+00,4.961494465518e+22
6.410000000000e+00,4.966002263386e+22
6.540000000000e+00,4.968123580030e+22
6.670000000000e+00,4.970244896674e+22
6.800000000000e+00,4.972366213318e+22
6.930000000000e+00,4.974752694542e+22
7.060000000000e+00,4.977139175767e+22
7.200000000000e+00,4.979525656991e+22
7.340000000000e+00,4.981646973635e+22
7.490000000000e+00,4.984298619440e+22
7.630000000000e+00,4.987215429825e+22
7.780000000000e+00,4.989867075630e+22
7.930000000000e+00,4.992783886016e+22
8.080000000000e+00,4.995700696401e+22
8.240000000000e+00,4.998882671367e+22
9.070000000000e+00,5.015853204518e+22
9.240000000000e+00,5.019565508645e+22
9.420000000000e+00,5.023277812772e+22
9.600000000000e+00,5.027255281479e+22
9.780000000000e+00,5.031497914767e+22
9.970000000000e+00,5.035740548055e+22
1.016000000000e+01,5.039983181343e+22
1.036000000000e+01,5.044490979211e+22
1.055000000000e+01,5.048998777079e+22
1.096000000000e+01,5.058809866557e+22
1.117000000000e+01,5.063847993586e+22
1.138000000000e+01,5.069151285196e+22
1.159000000000e+01,5.074454576806e+22
1.181000000000e+01,5.080023032996e+22
1.204000000000e+01,5.085591489187e+22
1.226000000000e+01,5.091159945377e+22
1.249000000000e+01,5.097258730728e+22
1.273000000000e+01,5.103092351499e+22
1.297000000000e+01,5.109456301430e+22
1.321000000000e+01,5.115820251362e+22
1.346000000000e+01,5.122184201294e+22
1.371000000000e+01,5.128813315806e+22
1.396000000000e+01,5.135442430318e+22
1.422000000000e+01,5.142336709411e+22
1.449000000000e+01,5.149230988504e+22
1.476000000000e+01,5.156390432177e+22
1.503000000000e+01,5.163549875850e+22
1.531000000000e+01,5.170709319523e+22
1.560000000000e+01,5.178133927777e+22
1.588000000000e+01,5.185558536031e+22
1.618000000000e+01,5.192983144284e+22
1.648000000000e+01,5.200672917118e+22
1.678000000000e+01,5.208362689953e+22
1.709000000000e+01,5.215787298206e+22
1.741000000000e+01,5.223477071040e+22
1.773000000000e+01,5.231166843875e+22
1.806000000000e+01,5.238856616709e+22
1.839000000000e+01,5.246281224962e+22
1.873000000000e+01,5.253970997797e+22
1.908000000000e+01,5.261395606050e+22
1.944000000000e+01,5.268555049723e+22
1.980000000000e+01,5.275714493397e+22
2.017000000000e+01,5.282873937070e+22
2.054000000000e+01,5.289503051582e+22
2.093000000000e+01,5.296132166094e+22
2.132000000000e+01,5.302496116026e+22
2.172000000000e+01,5.308594901377e+22
2.213000000000e+01,5.314163357567e+22
2.255000000000e+01,5.319466649177e+22
2.298000000000e+01,5.324504776207e+22
2.342000000000e+01,5.328747409494e+22
2.388000000000e+01,5.332724878202e+22
2.434000000000e+01,5.336172017748e+22
2.580000000000e+01,5.342535967680e+22
2.632000000000e+01,5.343066296841e+22
2.685000000000e+01,5.342270803099e+22
2.739000000000e+01,5.341740473938e+22
2.795000000000e+01,5.339884321875e+22
2.853000000000e+01,5.337232676070e+22
2.912000000000e+01,5.333520371943e+22
2.973000000000e+01,5.328482244914e+22
3.036000000000e+01,5.323178953304e+22
3.169000000000e+01,5.308594901377e+22
3.238000000000e+01,5.299314141060e+22
3.310000000000e+01,5.288972722421e+22
3.384000000000e+01,5.277305480880e+22
3.460000000000e+01,5.264577581016e+22
3.540000000000e+01,5.250523858250e+22
3.706000000000e+01,5.218438944011e+22
3.794000000000e+01,5.200407752538e+22
3.885000000000e+01,5.181581067323e+22
3.978000000000e+01,5.161163394626e+22
4.076000000000e+01,5.139419899026e+22
4.176000000000e+01,5.116880909684e+22
4.280000000000e+01,5.092750932860e+22
4.388000000000e+01,5.067295133133e+22
4.499000000000e+01,5.041574168825e+22
4.615000000000e+01,5.014262217035e+22
4.734000000000e+01,4.985889606923e+22
4.858000000000e+01,4.956721503069e+22
4.985000000000e+01,4.926492740893e+22
5.118000000000e+01,4.895468484976e+22
5.254000000000e+01,4.863648735318e+22
5.396000000000e+01,4.830768327337e+22
5.542000000000e+01,4.798948577679e+22
5.693000000000e+01,4.765537840537e+22
6.177000000000e+01,4.659472008342e+22
6.349000000000e+01,4.623939954556e+22
6.527000000000e+01,4.587612407029e+22
6.711000000000e+01,4.551284859502e+22
6.900000000000e+01,4.514426982815e+22
7.096000000000e+01,4.478099435288e+22
7.298000000000e+01,4.441241558600e+22
7.506000000000e+01,4.404118517331e+22
7.721000000000e+01,4.366995476063e+22
7.942000000000e+01,4.329872434795e+22
8.171000000000e+01,4.293014558107e+22
8.406000000000e+01,4.255891516838e+22
8.649000000000e+01,4.219033640151e+22
8.899000000000e+01,4.182440928043e+22
9.157000000000e+01,4.145848215936e+22
9.422000000000e+01,4.109255503828e+22
9.696000000000e+01,4.073193120882e+22
9.977000000000e+01,4.037130737935e+22
1.026700000000e+02,4.001333519570e+22
1.056600000000e+02,3.966066630365e+22
1.087300000000e+02,3.930799741160e+22
1.118900000000e+02,3.896063181116e+22
1.151500000000e+02,3.861591785652e+22
1.184900000000e+02,3.827385554769e+22
1.219300000000e+02,3.793444488467e+22
1.254700000000e+02,3.760033751325e+22
1.290500000000e+02,3.729009495408e+22
1.328500000000e+02,3.694272935364e+22
1.367000000000e+02,3.661922856544e+22
1.406500000000e+02,3.630103106886e+22
1.447100000000e+02,3.598548521808e+22
1.488900000000e+02,3.567524265891e+22
1.531700000000e+02,3.537030339134e+22
1.575800000000e+02,3.506536412378e+22
1.714600000000e+02,3.418766936237e+22
1.764000000000e+02,3.390129161544e+22
1.814200000000e+02,3.362286880593e+22
1.865700000000e+02,3.334444599641e+22
1.918500000000e+02,3.307132647851e+22
1.973200000000e+02,3.280881354383e+22
2.028400000000e+02,3.254364896334e+22
2.085400000000e+02,3.228643932026e+22
2.143900000000e+02,3.203188132300e+22
2.203800000000e+02,3.178262661734e+22
2.265300000000e+02,3.153602355748e+22
2.328300000000e+02,3.129472378924e+22
2.392900000000e+02,3.106137895841e+22
2.526600000000e+02,3.059999258836e+22
2.596200000000e+02,3.038786092397e+22
