# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_70678e1c5b52d1db3456"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "70Ge^+(2P3/2)"
# neutral: "He"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 69.9242, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-12-28 20:13:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14056_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "b765726928fad7d53cf423cb30d81840969d930c9155ddda07b42f5d9d7ca22e"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,4.895998814137e+22
9.000000000000e-02,4.895998814137e+22
3.600000000000e-01,4.895998814137e+22
6.300000000000e-01,4.895998814137e+22
1.540000000000e+00,4.895733649557e+22
2.160000000000e+00,4.895733649557e+22
3.110000000000e+00,4.895468484976e+22
4.120000000000e+00,4.895203320396e+22
4.730000000000e+00,4.894938155815e+22
5.440000000000e+00,4.894672991235e+22
6.590000000000e+00,4.893877497493e+22
6.920000000000e+00,4.893612332913e+22
7.270000000000e+00,4.893347168332e+22
7.630000000000e+00,4.893082003752e+22
8.410000000000e+00,4.892286510010e+22
8.830000000000e+00,4.891756180850e+22
1.074000000000e+01,4.889369699625e+22
1.151000000000e+01,4.888043876723e+22
1.222000000000e+01,4.886718053820e+22
1.323000000000e+01,4.884331572596e+22
1.491000000000e+01,4.879558610147e+22
1.552000000000e+01,4.877702458084e+22
1.584000000000e+01,4.876641799762e+22
1.616000000000e+01,4.875315976859e+22
1.649000000000e+01,4.873990153957e+22
1.682000000000e+01,4.872664331054e+22
1.716000000000e+01,4.871338508152e+22
1.751000000000e+01,4.869747520669e+22
1.787000000000e+01,4.868156533186e+22
1.823000000000e+01,4.866565545703e+22
1.860000000000e+01,4.864709393640e+22
1.898000000000e+01,4.862853241576e+22
1.937000000000e+01,4.860731924932e+22
1.977000000000e+01,4.858610608288e+22
2.017000000000e+01,4.856224127064e+22
2.058000000000e+01,4.853837645840e+22
2.101000000000e+01,4.851186000035e+22
2.144000000000e+01,4.848269189649e+22
2.188000000000e+01,4.845352379264e+22
2.233000000000e+01,4.842170404298e+22
2.280000000000e+01,4.838988429332e+22
2.327000000000e+01,4.835276125205e+22
2.376000000000e+01,4.831563821079e+22
2.425000000000e+01,4.827586352371e+22
2.476000000000e+01,4.823343719084e+22
2.528000000000e+01,4.818835921215e+22
2.581000000000e+01,4.814062958766e+22
2.635000000000e+01,4.809024831737e+22
2.691000000000e+01,4.803456375547e+22
2.748000000000e+01,4.797887919357e+22
2.807000000000e+01,4.791789134005e+22
2.867000000000e+01,4.785425184074e+22
2.928000000000e+01,4.778796069561e+22
2.991000000000e+01,4.771636625888e+22
3.056000000000e+01,4.764212017635e+22
3.123000000000e+01,4.756257080220e+22
3.191000000000e+01,4.748036978225e+22
3.261000000000e+01,4.739286547069e+22
3.333000000000e+01,4.730005786752e+22
3.406000000000e+01,4.720459861854e+22
3.482000000000e+01,4.710383607795e+22
3.560000000000e+01,4.699511859995e+22
3.640000000000e+01,4.688374947615e+22
3.723000000000e+01,4.676707706073e+22
3.807000000000e+01,4.664244970790e+22
3.894000000000e+01,4.651517070927e+22
3.984000000000e+01,4.637993677322e+22
4.076000000000e+01,4.623939954556e+22
4.171000000000e+01,4.609355902629e+22
4.269000000000e+01,4.594241521542e+22
4.370000000000e+01,4.578331646712e+22
4.474000000000e+01,4.561891442722e+22
4.581000000000e+01,4.544655744990e+22
4.691000000000e+01,4.526889718098e+22
4.805000000000e+01,4.508593362044e+22
4.922000000000e+01,4.489501512249e+22
5.043000000000e+01,4.470674827034e+22
5.297000000000e+01,4.428778823317e+22
5.430000000000e+01,4.407035327717e+22
5.567000000000e+01,4.385026667536e+22
5.708000000000e+01,4.361957349034e+22
5.854000000000e+01,4.338622865951e+22
6.004000000000e+01,4.314758053707e+22
6.160000000000e+01,4.290362912302e+22
6.320000000000e+01,4.265702606316e+22
6.487000000000e+01,4.239451312848e+22
6.656000000000e+01,4.213995513121e+22
6.833000000000e+01,4.187744219653e+22
7.015000000000e+01,4.160697432443e+22
7.202000000000e+01,4.133650645233e+22
7.396000000000e+01,4.105808364282e+22
7.596000000000e+01,4.077966083331e+22
7.802000000000e+01,4.049593473218e+22
8.014000000000e+01,4.021751192267e+22
8.235000000000e+01,3.992052759252e+22
8.461000000000e+01,3.963149819979e+22
8.695000000000e+01,3.933716551545e+22
8.936000000000e+01,3.904283283111e+22
9.184000000000e+01,3.874584850096e+22
9.440000000000e+01,3.844886417081e+22
9.704000000000e+01,3.815187984067e+22
9.976000000000e+01,3.784959221891e+22
1.025700000000e+02,3.755260788876e+22
1.054500000000e+02,3.725562355862e+22
1.084300000000e+02,3.695598758266e+22
1.115000000000e+02,3.665635160671e+22
1.146500000000e+02,3.635936727657e+22
1.179000000000e+02,3.606238294642e+22
1.212500000000e+02,3.576805026208e+22
1.247000000000e+02,3.547371757773e+22
1.282400000000e+02,3.518203653920e+22
1.318900000000e+02,3.489035550066e+22
1.356400000000e+02,3.460397775373e+22
1.395100000000e+02,3.430169013198e+22
1.434800000000e+02,3.403387390568e+22
1.475600000000e+02,3.375279945037e+22
1.517600000000e+02,3.347172499505e+22
1.560800000000e+02,3.319595383134e+22
1.605200000000e+02,3.292283431344e+22
1.650800000000e+02,3.265236644134e+22
1.697600000000e+02,3.238455021505e+22
1.745500000000e+02,3.212203728036e+22
1.795200000000e+02,3.185952434568e+22
1.845900000000e+02,3.160231470260e+22
1.898100000000e+02,3.134510505953e+22
1.951600000000e+02,3.109585035387e+22
2.006500000000e+02,3.084659564821e+22
2.062900000000e+02,3.060264423416e+22
2.120700000000e+02,3.036134446592e+22
2.180100000000e+02,3.012534798928e+22
2.241000000000e+02,2.989200315845e+22
2.303400000000e+02,2.966130997343e+22
2.367400000000e+02,2.943592008001e+22
2.433000000000e+02,2.921318183240e+22
2.500300000000e+02,2.899309523060e+22
2.569300000000e+02,2.877831192040e+22
2.639900000000e+02,2.857148354762e+22
2.712300000000e+02,2.835935188323e+22
2.786400000000e+02,2.815517515626e+22
2.862300000000e+02,2.795630172089e+22
2.940100000000e+02,2.776007993133e+22
3.019700000000e+02,2.756650978757e+22
3.099400000000e+02,2.739680445606e+22
3.184600000000e+02,2.719262772908e+22
3.269900000000e+02,2.701231581435e+22
3.357200000000e+02,2.683465554542e+22
3.446500000000e+02,2.665964692230e+22
3.537700000000e+02,2.649100224911e+22
3.631100000000e+02,2.632474405714e+22
3.726600000000e+02,2.616219816930e+22
3.824200000000e+02,2.600309942101e+22
3.923800000000e+02,2.584850847059e+22
4.025600000000e+02,2.569709949513e+22
4.129700000000e+02,2.554940282380e+22
4.235900000000e+02,2.540541845659e+22
4.344400000000e+02,2.526514639351e+22
4.455200000000e+02,2.512858663456e+22
4.568200000000e+02,2.499653467348e+22
4.683600000000e+02,2.486633886446e+22
4.801300000000e+02,2.474091601789e+22
4.921300000000e+02,2.461867514628e+22
5.043800000000e+02,2.450041174338e+22
5.168600000000e+02,2.438559548003e+22
