# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_f6f49ce65fc2a54a8d3b"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "72Ge^+(2P1/2)"
# neutral: "He"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 4.0026, &alpha; = 0.205052."
# updated: "2022-01-01 15:59:42"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14061_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "a3cc70b925dbdda5bc7a7b8cd660f9e25ef56f91ba9f33073b2592f9e70b50ea"
reduced_electric_field_Td,reduced_transport_SI
1.000000000000e-02,1.053400000000e+21
6.000000000000e-02,1.053400000000e+21
2.400000000000e-01,1.053700000000e+21
4.200000000000e-01,1.054400000000e+21
7.300000000000e-01,1.056500000000e+21
1.720000000000e+00,1.070700000000e+21
2.060000000000e+00,1.078300000000e+21
2.370000000000e+00,1.086300000000e+21
2.720000000000e+00,1.097000000000e+21
3.130000000000e+00,1.111100000000e+21
3.600000000000e+00,1.129800000000e+21
3.950000000000e+00,1.146100000000e+21
4.350000000000e+00,1.165700000000e+21
4.560000000000e+00,1.177300000000e+21
4.790000000000e+00,1.190100000000e+21
5.020000000000e+00,1.204300000000e+21
5.270000000000e+00,1.219900000000e+21
6.090000000000e+00,1.277300000000e+21
6.390000000000e+00,1.300500000000e+21
6.710000000000e+00,1.326200000000e+21
7.040000000000e+00,1.354600000000e+21
7.820000000000e+00,1.428100000000e+21
7.980000000000e+00,1.443300000000e+21
8.620000000000e+00,1.510700000000e+21
9.130000000000e+00,1.568800000000e+21
9.680000000000e+00,1.633600000000e+21
1.025000000000e+01,1.706300000000e+21
1.045000000000e+01,1.732300000000e+21
1.065000000000e+01,1.759300000000e+21
1.107000000000e+01,1.816200000000e+21
1.128000000000e+01,1.846300000000e+21
1.150000000000e+01,1.877300000000e+21
1.173000000000e+01,1.909400000000e+21
1.195000000000e+01,1.942500000000e+21
1.218000000000e+01,1.976900000000e+21
1.242000000000e+01,2.012300000000e+21
1.266000000000e+01,2.048800000000e+21
1.291000000000e+01,2.086500000000e+21
1.316000000000e+01,2.125200000000e+21
1.341000000000e+01,2.165200000000e+21
1.367000000000e+01,2.206300000000e+21
1.394000000000e+01,2.248500000000e+21
1.421000000000e+01,2.291800000000e+21
1.449000000000e+01,2.336300000000e+21
1.477000000000e+01,2.381900000000e+21
1.506000000000e+01,2.428500000000e+21
1.536000000000e+01,2.476200000000e+21
1.566000000000e+01,2.524900000000e+21
1.596000000000e+01,2.574700000000e+21
1.628000000000e+01,2.625500000000e+21
1.660000000000e+01,2.677100000000e+21
1.693000000000e+01,2.729800000000e+21
1.727000000000e+01,2.783200000000e+21
1.761000000000e+01,2.837300000000e+21
1.796000000000e+01,2.892200000000e+21
1.832000000000e+01,2.947800000000e+21
1.869000000000e+01,3.004000000000e+21
1.907000000000e+01,3.060700000000e+21
1.946000000000e+01,3.118000000000e+21
1.985000000000e+01,3.175700000000e+21
2.026000000000e+01,3.233700000000e+21
2.068000000000e+01,3.292100000000e+21
2.111000000000e+01,3.350700000000e+21
2.155000000000e+01,3.409600000000e+21
2.200000000000e+01,3.468600000000e+21
2.247000000000e+01,3.527900000000e+21
2.294000000000e+01,3.587100000000e+21
2.343000000000e+01,3.646600000000e+21
2.394000000000e+01,3.705700000000e+21
2.446000000000e+01,3.764900000000e+21
2.499000000000e+01,3.824800000000e+21
2.554000000000e+01,3.884500000000e+21
2.611000000000e+01,3.944400000000e+21
2.669000000000e+01,4.005200000000e+21
2.729000000000e+01,4.067400000000e+21
2.791000000000e+01,4.125500000000e+21
2.855000000000e+01,4.187300000000e+21
2.921000000000e+01,4.248900000000e+21
2.989000000000e+01,4.311700000000e+21
3.059000000000e+01,4.372200000000e+21
3.132000000000e+01,4.487100000000e+21
3.283000000000e+01,4.567700000000e+21
3.363000000000e+01,4.635400000000e+21
3.445000000000e+01,4.704300000000e+21
3.530000000000e+01,4.771300000000e+21
3.617000000000e+01,4.842800000000e+21
3.708000000000e+01,4.922600000000e+21
3.801000000000e+01,4.999500000000e+21
3.898000000000e+01,5.080000000000e+21
3.997000000000e+01,5.169700000000e+21
4.099000000000e+01,5.252400000000e+21
4.205000000000e+01,5.338200000000e+21
4.315000000000e+01,5.427100000000e+21
4.428000000000e+01,5.523000000000e+21
4.544000000000e+01,5.621500000000e+21
4.665000000000e+01,5.727100000000e+21
4.789000000000e+01,5.831500000000e+21
4.917000000000e+01,5.945700000000e+21
5.049000000000e+01,6.063300000000e+21
5.186000000000e+01,6.184400000000e+21
5.326000000000e+01,6.311600000000e+21
5.472000000000e+01,6.444100000000e+21
5.621000000000e+01,6.603200000000e+21
5.776000000000e+01,6.725700000000e+21
5.935000000000e+01,6.861400000000e+21
6.099000000000e+01,7.035100000000e+21
6.268000000000e+01,7.239500000000e+21
6.442000000000e+01,7.350600000000e+21
6.622000000000e+01,7.559600000000e+21
6.807000000000e+01,7.731400000000e+21
6.997000000000e+01,7.924800000000e+21
7.194000000000e+01,8.121000000000e+21
7.396000000000e+01,8.327700000000e+21
7.604000000000e+01,8.578200000000e+21
7.819000000000e+01,8.775000000000e+21
8.039000000000e+01,9.037700000000e+21
8.266000000000e+01,9.253400000000e+21
8.500000000000e+01,9.510100000000e+21
8.741000000000e+01,9.771800000000e+21
8.989000000000e+01,9.582900000000e+21
9.243000000000e+01,1.032630000000e+22
9.505000000000e+01,1.062850000000e+22
9.775000000000e+01,1.094780000000e+22
1.005200000000e+02,1.126960000000e+22
1.033600000000e+02,1.167650000000e+22
1.062900000000e+02,1.195510000000e+22
1.093000000000e+02,1.231870000000e+22
1.124000000000e+02,1.269680000000e+22
