# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_8729ea9fc8aeb0abad12"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "73Ge^+(2P)"
# neutral: "He"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 72.9235, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-12-28 21:31:05"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14067_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "13a7ffeaa03cfc4554349c78dfa6cd0339243d64cec6763384163e40a47f5c0c"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,1.825100000000e+21
1.000000000000e-01,1.825200000000e+21
3.900000000000e-01,1.825600000000e+21
6.800000000000e-01,1.826600000000e+21
1.190000000000e+00,1.829500000000e+21
1.670000000000e+00,1.833700000000e+21
2.340000000000e+00,1.842000000000e+21
2.810000000000e+00,1.849400000000e+21
3.370000000000e+00,1.860100000000e+21
3.870000000000e+00,1.871300000000e+21
4.460000000000e+00,1.886100000000e+21
5.130000000000e+00,1.905600000000e+21
5.900000000000e+00,1.931300000000e+21
6.490000000000e+00,1.953300000000e+21
7.140000000000e+00,1.979900000000e+21
8.270000000000e+00,2.031400000000e+21
8.690000000000e+00,2.052000000000e+21
9.130000000000e+00,2.074700000000e+21
9.590000000000e+00,2.099500000000e+21
1.007000000000e+01,2.126800000000e+21
1.168000000000e+01,2.224900000000e+21
1.227000000000e+01,2.263800000000e+21
1.252000000000e+01,2.280700000000e+21
1.277000000000e+01,2.298100000000e+21
1.303000000000e+01,2.316100000000e+21
1.357000000000e+01,2.354200000000e+21
1.385000000000e+01,2.374300000000e+21
1.413000000000e+01,2.395300000000e+21
1.501000000000e+01,2.461000000000e+21
1.532000000000e+01,2.485200000000e+21
1.563000000000e+01,2.509700000000e+21
1.595000000000e+01,2.535000000000e+21
1.628000000000e+01,2.561100000000e+21
1.662000000000e+01,2.588100000000e+21
1.696000000000e+01,2.615900000000e+21
1.731000000000e+01,2.644700000000e+21
1.766000000000e+01,2.674300000000e+21
1.803000000000e+01,2.704900000000e+21
1.840000000000e+01,2.736400000000e+21
1.878000000000e+01,2.768800000000e+21
1.917000000000e+01,2.802200000000e+21
1.957000000000e+01,2.836600000000e+21
1.998000000000e+01,2.872000000000e+21
2.040000000000e+01,2.908400000000e+21
2.083000000000e+01,2.945800000000e+21
