# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_80fd03ed9b88dbe68e55"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "73Ge^+(2P1/2)"
# neutral: "He"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 72.9235, M = 4.0026, &alpha; = 0.205052."
# updated: "2022-01-01 15:59:42"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14068_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "06442a614b1975fc5bbf43e7a4c060f9ff873af2820ab0c4e0edcffa73ec265f"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,6.196896246013e+22
7.000000000000e-02,6.196896246013e+22
8.700000000000e-01,6.197956904335e+22
1.220000000000e+00,6.197956904335e+22
1.710000000000e+00,6.197956904335e+22
2.050000000000e+00,6.198222068916e+22
2.460000000000e+00,6.198222068916e+22
2.830000000000e+00,6.198752398077e+22
3.250000000000e+00,6.198752398077e+22
3.740000000000e+00,6.199017562657e+22
4.300000000000e+00,6.199547891818e+22
4.730000000000e+00,6.200343385560e+22
5.200000000000e+00,6.200343385560e+22
5.460000000000e+00,6.200343385560e+22
6.020000000000e+00,6.200343385560e+22
6.320000000000e+00,6.200343385560e+22
6.970000000000e+00,6.200078220979e+22
8.070000000000e+00,6.199547891818e+22
9.080000000000e+00,6.198487233496e+22
9.260000000000e+00,6.198222068916e+22
9.440000000000e+00,6.197956904335e+22
9.630000000000e+00,6.197691739755e+22
1.002000000000e+01,6.196896246013e+22
1.107000000000e+01,6.193979435628e+22
1.175000000000e+01,6.191327789823e+22
1.199000000000e+01,6.190267131501e+22
1.223000000000e+01,6.189206473179e+22
1.248000000000e+01,6.188145814857e+22
1.273000000000e+01,6.186819991955e+22
1.299000000000e+01,6.185494169052e+22
1.325000000000e+01,6.183903181569e+22
1.352000000000e+01,6.182312194086e+22
1.380000000000e+01,6.180456042023e+22
1.408000000000e+01,6.178599889960e+22
1.436000000000e+01,6.176478573316e+22
1.466000000000e+01,6.174092092091e+22
1.496000000000e+01,6.171705610867e+22
1.526000000000e+01,6.169053965062e+22
1.557000000000e+01,6.166137154677e+22
1.589000000000e+01,6.162955179711e+22
1.622000000000e+01,6.159773204745e+22
1.655000000000e+01,6.156060900618e+22
1.690000000000e+01,6.152083431911e+22
1.725000000000e+01,6.148105963203e+22
1.760000000000e+01,6.143598165335e+22
1.797000000000e+01,6.139090367467e+22
1.835000000000e+01,6.133787075857e+22
1.873000000000e+01,6.128483784247e+22
1.912000000000e+01,6.122650163477e+22
1.952000000000e+01,6.116551378125e+22
1.994000000000e+01,6.110187428194e+22
2.036000000000e+01,6.103027984520e+22
2.079000000000e+01,6.095603376267e+22
2.124000000000e+01,6.087913603433e+22
2.169000000000e+01,6.079428336857e+22
