# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_174f3c10b8f3419128ba"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "73Ge^+(2P3/2)"
# neutral: "He"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 72.9235, M = 4.0026, &alpha; = 0.205052."
# updated: "2021-12-28 20:13:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14069_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "9e9437ac371cfc8faef6022142213251750570bd5a7e4a51089814bd508a260c"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,1.692800000000e+21
1.000000000000e-01,1.692800000000e+21
4.200000000000e-01,1.693200000000e+21
7.400000000000e-01,1.694100000000e+21
1.290000000000e+00,1.696900000000e+21
1.800000000000e+00,1.700800000000e+21
2.520000000000e+00,1.708500000000e+21
3.030000000000e+00,1.715500000000e+21
4.180000000000e+00,1.735900000000e+21
5.530000000000e+00,1.768000000000e+21
6.360000000000e+00,1.792000000000e+21
7.700000000000e+00,1.837400000000e+21
8.090000000000e+00,1.852000000000e+21
8.920000000000e+00,1.885600000000e+21
9.370000000000e+00,1.904900000000e+21
9.840000000000e+00,1.926200000000e+21
1.033000000000e+01,1.949400000000e+21
1.140000000000e+01,2.003100000000e+21
1.259000000000e+01,2.067000000000e+21
1.322000000000e+01,2.103600000000e+21
1.349000000000e+01,2.119500000000e+21
1.377000000000e+01,2.135800000000e+21
1.553000000000e+01,2.247100000000e+21
1.585000000000e+01,2.269300000000e+21
1.617000000000e+01,2.289600000000e+21
1.650000000000e+01,2.311900000000e+21
1.719000000000e+01,2.358900000000e+21
1.790000000000e+01,2.409100000000e+21
1.827000000000e+01,2.435400000000e+21
1.864000000000e+01,2.462600000000e+21
1.903000000000e+01,2.491100000000e+21
1.942000000000e+01,2.519500000000e+21
1.982000000000e+01,2.549300000000e+21
2.023000000000e+01,2.580000000000e+21
2.065000000000e+01,2.611700000000e+21
2.108000000000e+01,2.644200000000e+21
2.152000000000e+01,2.677800000000e+21
2.197000000000e+01,2.712300000000e+21
2.243000000000e+01,2.747800000000e+21
2.289000000000e+01,2.784300000000e+21
2.337000000000e+01,2.821800000000e+21
2.387000000000e+01,2.860300000000e+21
2.437000000000e+01,2.899800000000e+21
2.488000000000e+01,2.940400000000e+21
2.541000000000e+01,2.981900000000e+21
2.595000000000e+01,3.024500000000e+21
2.650000000000e+01,3.068000000000e+21
