# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_ad554783e5c540eb143d"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "74Ge^+(2P1/2)"
# neutral: "He"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 4.0026, &alpha; = 0.205052."
# updated: "2022-01-01 15:59:42"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14074_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "111020b0cb390392c34d2189c1c802f8942e9e049a194069b6e513875fe098ec"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,1.622900000000e+21
7.000000000000e-02,1.623000000000e+21
2.800000000000e-01,1.623400000000e+21
5.000000000000e-01,1.624300000000e+21
8.700000000000e-01,1.627200000000e+21
1.220000000000e+00,1.631300000000e+21
1.710000000000e+00,1.639300000000e+21
2.050000000000e+00,1.646500000000e+21
2.460000000000e+00,1.656700000000e+21
2.830000000000e+00,1.667700000000e+21
3.250000000000e+00,1.682000000000e+21
3.740000000000e+00,1.701000000000e+21
4.300000000000e+00,1.726100000000e+21
4.730000000000e+00,1.747600000000e+21
5.200000000000e+00,1.773600000000e+21
5.460000000000e+00,1.788800000000e+21
5.740000000000e+00,1.805700000000e+21
6.020000000000e+00,1.824200000000e+21
6.320000000000e+00,1.844500000000e+21
6.640000000000e+00,1.867100000000e+21
6.970000000000e+00,1.891600000000e+21
7.320000000000e+00,1.918700000000e+21
8.070000000000e+00,1.980900000000e+21
8.480000000000e+00,2.016600000000e+21
8.900000000000e+00,2.055700000000e+21
9.080000000000e+00,2.072600000000e+21
9.260000000000e+00,2.090100000000e+21
9.450000000000e+00,2.108300000000e+21
9.640000000000e+00,2.127100000000e+21
9.830000000000e+00,2.146900000000e+21
1.003000000000e+01,2.167100000000e+21
1.086000000000e+01,2.255200000000e+21
1.108000000000e+01,2.279300000000e+21
1.130000000000e+01,2.304200000000e+21
1.153000000000e+01,2.329900000000e+21
1.176000000000e+01,2.356700000000e+21
1.200000000000e+01,2.384200000000e+21
1.224000000000e+01,2.412600000000e+21
1.249000000000e+01,2.441900000000e+21
1.274000000000e+01,2.471700000000e+21
1.300000000000e+01,2.503500000000e+21
1.326000000000e+01,2.535800000000e+21
1.353000000000e+01,2.569100000000e+21
1.380000000000e+01,2.603300000000e+21
1.408000000000e+01,2.638700000000e+21
1.437000000000e+01,2.675000000000e+21
1.466000000000e+01,2.712400000000e+21
1.496000000000e+01,2.750800000000e+21
1.527000000000e+01,2.790400000000e+21
1.558000000000e+01,2.830900000000e+21
1.590000000000e+01,2.872600000000e+21
1.623000000000e+01,2.915300000000e+21
1.656000000000e+01,2.959100000000e+21
1.691000000000e+01,3.004000000000e+21
1.726000000000e+01,3.050000000000e+21
1.762000000000e+01,3.096900000000e+21
1.798000000000e+01,3.145000000000e+21
1.836000000000e+01,3.194200000000e+21
1.874000000000e+01,3.244300000000e+21
1.913000000000e+01,3.295500000000e+21
1.954000000000e+01,3.347600000000e+21
1.995000000000e+01,3.400700000000e+21
2.037000000000e+01,3.454800000000e+21
2.081000000000e+01,3.509900000000e+21
2.125000000000e+01,3.565800000000e+21
2.171000000000e+01,3.622700000000e+21
2.217000000000e+01,3.680400000000e+21
2.265000000000e+01,3.738900000000e+21
2.315000000000e+01,3.798400000000e+21
2.365000000000e+01,3.858600000000e+21
2.417000000000e+01,3.919700000000e+21
2.470000000000e+01,3.981600000000e+21
2.525000000000e+01,4.044300000000e+21
2.581000000000e+01,4.107700000000e+21
2.639000000000e+01,4.171900000000e+21
2.698000000000e+01,4.238300000000e+21
2.759000000000e+01,4.302800000000e+21
2.822000000000e+01,4.369400000000e+21
2.886000000000e+01,4.437400000000e+21
2.953000000000e+01,4.505300000000e+21
3.021000000000e+01,4.574600000000e+21
3.092000000000e+01,4.644900000000e+21
3.164000000000e+01,4.715500000000e+21
3.239000000000e+01,4.788700000000e+21
3.316000000000e+01,4.862700000000e+21
3.395000000000e+01,4.937400000000e+21
3.476000000000e+01,5.013500000000e+21
3.561000000000e+01,5.091100000000e+21
3.647000000000e+01,5.164300000000e+21
3.736000000000e+01,5.254600000000e+21
3.829000000000e+01,5.335100000000e+21
3.923000000000e+01,5.420200000000e+21
4.021000000000e+01,5.504100000000e+21
4.122000000000e+01,5.597300000000e+21
4.226000000000e+01,5.719900000000e+21
4.334000000000e+01,5.784800000000e+21
4.444000000000e+01,5.882900000000e+21
4.558000000000e+01,5.983900000000e+21
4.676000000000e+01,6.088500000000e+21
4.797000000000e+01,6.196700000000e+21
4.923000000000e+01,6.308400000000e+21
5.052000000000e+01,6.424000000000e+21
5.186000000000e+01,6.546800000000e+21
5.322000000000e+01,6.669200000000e+21
5.463000000000e+01,6.799000000000e+21
5.609000000000e+01,6.933600000000e+21
5.759000000000e+01,7.073500000000e+21
5.915000000000e+01,7.220700000000e+21
6.074000000000e+01,7.370100000000e+21
6.239000000000e+01,7.528100000000e+21
6.408000000000e+01,7.690900000000e+21
6.583000000000e+01,7.861900000000e+21
6.763000000000e+01,8.039700000000e+21
6.949000000000e+01,8.222900000000e+21
7.141000000000e+01,8.421800000000e+21
7.337000000000e+01,8.614900000000e+21
7.540000000000e+01,8.818300000000e+21
7.748000000000e+01,9.039600000000e+21
7.963000000000e+01,9.262900000000e+21
8.185000000000e+01,9.499700000000e+21
8.412000000000e+01,9.739200000000e+21
8.888000000000e+01,1.026270000000e+22
9.136000000000e+01,1.053690000000e+22
9.391000000000e+01,1.082320000000e+22
9.654000000000e+01,1.113130000000e+22
9.924000000000e+01,1.143140000000e+22
1.048800000000e+02,1.209140000000e+22
1.078200000000e+02,1.244070000000e+22
1.108300000000e+02,1.280470000000e+22
1.139400000000e+02,1.318540000000e+22
1.171300000000e+02,1.292510000000e+22
1.204100000000e+02,1.398460000000e+22
1.237700000000e+02,1.440970000000e+22
1.272300000000e+02,1.485820000000e+22
1.307900000000e+02,1.531990000000e+22
1.344400000000e+02,1.605820000000e+22
1.381900000000e+02,1.629900000000e+22
1.420400000000e+02,1.682040000000e+22
1.459900000000e+02,1.736160000000e+22
1.500500000000e+02,1.792460000000e+22
1.542100000000e+02,1.851040000000e+22
1.584800000000e+02,1.902170000000e+22
1.628700000000e+02,1.975220000000e+22
1.673700000000e+02,2.041400000000e+22
1.719900000000e+02,2.111340000000e+22
1.767300000000e+02,2.181620000000e+22
1.815900000000e+02,2.255740000000e+22
1.865700000000e+02,2.333160000000e+22
1.916800000000e+02,2.413630000000e+22
1.969200000000e+02,2.497370000000e+22
2.023000000000e+02,2.584510000000e+22
2.078000000000e+02,2.675240000000e+22
2.133300000000e+02,2.765200000000e+22
2.192400000000e+02,2.867770000000e+22
2.251700000000e+02,2.969880000000e+22
2.312500000000e+02,3.076250000000e+22
2.374800000000e+02,3.187910000000e+22
2.438700000000e+02,3.302200000000e+22
2.504100000000e+02,3.422180000000e+22
2.639600000000e+02,3.678540000000e+22
2.709900000000e+02,3.811630000000e+22
2.781900000000e+02,3.952190000000e+22
2.855500000000e+02,4.100770000000e+22
2.931000000000e+02,4.250190000000e+22
3.008300000000e+02,4.409340000000e+22
3.087400000000e+02,4.574160000000e+22
3.168300000000e+02,4.745770000000e+22
3.251200000000e+02,4.924360000000e+22
3.336000000000e+02,5.110610000000e+22
3.422900000000e+02,5.304090000000e+22
3.511700000000e+02,5.479150000000e+22
3.602700000000e+02,5.713550000000e+22
3.695700000000e+02,5.932080000000e+22
3.790900000000e+02,6.158720000000e+22
3.987900000000e+02,6.641120000000e+22
4.089900000000e+02,6.896150000000e+22
4.194100000000e+02,7.162470000000e+22
4.300800000000e+02,7.439420000000e+22
4.409900000000e+02,7.727720000000e+22
4.521400000000e+02,8.027620000000e+22
4.635500000000e+02,8.340360000000e+22
4.752200000000e+02,8.665600000000e+22
4.871500000000e+02,9.003830000000e+22
4.993400000000e+02,9.350890000000e+22
5.118100000000e+02,9.723340000000e+22
5.245600000000e+02,1.010750000000e+23
5.375900000000e+02,1.050270000000e+23
5.644000000000e+02,1.135300000000e+23
5.784400000000e+02,1.180360000000e+23
5.926600000000e+02,1.227500000000e+23
6.071900000000e+02,1.276510000000e+23
6.220300000000e+02,1.327610000000e+23
6.372000000000e+02,1.380880000000e+23
6.527000000000e+02,1.436450000000e+23
6.685300000000e+02,1.494410000000e+23
6.847000000000e+02,1.554890000000e+23
7.012200000000e+02,1.618000000000e+23
7.180800000000e+02,1.683860000000e+23
7.353100000000e+02,1.752630000000e+23
7.529000000000e+02,1.824440000000e+23
7.708500000000e+02,1.899430000000e+23
7.891800000000e+02,1.977790000000e+23
8.079000000000e+02,2.059660000000e+23
8.270000000000e+02,2.142140000000e+23
8.464900000000e+02,2.234650000000e+23
8.663800000000e+02,2.328230000000e+23
8.866800000000e+02,2.422380000000e+23
