# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_f308eeb9ea7d7fdbf973"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "74Ge^+(2P1/2)"
# neutral: "He"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 4.0026, &alpha; = 0.205052."
# updated: "2022-01-01 15:59:42"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14074_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "111020b0cb390392c34d2189c1c802f8942e9e049a194069b6e513875fe098ec"
reduced_electric_field_Td,reduced_transport_SI
1.000000000000e-02,4.614000000000e+20
5.000000000000e-02,4.614000000000e+20
1.900000000000e-01,4.616000000000e+20
3.400000000000e-01,4.619000000000e+20
5.900000000000e-01,4.630000000000e+20
8.300000000000e-01,4.644000000000e+20
1.150000000000e+00,4.672000000000e+20
1.390000000000e+00,4.700000000000e+20
1.660000000000e+00,4.737000000000e+20
1.910000000000e+00,4.777000000000e+20
2.190000000000e+00,4.830000000000e+20
2.520000000000e+00,4.900000000000e+20
2.890000000000e+00,4.995000000000e+20
3.180000000000e+00,5.075000000000e+20
3.490000000000e+00,5.175000000000e+20
3.670000000000e+00,5.234000000000e+20
3.840000000000e+00,5.301000000000e+20
4.030000000000e+00,5.374000000000e+20
4.230000000000e+00,5.455000000000e+20
4.440000000000e+00,5.545000000000e+20
4.650000000000e+00,5.645000000000e+20
4.880000000000e+00,5.757000000000e+20
5.110000000000e+00,5.881000000000e+20
5.360000000000e+00,6.019000000000e+20
5.620000000000e+00,6.174000000000e+20
5.880000000000e+00,6.346000000000e+20
6.000000000000e+00,6.422000000000e+20
6.110000000000e+00,6.501000000000e+20
6.230000000000e+00,6.584000000000e+20
6.350000000000e+00,6.671000000000e+20
6.470000000000e+00,6.762000000000e+20
6.590000000000e+00,6.857000000000e+20
6.710000000000e+00,6.956000000000e+20
6.840000000000e+00,7.060000000000e+20
6.970000000000e+00,7.170000000000e+20
7.100000000000e+00,7.284000000000e+20
7.230000000000e+00,7.405000000000e+20
7.360000000000e+00,7.530000000000e+20
7.500000000000e+00,7.661000000000e+20
7.640000000000e+00,7.799000000000e+20
7.780000000000e+00,7.943000000000e+20
7.930000000000e+00,8.095000000000e+20
