# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_1db134fddded70ba52ef"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "74Ge^+(2P3/2)"
# neutral: "He"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 4.0026, &alpha; = 0.205052."
# updated: "2022-01-01 20:17:44"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14075_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "675a86a82a6ca87a367c22b7d9a41b4fc8868ff6b5cfa3ef6c3d57dd2f059498"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,4.845087214684e+22
1.100000000000e-01,4.845087214684e+22
4.200000000000e-01,4.845087214684e+22
7.400000000000e-01,4.844822050103e+22
1.290000000000e+00,4.844822050103e+22
1.800000000000e+00,4.844556885523e+22
2.520000000000e+00,4.844026556362e+22
3.030000000000e+00,4.843496227201e+22
3.630000000000e+00,4.842965898040e+22
4.180000000000e+00,4.842170404298e+22
4.810000000000e+00,4.841109745976e+22
5.530000000000e+00,4.840049087654e+22
6.360000000000e+00,4.838192935591e+22
7.000000000000e+00,4.836867112688e+22
7.700000000000e+00,4.835010960625e+22
8.090000000000e+00,4.833950302303e+22
8.490000000000e+00,4.832889643981e+22
8.920000000000e+00,4.831563821079e+22
9.370000000000e+00,4.829972833596e+22
9.840000000000e+00,4.828381846113e+22
1.034000000000e+01,4.826790858630e+22
1.086000000000e+01,4.824404377405e+22
1.141000000000e+01,4.822548225342e+22
1.259000000000e+01,4.817510098313e+22
1.323000000000e+01,4.814593287927e+22
1.350000000000e+01,4.813267465025e+22
1.377000000000e+01,4.811941642123e+22
1.434000000000e+01,4.808759667157e+22
1.523000000000e+01,4.803721540127e+22
1.554000000000e+01,4.802395717225e+22
1.586000000000e+01,4.800539565162e+22
1.618000000000e+01,4.798418248518e+22
1.651000000000e+01,4.796562096454e+22
1.685000000000e+01,4.794175615230e+22
1.719000000000e+01,4.792054298586e+22
1.791000000000e+01,4.787281336137e+22
1.827000000000e+01,4.784894854913e+22
1.865000000000e+01,4.781978044527e+22
1.903000000000e+01,4.779326398722e+22
1.943000000000e+01,4.776409588337e+22
1.983000000000e+01,4.773227613371e+22
2.024000000000e+01,4.770045638405e+22
2.066000000000e+01,4.766598498859e+22
2.109000000000e+01,4.763151359313e+22
2.153000000000e+01,4.759439055186e+22
2.197000000000e+01,4.755726751059e+22
2.243000000000e+01,4.751749282352e+22
2.290000000000e+01,4.747506649064e+22
2.338000000000e+01,4.742998851196e+22
2.387000000000e+01,4.738491053327e+22
2.438000000000e+01,4.733452926298e+22
2.489000000000e+01,4.728414799269e+22
2.542000000000e+01,4.723376672239e+22
2.596000000000e+01,4.717808216049e+22
2.651000000000e+01,4.711974595278e+22
2.707000000000e+01,4.705875809927e+22
2.765000000000e+01,4.699511859995e+22
2.825000000000e+01,4.692882745483e+22
2.885000000000e+01,4.685988466391e+22
2.948000000000e+01,4.678829022717e+22
3.012000000000e+01,4.671404414464e+22
3.077000000000e+01,4.663449477049e+22
3.144000000000e+01,4.655229375054e+22
3.213000000000e+01,4.646744108478e+22
3.284000000000e+01,4.637728512742e+22
3.356000000000e+01,4.628447752425e+22
3.431000000000e+01,4.618901827527e+22
3.507000000000e+01,4.608825573468e+22
3.586000000000e+01,4.598218990249e+22
3.666000000000e+01,4.587347242449e+22
3.749000000000e+01,4.575945165488e+22
3.834000000000e+01,4.564277923946e+22
3.921000000000e+01,4.551815188663e+22
4.011000000000e+01,4.539087288800e+22
4.104000000000e+01,4.525829059776e+22
4.199000000000e+01,4.512305666171e+22
4.297000000000e+01,4.497986778824e+22
4.397000000000e+01,4.482607233156e+22
4.501000000000e+01,4.468023181229e+22
4.607000000000e+01,4.452378470980e+22
4.717000000000e+01,4.435938266990e+22
4.830000000000e+01,4.419232898419e+22
4.946000000000e+01,4.401732036107e+22
5.066000000000e+01,4.383966009214e+22
5.190000000000e+01,4.365404488580e+22
5.317000000000e+01,4.346312638785e+22
5.448000000000e+01,4.326955624409e+22
5.583000000000e+01,4.307068280873e+22
5.722000000000e+01,4.286385443595e+22
5.866000000000e+01,4.265437441736e+22
6.014000000000e+01,4.244754604458e+22
6.167000000000e+01,4.221950450536e+22
6.324000000000e+01,4.199146296614e+22
6.487000000000e+01,4.176076978111e+22
6.654000000000e+01,4.152742495028e+22
6.827000000000e+01,4.128877682784e+22
7.005000000000e+01,4.104482541380e+22
7.189000000000e+01,4.079557070814e+22
7.378000000000e+01,4.054631600248e+22
7.574000000000e+01,4.028910635940e+22
7.776000000000e+01,4.002924507052e+22
8.204000000000e+01,3.947770274311e+22
8.419000000000e+01,3.923905462067e+22
8.647000000000e+01,3.896858674857e+22
8.882000000000e+01,3.869811887647e+22
9.124000000000e+01,3.842234771277e+22
9.374000000000e+01,3.814657654906e+22
9.632000000000e+01,3.787080538535e+22
9.897000000000e+01,3.759238257584e+22
1.017100000000e+02,3.731130812052e+22
1.045200000000e+02,3.703288531101e+22
1.074500000000e+02,3.674915920988e+22
1.104200000000e+02,3.647073640037e+22
1.135000000000e+02,3.619231359086e+22
1.166700000000e+02,3.590858748974e+22
1.199400000000e+02,3.563016468022e+22
1.233000000000e+02,3.534909022491e+22
1.267600000000e+02,3.507066741539e+22
1.303200000000e+02,3.479489625168e+22
1.339900000000e+02,3.451647344217e+22
1.377600000000e+02,3.424335392427e+22
1.416400000000e+02,3.397023440637e+22
1.456300000000e+02,3.369976653427e+22
1.497400000000e+02,3.342929866217e+22
1.539600000000e+02,3.316148243588e+22
1.583000000000e+02,3.290162114700e+22
1.627600000000e+02,3.263645656651e+22
1.673400000000e+02,3.237394363183e+22
1.720500000000e+02,3.211673398875e+22
1.768900000000e+02,3.185422105407e+22
1.818500000000e+02,3.161026964002e+22
1.869600000000e+02,3.134510505953e+22
1.922000000000e+02,3.111706352031e+22
1.975800000000e+02,3.087046046046e+22
2.031000000000e+02,3.063181233802e+22
2.087700000000e+02,3.040642244460e+22
2.145900000000e+02,3.015981938475e+22
2.205500000000e+02,2.992912619972e+22
2.266800000000e+02,2.970373630631e+22
