# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_4ef9b4b9b1f4e404c836"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "74Ge^+(2P3/2)"
# neutral: "He"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 4.0026, &alpha; = 0.205052."
# updated: "2022-01-01 20:17:44"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14075_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "13aa0ffdb521161942e042332d3adcc77a65963d70f7088a50de57dcb3ee21c4"
reduced_electric_field_Td,reduced_transport_SI
1.000000000000e-02,4.112000000000e+20
5.000000000000e-02,4.112000000000e+20
2.200000000000e-01,4.113000000000e+20
3.800000000000e-01,4.114000000000e+20
6.600000000000e-01,4.121000000000e+20
9.300000000000e-01,4.132000000000e+20
1.300000000000e+00,4.155000000000e+20
1.560000000000e+00,4.174000000000e+20
1.870000000000e+00,4.204000000000e+20
2.150000000000e+00,4.234000000000e+20
2.470000000000e+00,4.274000000000e+20
2.840000000000e+00,4.326000000000e+20
3.260000000000e+00,4.396000000000e+20
3.590000000000e+00,4.457000000000e+20
3.950000000000e+00,4.530000000000e+20
4.150000000000e+00,4.573000000000e+20
4.350000000000e+00,4.621000000000e+20
4.570000000000e+00,4.673000000000e+20
4.800000000000e+00,4.732000000000e+20
5.030000000000e+00,4.796000000000e+20
5.280000000000e+00,4.867000000000e+20
5.550000000000e+00,4.945000000000e+20
5.820000000000e+00,5.031000000000e+20
6.110000000000e+00,5.127000000000e+20
6.410000000000e+00,5.233000000000e+20
6.730000000000e+00,5.350000000000e+20
6.870000000000e+00,5.401000000000e+20
7.000000000000e+00,5.454000000000e+20
7.140000000000e+00,5.509000000000e+20
7.280000000000e+00,5.566000000000e+20
7.430000000000e+00,5.626000000000e+20
7.570000000000e+00,5.689000000000e+20
7.720000000000e+00,5.754000000000e+20
7.880000000000e+00,5.822000000000e+20
8.030000000000e+00,5.892000000000e+20
9.210000000000e+00,6.476000000000e+20
9.390000000000e+00,6.574000000000e+20
9.570000000000e+00,6.676000000000e+20
9.760000000000e+00,6.782000000000e+20
9.950000000000e+00,6.894000000000e+20
1.015000000000e+01,7.009000000000e+20
1.035000000000e+01,7.130000000000e+20
1.055000000000e+01,7.255000000000e+20
1.075000000000e+01,7.387000000000e+20
1.096000000000e+01,7.523000000000e+20
1.118000000000e+01,7.666000000000e+20
1.140000000000e+01,7.814000000000e+20
1.162000000000e+01,7.969000000000e+20
1.185000000000e+01,8.131000000000e+20
1.208000000000e+01,8.299000000000e+20
1.231000000000e+01,8.474000000000e+20
1.255000000000e+01,8.657000000000e+20
1.279000000000e+01,8.848000000000e+20
1.304000000000e+01,9.046000000000e+20
1.330000000000e+01,9.253000000000e+20
1.355000000000e+01,9.470000000000e+20
1.382000000000e+01,9.695000000000e+20
1.408000000000e+01,9.929000000000e+20
1.436000000000e+01,1.017400000000e+21
1.463000000000e+01,1.042800000000e+21
1.491000000000e+01,1.069300000000e+21
1.520000000000e+01,1.096900000000e+21
1.549000000000e+01,1.125700000000e+21
1.579000000000e+01,1.155600000000e+21
1.610000000000e+01,1.186700000000e+21
1.640000000000e+01,1.219300000000e+21
1.672000000000e+01,1.252800000000e+21
1.704000000000e+01,1.287800000000e+21
1.737000000000e+01,1.324100000000e+21
1.770000000000e+01,1.361800000000e+21
1.804000000000e+01,1.401000000000e+21
1.838000000000e+01,1.441500000000e+21
1.873000000000e+01,1.483500000000e+21
1.909000000000e+01,1.527100000000e+21
1.945000000000e+01,1.572200000000e+21
1.982000000000e+01,1.618300000000e+21
2.020000000000e+01,1.666200000000e+21
2.059000000000e+01,1.715600000000e+21
2.098000000000e+01,1.766300000000e+21
2.138000000000e+01,1.818500000000e+21
2.179000000000e+01,1.872000000000e+21
2.220000000000e+01,1.926900000000e+21
2.263000000000e+01,1.982800000000e+21
2.306000000000e+01,2.040200000000e+21
2.350000000000e+01,2.098500000000e+21
2.395000000000e+01,2.157800000000e+21
2.441000000000e+01,2.218000000000e+21
2.489000000000e+01,2.278900000000e+21
2.741000000000e+01,2.597600000000e+21
2.795000000000e+01,2.655300000000e+21
2.851000000000e+01,2.724900000000e+21
2.908000000000e+01,2.780100000000e+21
2.966000000000e+01,2.837600000000e+21
3.027000000000e+01,2.897000000000e+21
3.088000000000e+01,2.955700000000e+21
3.152000000000e+01,3.014500000000e+21
3.218000000000e+01,3.071500000000e+21
3.285000000000e+01,3.129100000000e+21
3.354000000000e+01,3.182800000000e+21
3.426000000000e+01,3.236100000000e+21
3.500000000000e+01,3.289800000000e+21
3.576000000000e+01,3.341400000000e+21
3.655000000000e+01,3.392200000000e+21
3.821000000000e+01,3.492700000000e+21
3.908000000000e+01,3.538600000000e+21
3.997000000000e+01,3.585900000000e+21
4.090000000000e+01,3.633800000000e+21
4.187000000000e+01,3.677500000000e+21
4.286000000000e+01,3.728400000000e+21
4.389000000000e+01,3.776600000000e+21
4.496000000000e+01,3.824700000000e+21
4.606000000000e+01,3.881100000000e+21
4.721000000000e+01,3.918700000000e+21
4.839000000000e+01,3.964800000000e+21
4.962000000000e+01,4.031900000000e+21
5.089000000000e+01,4.088800000000e+21
5.220000000000e+01,4.151300000000e+21
5.356000000000e+01,4.215900000000e+21
5.497000000000e+01,4.278200000000e+21
5.643000000000e+01,4.337600000000e+21
5.793000000000e+01,4.408200000000e+21
5.949000000000e+01,4.662900000000e+21
6.110000000000e+01,4.589800000000e+21
6.277000000000e+01,4.640500000000e+21
6.450000000000e+01,4.741800000000e+21
6.628000000000e+01,4.817300000000e+21
6.812000000000e+01,4.916200000000e+21
7.003000000000e+01,4.804200000000e+21
7.199000000000e+01,5.125900000000e+21
7.403000000000e+01,5.208800000000e+21
7.612000000000e+01,5.348100000000e+21
7.829000000000e+01,5.458100000000e+21
8.053000000000e+01,5.587400000000e+21
8.283000000000e+01,5.719600000000e+21
8.522000000000e+01,5.857900000000e+21
8.767000000000e+01,6.002000000000e+21
9.020000000000e+01,6.153300000000e+21
9.282000000000e+01,6.311100000000e+21
9.551000000000e+01,6.475700000000e+21
9.829000000000e+01,6.652700000000e+21
1.011500000000e+02,6.826400000000e+21
1.040900000000e+02,7.013700000000e+21
1.071300000000e+02,7.208500000000e+21
1.102600000000e+02,7.411800000000e+21
1.134800000000e+02,7.623500000000e+21
1.167900000000e+02,7.843900000000e+21
1.201300000000e+02,8.063000000000e+21
1.237100000000e+02,8.313300000000e+21
1.273300000000e+02,8.562900000000e+21
1.310400000000e+02,8.822900000000e+21
1.348700000000e+02,9.014500000000e+21
1.388000000000e+02,9.575100000000e+21
1.428300000000e+02,9.663700000000e+21
1.470000000000e+02,9.972800000000e+21
1.512800000000e+02,1.029120000000e+22
1.556700000000e+02,1.062270000000e+22
1.601800000000e+02,1.096790000000e+22
1.648200000000e+02,1.132750000000e+22
1.695800000000e+02,1.170210000000e+22
1.744700000000e+02,1.195550000000e+22
1.794900000000e+02,1.249610000000e+22
1.846500000000e+02,1.292320000000e+22
1.899400000000e+02,1.336440000000e+22
1.953800000000e+02,1.382520000000e+22
2.009500000000e+02,1.430450000000e+22
2.066700000000e+02,1.480560000000e+22
2.125400000000e+02,1.532640000000e+22
2.185600000000e+02,1.587030000000e+22
2.247400000000e+02,1.643770000000e+22
2.310600000000e+02,1.703040000000e+22
2.375500000000e+02,1.764930000000e+22
2.442000000000e+02,1.829110000000e+22
2.510200000000e+02,1.937710000000e+22
2.580000000000e+02,1.962750000000e+22
2.651600000000e+02,2.040850000000e+22
2.724900000000e+02,2.116410000000e+22
2.799900000000e+02,2.196430000000e+22
2.876800000000e+02,2.279910000000e+22
2.955500000000e+02,2.363860000000e+22
3.036000000000e+02,2.458360000000e+22
3.118500000000e+02,2.553910000000e+22
3.202800000000e+02,2.653890000000e+22
3.289100000000e+02,2.786230000000e+22
3.377500000000e+02,2.879530000000e+22
3.467600000000e+02,2.980720000000e+22
3.559900000000e+02,3.100470000000e+22
3.654300000000e+02,3.225460000000e+22
3.750700000000e+02,3.356420000000e+22
3.849300000000e+02,3.493580000000e+22
3.950000000000e+02,3.637280000000e+22
4.052900000000e+02,3.787890000000e+22
4.157900000000e+02,3.945770000000e+22
4.265200000000e+02,4.111320000000e+22
4.374800000000e+02,4.284970000000e+22
4.486600000000e+02,4.467170000000e+22
4.600700000000e+02,4.658220000000e+22
4.717100000000e+02,4.854680000000e+22
