# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_4f28a3644f010dd515d6"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "76Ge^+(2P1/2)"
# neutral: "He"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 75.9214, M = 4.0026, &alpha; = 0.205052."
# updated: "2022-01-01 15:59:42"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14080_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "62fee653e74aa8d0e62e63715a1a4191a591b96e731f0609e3adbd4de9601421"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,2.634200000000e+21
9.000000000000e-02,2.634300000000e+21
3.800000000000e-01,2.634900000000e+21
6.600000000000e-01,2.636200000000e+21
1.160000000000e+00,2.640100000000e+21
1.620000000000e+00,2.645800000000e+21
2.260000000000e+00,2.656900000000e+21
2.720000000000e+00,2.666800000000e+21
3.260000000000e+00,2.681100000000e+21
3.750000000000e+00,2.696100000000e+21
4.320000000000e+00,2.715900000000e+21
5.720000000000e+00,2.776200000000e+21
6.290000000000e+00,2.805400000000e+21
6.930000000000e+00,2.840500000000e+21
8.030000000000e+00,2.908500000000e+21
8.430000000000e+00,2.935600000000e+21
8.860000000000e+00,2.965400000000e+21
1.028000000000e+01,3.072500000000e+21
1.080000000000e+01,3.114700000000e+21
1.136000000000e+01,3.160900000000e+21
1.194000000000e+01,3.211300000000e+21
1.243000000000e+01,3.255400000000e+21
1.269000000000e+01,3.278700000000e+21
1.295000000000e+01,3.302600000000e+21
1.377000000000e+01,3.378900000000e+21
1.405000000000e+01,3.406600000000e+21
1.494000000000e+01,3.494100000000e+21
1.525000000000e+01,3.525500000000e+21
1.557000000000e+01,3.557500000000e+21
1.589000000000e+01,3.590500000000e+21
1.623000000000e+01,3.624500000000e+21
1.656000000000e+01,3.659600000000e+21
1.691000000000e+01,3.695700000000e+21
1.727000000000e+01,3.732900000000e+21
1.763000000000e+01,3.771200000000e+21
1.800000000000e+01,3.810600000000e+21
1.838000000000e+01,3.851100000000e+21
1.877000000000e+01,3.892800000000e+21
1.917000000000e+01,3.935600000000e+21
1.958000000000e+01,3.979600000000e+21
1.999000000000e+01,4.024800000000e+21
2.042000000000e+01,4.071200000000e+21
