# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_a4cbfe8eb68c879fcf07"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "76Ge^+(2P3/2)"
# neutral: "He"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 75.9214, M = 4.0026, &alpha; = 0.205052."
# updated: "2022-01-01 20:17:44"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14081_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "f7ce36849f7ce8c7ef4081b3a8565de2b6946002ddfac410bd76603a7596a30d"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,4.885392230918e+22
9.000000000000e-02,4.885392230918e+22
3.600000000000e-01,4.885392230918e+22
6.300000000000e-01,4.885392230918e+22
1.110000000000e+00,4.885392230918e+22
1.550000000000e+00,4.885392230918e+22
3.120000000000e+00,4.885127066337e+22
4.130000000000e+00,4.884861901757e+22
4.740000000000e+00,4.884596737176e+22
6.600000000000e+00,4.883536078854e+22
6.930000000000e+00,4.883270914274e+22
7.280000000000e+00,4.883005749693e+22
1.131000000000e+01,4.877967622664e+22
1.153000000000e+01,4.877702458084e+22
1.177000000000e+01,4.877172128923e+22
1.224000000000e+01,4.876376635181e+22
1.436000000000e+01,4.871073343571e+22
1.525000000000e+01,4.868421697767e+22
1.556000000000e+01,4.867361039445e+22
1.587000000000e+01,4.866300381123e+22
1.619000000000e+01,4.865239722801e+22
1.652000000000e+01,4.863913899898e+22
1.685000000000e+01,4.862588076996e+22
1.720000000000e+01,4.861262254093e+22
1.755000000000e+01,4.859671266610e+22
1.790000000000e+01,4.858080279127e+22
1.827000000000e+01,4.856489291645e+22
1.864000000000e+01,4.854633139581e+22
1.902000000000e+01,4.852776987518e+22
1.941000000000e+01,4.850655670874e+22
1.981000000000e+01,4.848534354230e+22
2.021000000000e+01,4.846147873006e+22
2.063000000000e+01,4.843761391781e+22
2.105000000000e+01,4.841374910557e+22
2.148000000000e+01,4.838458100171e+22
2.193000000000e+01,4.835541289786e+22
2.238000000000e+01,4.832359314820e+22
2.284000000000e+01,4.829177339854e+22
2.332000000000e+01,4.825465035727e+22
2.380000000000e+01,4.821752731601e+22
2.430000000000e+01,4.817775262893e+22
2.481000000000e+01,4.813532629605e+22
2.533000000000e+01,4.809289996318e+22
