# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_4401495dd082789d3c40"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "C2N2^+"
# neutral: "He"
# gas_temperature_K: 293.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 293 K"
# group_comment: "Compiled Ko of Viehland & Mason, At. Data. Nucl. Data Tables 60 (1995) 37."
# source_family: "compiled ko of viehland & mason, at. data. nucl. data tables 60 (1995) 37."
# comment: ""
# updated: "2010-05-14 15:04:20"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_128_196_196/001_mobility.txt"
# source_file_sha256: "d644c83ede5a58fac50bef3043a3f79dad754a862e9aa75a1acb7727ee374524"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e+01,4.348699120009e+22
2.500000000000e+01,4.322182661960e+22
3.000000000000e+01,4.057018081472e+22
3.500000000000e+01,3.871402875130e+22
4.000000000000e+01,3.791853500984e+22
5.000000000000e+01,3.606238294642e+22
6.000000000000e+01,3.473656004398e+22
7.000000000000e+01,3.341073714154e+22
8.000000000000e+01,3.181974965860e+22
1.000000000000e+02,2.943326843421e+22
1.200000000000e+02,2.757711637079e+22
1.400000000000e+02,2.678162262933e+22
