# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_1cb58fb0355310e2d140"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "CO2^+"
# neutral: "He"
# gas_temperature_K: 474.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 474 K"
# group_comment: "Compiled Ko of Viehland & Mason, At. Data. Nucl. Data Tables 60 (1995) 37."
# source_family: "compiled ko of viehland & mason, at. data. nucl. data tables 60 (1995) 37."
# comment: ""
# updated: "2010-05-14 15:04:20"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_031_221_221/001_mobility.txt"
# source_file_sha256: "145c84c6e342b82696a6823bcef89014ec065425f388e4cb1b759c35d426f9e8"
reduced_electric_field_Td,reduced_transport_SI
1.500000000000e+01,4.534314326351e+22
2.000000000000e+01,4.428248494156e+22
2.500000000000e+01,4.322182661960e+22
3.000000000000e+01,4.242633287814e+22
3.500000000000e+01,4.189600371716e+22
4.000000000000e+01,4.136567455619e+22
5.000000000000e+01,4.030501623423e+22
6.000000000000e+01,3.897919333179e+22
7.000000000000e+01,3.685787668788e+22
8.000000000000e+01,3.632754752691e+22
