# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_fb9a932008228f3f1783"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "H2^+"
# neutral: "He"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Compiled Ko Data of Ellis et al., At. Data Nucl. Data Tables 17 (1976) 177."
# source_family: "compiled ko data of ellis et al., at. data nucl. data tables 17 (1976) 177."
# comment: ""
# updated: "2010-05-14 15:04:20"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_141_234_234/001_mobility.txt"
# source_file_sha256: "b9998c261ddec02e62708abad89f030015fa47129e30eaa1083a7f69fda033c9"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e+00,6.496532221965e+22
4.000000000000e+00,6.496532221965e+22
5.000000000000e+00,6.496532221965e+22
6.000000000000e+00,6.523048680014e+22
7.000000000000e+00,6.576081596112e+22
8.000000000000e+00,6.655630970258e+22
1.000000000000e+01,6.814729718551e+22
1.200000000000e+01,7.026861382942e+22
1.400000000000e+01,7.318542421479e+22
1.600000000000e+01,7.636739918065e+22
1.800000000000e+01,8.007970330749e+22
