# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_7c8a9077b912bb2aacde"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "12C(2P)^+"
# neutral: "Kr"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "Statistical State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "statistical state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 12, M = 83.798, &alpha; = 2.4953."
# updated: "2021-12-19 20:58:39"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_656_neutral_38_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "d393d9a263bd1e8a914414477e57c6de4291b22ce6f8fd45bec37934cb3e3d1a"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,7.502301475758e+21
1.000000000000e-01,7.502301475758e+21
4.200000000000e-01,7.502301475758e+21
7.300000000000e-01,7.502301475758e+21
1.280000000000e+00,7.502036311177e+21
1.800000000000e+00,7.502036311177e+21
2.520000000000e+00,7.501771146597e+21
3.020000000000e+00,7.501505982016e+21
3.620000000000e+00,7.501240817436e+21
4.170000000000e+00,7.500710488275e+21
4.790000000000e+00,7.500180159114e+21
5.510000000000e+00,7.499649829953e+21
6.340000000000e+00,7.498854336211e+21
6.980000000000e+00,7.498058842470e+21
7.680000000000e+00,7.497263348728e+21
8.060000000000e+00,7.496733019567e+21
8.890000000000e+00,7.495407196665e+21
9.800000000000e+00,7.494081373762e+21
1.081000000000e+01,7.492225221699e+21
1.135000000000e+01,7.491164563377e+21
1.192000000000e+01,7.490103905055e+21
1.251000000000e+01,7.489043246733e+21
1.314000000000e+01,7.487717423831e+21
1.367000000000e+01,7.486391600928e+21
1.395000000000e+01,7.485861271767e+21
1.423000000000e+01,7.485330942606e+21
1.451000000000e+01,7.484535448865e+21
1.481000000000e+01,7.484005119704e+21
1.510000000000e+01,7.483209625962e+21
1.541000000000e+01,7.482679296801e+21
1.572000000000e+01,7.481883803060e+21
1.603000000000e+01,7.481088309318e+21
1.635000000000e+01,7.480292815577e+21
