# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_3520348525fd6673c68f"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "13C(2P1/2)^+"
# neutral: "Kr"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "Ground State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "ground state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 13.0034, M = 83.798, &alpha; = 2.4953."
# updated: "2021-12-19 21:20:22"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13996_neutral_38_39_40/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "c3196a0d86bebfc5ff2de9f48aa4954f12e463c65eb95ec2ba36b36144aa96e0"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,7.084932426069e+21
1.600000000000e-01,7.084932426069e+21
6.300000000000e-01,7.084932426069e+21
1.100000000000e+00,7.084667261488e+21
1.920000000000e+00,7.084136932327e+21
2.690000000000e+00,7.083606603166e+21
3.770000000000e+00,7.082280780264e+21
4.530000000000e+00,7.081220121942e+21
5.440000000000e+00,7.079363969879e+21
6.250000000000e+00,7.077772982396e+21
7.190000000000e+00,7.075386501171e+21
8.270000000000e+00,7.072204526205e+21
9.520000000000e+00,7.068227057498e+21
1.048000000000e+01,7.064779917952e+21
1.153000000000e+01,7.060537284664e+21
1.211000000000e+01,7.057885638859e+21
1.272000000000e+01,7.055233993054e+21
1.336000000000e+01,7.052582347249e+21
1.403000000000e+01,7.049135207703e+21
1.474000000000e+01,7.045422903576e+21
1.549000000000e+01,7.041445434869e+21
1.627000000000e+01,7.036937637000e+21
1.710000000000e+01,7.031899509971e+21
1.796000000000e+01,7.026596218361e+21
1.887000000000e+01,7.020762597591e+21
1.983000000000e+01,7.014133483078e+21
2.024000000000e+01,7.011216672693e+21
2.065000000000e+01,7.008299862308e+21
2.107000000000e+01,7.005117887342e+21
2.150000000000e+01,7.001935912376e+21
2.194000000000e+01,6.998753937410e+21
2.239000000000e+01,6.995306797864e+21
2.285000000000e+01,6.991594493737e+21
2.332000000000e+01,6.987882189610e+21
2.379000000000e+01,6.984169885483e+21
2.428000000000e+01,6.980192416776e+21
2.478000000000e+01,6.975949783488e+21
2.529000000000e+01,6.971707150200e+21
2.581000000000e+01,6.967199352332e+21
2.634000000000e+01,6.962691554464e+21
2.689000000000e+01,6.957918592015e+21
2.744000000000e+01,6.952880464986e+21
2.859000000000e+01,6.942273881766e+21
2.918000000000e+01,6.936705425576e+21
2.979000000000e+01,6.931136969386e+21
3.041000000000e+01,6.925038184034e+21
3.104000000000e+01,6.918939398683e+21
3.169000000000e+01,6.912575448751e+21
3.235000000000e+01,6.905946334239e+21
3.303000000000e+01,6.899052055147e+21
3.372000000000e+01,6.891892611473e+21
3.443000000000e+01,6.884733167800e+21
3.515000000000e+01,6.877043394966e+21
3.589000000000e+01,6.869353622132e+21
3.665000000000e+01,6.861133520137e+21
3.742000000000e+01,6.852913418142e+21
3.822000000000e+01,6.844162986985e+21
3.903000000000e+01,6.835412555829e+21
3.986000000000e+01,6.826131795512e+21
4.071000000000e+01,6.816585870615e+21
4.158000000000e+01,6.807039945717e+21
4.247000000000e+01,6.796963691658e+21
4.338000000000e+01,6.786622273019e+21
4.431000000000e+01,6.775750525219e+21
4.527000000000e+01,6.764878777419e+21
4.625000000000e+01,6.753476700458e+21
4.725000000000e+01,6.742074623497e+21
4.828000000000e+01,6.730142217375e+21
4.933000000000e+01,6.717679482092e+21
5.041000000000e+01,6.705216746809e+21
5.151000000000e+01,6.692223682366e+21
5.264000000000e+01,6.678965453341e+21
5.380000000000e+01,6.665442059736e+21
5.499000000000e+01,6.651388336970e+21
5.621000000000e+01,6.637069449624e+21
5.746000000000e+01,6.622485397697e+21
5.874000000000e+01,6.607636181190e+21
6.005000000000e+01,6.592256635521e+21
6.140000000000e+01,6.576611925273e+21
7.182000000000e+01,6.457553028633e+21
7.346000000000e+01,6.439787001741e+21
7.515000000000e+01,6.421490645687e+21
7.688000000000e+01,6.403194289633e+21
7.865000000000e+01,6.384632768999e+21
8.047000000000e+01,6.365806083784e+21
8.234000000000e+01,6.346979398570e+21
8.425000000000e+01,6.328417877936e+21
8.622000000000e+01,6.309591192721e+21
8.823000000000e+01,6.291029672087e+21
9.029000000000e+01,6.272202986872e+21
9.241000000000e+01,6.253376301657e+21
1.037900000000e+02,6.168258471321e+21
1.062200000000e+02,6.153409254813e+21
1.087200000000e+02,6.139355532047e+21
1.112700000000e+02,6.123975986379e+21
1.138700000000e+02,6.114164896901e+21
1.165500000000e+02,6.105149301164e+21
1.192800000000e+02,6.096929199169e+21
1.368000000000e+02,6.130339936311e+21
1.396500000000e+02,6.140681354950e+21
1.427400000000e+02,6.167993306740e+21
2.691100000000e+02,7.233159426562e+21
2.716800000000e+02,7.290169811367e+21
2.743300000000e+02,7.357521614811e+21
2.770700000000e+02,7.451920205465e+21
2.831500000000e+02,7.645755513802e+21
2.863500000000e+02,7.734320483685e+21
2.896600000000e+02,7.846219936651e+21
2.966100000000e+02,8.062329069749e+21
3.044200000000e+02,8.273930404979e+21
3.085200000000e+02,8.369654818535e+21
3.127400000000e+02,8.469621865379e+21
3.219300000000e+02,8.657093223784e+21
3.267300000000e+02,8.746984016570e+21
3.318300000000e+02,8.828654707360e+21
3.371200000000e+02,8.905817600283e+21
3.426300000000e+02,8.978737859917e+21
3.483000000000e+02,9.049006473746e+21
3.542700000000e+02,9.110259491839e+21
3.605000000000e+02,9.164618230839e+21
3.668900000000e+02,9.217651146937e+21
3.804700000000e+02,9.303829635596e+21
3.876300000000e+02,9.341217841444e+21
3.951700000000e+02,9.369325286976e+21
4.029100000000e+02,9.393720428381e+21
4.109200000000e+02,9.415198759401e+21
4.192000000000e+02,9.430843469649e+21
4.278200000000e+02,9.442510711191e+21
4.366900000000e+02,9.449935319445e+21
4.458500000000e+02,9.452586965250e+21
4.554200000000e+02,9.449139825703e+21
4.652800000000e+02,9.443571369513e+21
4.755100000000e+02,9.433760280035e+21
4.861000000000e+02,9.421032380171e+21
4.969600000000e+02,9.406978657406e+21
