# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_fe80cbd8e367e994b7c9"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "13C(2P)^+"
# neutral: "Kr"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 200 K"
# group_comment: "Statistical State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "statistical state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 13.0034, M = 83.798, &alpha; = 2.4953."
# updated: "2021-12-19 21:16:31"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13995_neutral_37_38_39/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "c37b2d2d080b8cf7acb9a1913505c3c4db2489b96c5d69e95af0e8128600afe8"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,1.265000000000e+20
1.100000000000e-01,1.265000000000e+20
4.300000000000e-01,1.265000000000e+20
7.600000000000e-01,1.266000000000e+20
1.330000000000e+00,1.268000000000e+20
1.860000000000e+00,1.270000000000e+20
2.610000000000e+00,1.274000000000e+20
3.130000000000e+00,1.278000000000e+20
3.750000000000e+00,1.284000000000e+20
4.320000000000e+00,1.290000000000e+20
4.960000000000e+00,1.297000000000e+20
5.710000000000e+00,1.308000000000e+20
6.570000000000e+00,1.322000000000e+20
7.220000000000e+00,1.333000000000e+20
7.950000000000e+00,1.348000000000e+20
8.350000000000e+00,1.356000000000e+20
8.760000000000e+00,1.365000000000e+20
9.200000000000e+00,1.376000000000e+20
9.660000000000e+00,1.387000000000e+20
1.015000000000e+01,1.399000000000e+20
1.066000000000e+01,1.413000000000e+20
1.119000000000e+01,1.428000000000e+20
1.175000000000e+01,1.445000000000e+20
1.234000000000e+01,1.463000000000e+20
1.296000000000e+01,1.483000000000e+20
1.361000000000e+01,1.505000000000e+20
1.388000000000e+01,1.515000000000e+20
1.416000000000e+01,1.525000000000e+20
1.444000000000e+01,1.535000000000e+20
1.473000000000e+01,1.546000000000e+20
1.503000000000e+01,1.557000000000e+20
1.533000000000e+01,1.569000000000e+20
1.564000000000e+01,1.581000000000e+20
1.595000000000e+01,1.594000000000e+20
1.628000000000e+01,1.607000000000e+20
1.660000000000e+01,1.621000000000e+20
1.694000000000e+01,1.635000000000e+20
1.728000000000e+01,1.650000000000e+20
1.762000000000e+01,1.665000000000e+20
1.798000000000e+01,1.681000000000e+20
1.834000000000e+01,1.698000000000e+20
1.871000000000e+01,1.715000000000e+20
1.908000000000e+01,1.734000000000e+20
1.947000000000e+01,1.752000000000e+20
1.986000000000e+01,1.772000000000e+20
2.026000000000e+01,1.792000000000e+20
2.067000000000e+01,1.813000000000e+20
2.108000000000e+01,1.835000000000e+20
2.151000000000e+01,1.858000000000e+20
2.194000000000e+01,1.882000000000e+20
2.238000000000e+01,1.907000000000e+20
2.284000000000e+01,1.932000000000e+20
2.330000000000e+01,1.959000000000e+20
2.377000000000e+01,1.987000000000e+20
2.425000000000e+01,2.016000000000e+20
2.473000000000e+01,2.046000000000e+20
2.523000000000e+01,2.078000000000e+20
2.574000000000e+01,2.110000000000e+20
2.626000000000e+01,2.144000000000e+20
2.679000000000e+01,2.180000000000e+20
2.733000000000e+01,2.216000000000e+20
2.789000000000e+01,2.255000000000e+20
2.845000000000e+01,2.295000000000e+20
2.902000000000e+01,2.336000000000e+20
2.961000000000e+01,2.379000000000e+20
3.021000000000e+01,2.424000000000e+20
3.082000000000e+01,2.471000000000e+20
3.144000000000e+01,2.520000000000e+20
3.208000000000e+01,2.571000000000e+20
3.273000000000e+01,2.624000000000e+20
3.339000000000e+01,2.679000000000e+20
3.406000000000e+01,2.736000000000e+20
3.475000000000e+01,2.796000000000e+20
3.546000000000e+01,2.858000000000e+20
3.617000000000e+01,2.922000000000e+20
3.691000000000e+01,2.990000000000e+20
3.765000000000e+01,3.060000000000e+20
3.841000000000e+01,3.132000000000e+20
3.919000000000e+01,3.208000000000e+20
3.998000000000e+01,3.287000000000e+20
4.079000000000e+01,3.368000000000e+20
4.246000000000e+01,3.542000000000e+20
4.332000000000e+01,3.634000000000e+20
4.419000000000e+01,3.729000000000e+20
4.509000000000e+01,3.828000000000e+20
