# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_1b08ca938603d48c7d5b"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "14N16O+(v=0)"
# neutral: "Kr"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "Ab Initio Potential (Shifted) of Orek, Klos et al., J. Chem. Phys. 144 (2016) 204303. The calculations were made with the Monchick-Mason Approximation, as discussed by Viehland et al. (2021)."
# source_family: "ab initio potential (shifted) of orek, klos et al., j. chem. phys. 144 (2016) 204303. the calculations were made with the monchick-mason approximation, as discussed by viehland et al. (2021)."
# comment: "Mi = 29.998, M = 83.798, &alpha; = 2.4953."
# updated: "2021-04-28 14:45:34"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13988_neutral_38_39_40/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "054bb1b0020b61793afa8cc8ce954bf761880c5022d88e20459687d809417f27"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,5.396894706680e+21
1.300000000000e-01,5.396894706680e+21
3.200000000000e-01,5.396629542099e+21
8.100000000000e-01,5.396629542099e+21
1.210000000000e+00,5.396894706680e+21
1.810000000000e+00,5.397159871260e+21
2.720000000000e+00,5.397690200421e+21
3.270000000000e+00,5.398220529582e+21
3.920000000000e+00,5.398750858743e+21
4.500000000000e+00,5.399546352485e+21
5.180000000000e+00,5.400607010807e+21
5.960000000000e+00,5.401932833709e+21
6.850000000000e+00,5.403523821192e+21
7.530000000000e+00,5.405114808675e+21
8.280000000000e+00,5.406970960738e+21
9.110000000000e+00,5.409092277382e+21
1.001000000000e+01,5.411743923187e+21
1.101000000000e+01,5.415191062734e+21
1.211000000000e+01,5.419168531441e+21
1.271000000000e+01,5.421555012665e+21
1.334000000000e+01,5.424206658470e+21
1.400000000000e+01,5.427123468856e+21
1.469000000000e+01,5.430305443821e+21
1.542000000000e+01,5.434017747948e+21
1.580000000000e+01,5.435873900012e+21
1.829000000000e+01,5.450723116519e+21
1.874000000000e+01,5.453639926904e+21
1.920000000000e+01,5.456556737290e+21
1.967000000000e+01,5.459738712256e+21
2.015000000000e+01,5.463185851802e+21
2.065000000000e+01,5.466898155929e+21
2.115000000000e+01,5.470610460056e+21
2.167000000000e+01,5.474057599602e+21
2.220000000000e+01,5.479095726631e+21
2.274000000000e+01,5.482808030758e+21
2.330000000000e+01,5.487315828626e+21
2.386000000000e+01,5.492353955656e+21
2.444000000000e+01,5.497657247265e+21
2.504000000000e+01,5.502960538875e+21
2.564000000000e+01,5.508794159646e+21
2.601000000000e+01,5.512506463773e+21
2.639000000000e+01,5.516218767900e+21
2.677000000000e+01,5.519931072026e+21
2.716000000000e+01,5.523908540734e+21
2.755000000000e+01,5.528151174022e+21
2.795000000000e+01,5.532393807309e+21
2.835000000000e+01,5.536901605178e+21
2.876000000000e+01,5.541409403046e+21
2.917000000000e+01,5.545917200914e+21
2.959000000000e+01,5.550690163363e+21
3.001000000000e+01,5.555728290392e+21
3.044000000000e+01,5.560766417422e+21
3.088000000000e+01,5.565539379870e+21
3.132000000000e+01,5.570842671480e+21
3.176000000000e+01,5.576411127670e+21
3.221000000000e+01,5.581979583861e+21
3.267000000000e+01,5.588078369212e+21
3.504000000000e+01,5.619632954290e+21
3.602000000000e+01,5.633686677056e+21
3.652000000000e+01,5.640846120729e+21
3.703000000000e+01,5.648270728983e+21
3.755000000000e+01,5.655960501817e+21
3.807000000000e+01,5.663650274651e+21
4.186000000000e+01,5.725168457324e+21
4.299000000000e+01,5.743995142539e+21
4.414000000000e+01,5.763352156915e+21
4.532000000000e+01,5.783769829612e+21
4.652000000000e+01,5.804717831471e+21
