# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_960ed4c485f9c8132cc8"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "205Tl^+"
# neutral: "Kr"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "Parallel Diffusion Data from Thackston et al., J. Chem. Phys. 78 (1983) 4781."
# source_family: "parallel transport data from thackston et al., j. chem. phys. 78 (1983) 4781."
# comment: ""
# updated: "2011-12-13 14:42:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_019_76_76/001_diffusion_x_gas_density.txt"
# source_file_sha256: "2edac62309ae5bb5ad2aa79fb63d9b290d4db58953d24299e32d2f1efa39c941"
reduced_electric_field_Td,reduced_transport_SI
2.010000000000e+01,8.600000000000e+19
2.160000000000e+01,8.500000000000e+19
2.500000000000e+01,8.600000000000e+19
2.680000000000e+01,9.000000000000e+19
3.030000000000e+01,9.500000000000e+19
3.240000000000e+01,9.800000000000e+19
3.540000000000e+01,1.080000000000e+20
3.760000000000e+01,1.110000000000e+20
4.020000000000e+01,1.210000000000e+20
4.270000000000e+01,1.130000000000e+20
4.950000000000e+01,1.230000000000e+20
5.490000000000e+01,1.230000000000e+20
5.500000000000e+01,1.270000000000e+20
6.040000000000e+01,1.480000000000e+20
6.560000000000e+01,1.870000000000e+20
7.040000000000e+01,1.740000000000e+20
7.590000000000e+01,1.860000000000e+20
8.010000000000e+01,1.950000000000e+20
8.060000000000e+01,2.090000000000e+20
8.480000000000e+01,2.130000000000e+20
8.910000000000e+01,2.390000000000e+20
9.090000000000e+01,2.610000000000e+20
1.004000000000e+02,3.310000000000e+20
1.060000000000e+02,3.570000000000e+20
1.106000000000e+02,4.070000000000e+20
1.191000000000e+02,4.130000000000e+20
1.210000000000e+02,4.720000000000e+20
1.300000000000e+02,5.820000000000e+20
1.308000000000e+02,6.030000000000e+20
1.320000000000e+02,5.750000000000e+20
1.390000000000e+02,6.550000000000e+20
1.501000000000e+02,7.240000000000e+20
1.510000000000e+02,7.030000000000e+20
1.520000000000e+02,8.420000000000e+20
1.578000000000e+02,8.650000000000e+20
1.620000000000e+02,9.400000000000e+20
1.729000000000e+02,1.000000000000e+21
1.766000000000e+02,1.034000000000e+21
1.770000000000e+02,1.205000000000e+21
1.775000000000e+02,1.035000000000e+21
1.874000000000e+02,1.245000000000e+21
1.885000000000e+02,1.175000000000e+21
1.905000000000e+02,1.393000000000e+21
1.997000000000e+02,1.446000000000e+21
2.020000000000e+02,1.461000000000e+21
2.107000000000e+02,1.660000000000e+21
2.176000000000e+02,1.395000000000e+21
2.255000000000e+02,1.482000000000e+21
2.321000000000e+02,1.651000000000e+21
2.390000000000e+02,1.703000000000e+21
2.403000000000e+02,1.647000000000e+21
2.493000000000e+02,1.785000000000e+21
2.671000000000e+02,1.831000000000e+21
2.836000000000e+02,1.982000000000e+21
2.986000000000e+02,2.072000000000e+21
3.015000000000e+02,1.999000000000e+21
3.159000000000e+02,2.151000000000e+21
3.163000000000e+02,2.160000000000e+21
3.238000000000e+02,2.269000000000e+21
3.388000000000e+02,2.153000000000e+21
3.428000000000e+02,2.345000000000e+21
3.686000000000e+02,2.347000000000e+21
3.695000000000e+02,2.451000000000e+21
3.893000000000e+02,2.390000000000e+21
4.065000000000e+02,2.523000000000e+21
4.189000000000e+02,2.621000000000e+21
4.505000000000e+02,2.853000000000e+21
4.712000000000e+02,2.952000000000e+21
4.965000000000e+02,3.132000000000e+21
5.466000000000e+02,3.211000000000e+21
5.753000000000e+02,3.579000000000e+21
5.978000000000e+02,3.455000000000e+21
6.470000000000e+02,4.002000000000e+21
7.101000000000e+02,4.393000000000e+21
