# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_fc3bf7df69da0c26a934"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "28Si^+(2P)"
# neutral: "Kr"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 27.9769, M = 83.798, &alpha; = 2.4953."
# updated: "2021-12-28 21:31:05"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_001_1020_1020/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "12f6666bea9d545a093d155409c955191834619c0ea82b29b3f17046c8049931"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,3.980385517711e+21
1.100000000000e-01,3.980385517711e+21
4.500000000000e-01,3.980385517711e+21
7.800000000000e-01,3.980385517711e+21
1.370000000000e+00,3.980120353130e+21
1.910000000000e+00,3.980120353130e+21
2.680000000000e+00,3.980120353130e+21
3.220000000000e+00,3.979855188550e+21
3.860000000000e+00,3.979855188550e+21
4.440000000000e+00,3.979590023970e+21
5.100000000000e+00,3.979590023970e+21
5.870000000000e+00,3.979324859389e+21
6.750000000000e+00,3.978794530228e+21
7.430000000000e+00,3.978529365648e+21
8.170000000000e+00,3.978264201067e+21
8.580000000000e+00,3.977999036487e+21
9.010000000000e+00,3.977733871906e+21
9.460000000000e+00,3.977468707326e+21
9.930000000000e+00,3.977203542745e+21
1.043000000000e+01,3.976938378165e+21
1.095000000000e+01,3.976408049004e+21
1.150000000000e+01,3.976142884423e+21
1.208000000000e+01,3.975612555262e+21
1.268000000000e+01,3.975082226101e+21
1.332000000000e+01,3.974551896940e+21
1.399000000000e+01,3.974021567779e+21
1.427000000000e+01,3.973756403199e+21
1.455000000000e+01,3.973491238618e+21
1.485000000000e+01,3.973226074038e+21
1.514000000000e+01,3.972960909457e+21
1.545000000000e+01,3.972695744877e+21
1.576000000000e+01,3.972430580296e+21
1.607000000000e+01,3.972165415716e+21
1.640000000000e+01,3.971635086555e+21
1.672000000000e+01,3.971369921974e+21
1.706000000000e+01,3.971104757394e+21
1.740000000000e+01,3.970574428233e+21
1.775000000000e+01,3.970309263652e+21
1.811000000000e+01,3.969778934491e+21
1.847000000000e+01,3.969248605330e+21
1.884000000000e+01,3.968983440750e+21
1.922000000000e+01,3.968453111589e+21
1.961000000000e+01,3.967922782428e+21
2.000000000000e+01,3.967392453267e+21
2.041000000000e+01,3.967127288687e+21
2.082000000000e+01,3.966596959526e+21
2.124000000000e+01,3.966066630365e+21
2.166000000000e+01,3.965271136623e+21
2.210000000000e+01,3.964740807462e+21
2.254000000000e+01,3.964210478301e+21
2.300000000000e+01,3.963680149140e+21
2.346000000000e+01,3.963149819979e+21
2.393000000000e+01,3.962354326238e+21
2.442000000000e+01,3.961823997077e+21
2.491000000000e+01,3.961028503335e+21
2.541000000000e+01,3.960498174174e+21
2.592000000000e+01,3.959702680433e+21
2.645000000000e+01,3.958907186691e+21
2.698000000000e+01,3.958376857530e+21
2.753000000000e+01,3.957581363789e+21
2.808000000000e+01,3.956785870048e+21
2.865000000000e+01,3.955990376306e+21
2.923000000000e+01,3.955194882565e+21
2.982000000000e+01,3.954399388823e+21
3.042000000000e+01,3.953603895082e+21
3.104000000000e+01,3.952808401340e+21
3.167000000000e+01,3.951747743018e+21
3.231000000000e+01,3.951217413857e+21
3.296000000000e+01,3.950421920116e+21
3.363000000000e+01,3.949361261794e+21
3.431000000000e+01,3.948565768052e+21
3.501000000000e+01,3.947770274311e+21
3.571000000000e+01,3.946974780569e+21
3.644000000000e+01,3.946179286828e+21
3.718000000000e+01,3.945383793087e+21
3.793000000000e+01,3.944588299345e+21
3.870000000000e+01,3.943792805604e+21
3.949000000000e+01,3.943262476443e+21
4.029000000000e+01,3.942466982701e+21
4.110000000000e+01,3.941671488960e+21
4.194000000000e+01,3.941141159799e+21
4.279000000000e+01,3.940345666057e+21
4.366000000000e+01,3.939815336896e+21
4.454000000000e+01,3.939019843155e+21
4.544000000000e+01,3.938489513994e+21
