# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_18b08d9a03112a62326c"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "28Si^+(2P1/2)"
# neutral: "Kr"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 27.9769, M = 83.798, &alpha; = 2.4953."
# updated: "2021-12-29 15:42:04"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_002_1021_1021/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "874805eb69102a9e42079caf4777a341ed1131b7c8321cef33663bb008631acc"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,5.164080205011e+21
1.500000000000e-01,5.164080205011e+21
6.100000000000e-01,5.164080205011e+21
1.070000000000e+00,5.164080205011e+21
1.870000000000e+00,5.163815040431e+21
3.660000000000e+00,5.162754382109e+21
4.390000000000e+00,5.162224052948e+21
5.270000000000e+00,5.161428559206e+21
6.970000000000e+00,5.159307242562e+21
8.020000000000e+00,5.157716255079e+21
9.220000000000e+00,5.155594938435e+21
1.117000000000e+01,5.151882634309e+21
1.173000000000e+01,5.150556811406e+21
1.232000000000e+01,5.149230988504e+21
1.294000000000e+01,5.147640001021e+21
1.359000000000e+01,5.146049013538e+21
1.427000000000e+01,5.144192861474e+21
1.574000000000e+01,5.139950228187e+21
1.737000000000e+01,5.134646936577e+21
1.825000000000e+01,5.131730126191e+21
1.917000000000e+01,5.128548151226e+21
1.956000000000e+01,5.127222328323e+21
2.036000000000e+01,5.124305517938e+21
2.077000000000e+01,5.122714530455e+21
2.119000000000e+01,5.121123542972e+21
2.162000000000e+01,5.119532555489e+21
2.251000000000e+01,5.116085415943e+21
2.296000000000e+01,5.114229263879e+21
2.343000000000e+01,5.112373111816e+21
2.439000000000e+01,5.108395643109e+21
2.489000000000e+01,5.106274326465e+21
2.540000000000e+01,5.104153009821e+21
2.592000000000e+01,5.101766528596e+21
2.644000000000e+01,5.099380047372e+21
2.698000000000e+01,5.096993566148e+21
2.754000000000e+01,5.094607084923e+21
2.810000000000e+01,5.091955439118e+21
2.867000000000e+01,5.089303793313e+21
2.926000000000e+01,5.086386982928e+21
3.047000000000e+01,5.080553362157e+21
3.110000000000e+01,5.077636551772e+21
3.174000000000e+01,5.074454576806e+21
3.306000000000e+01,5.067825462294e+21
3.374000000000e+01,5.064378322747e+21
3.444000000000e+01,5.060931183201e+21
3.515000000000e+01,5.057218879074e+21
