# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_275921f0039c5c772517"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "28Si^+(2P3/2)"
# neutral: "Kr"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 27.9769, M = 83.798, &alpha; = 2.4953."
# updated: "2021-12-28 20:09:30"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_003_1022_1022/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "de6d3fa7282323e730d7d03095555bd54e67469ede168d28b36fe5a9995364ed"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,4.470000000000e+19
1.100000000000e-01,4.480000000000e+19
4.300000000000e-01,4.480000000000e+19
7.600000000000e-01,4.480000000000e+19
1.330000000000e+00,4.490000000000e+19
1.860000000000e+00,4.500000000000e+19
2.600000000000e+00,4.520000000000e+19
3.740000000000e+00,4.570000000000e+19
4.310000000000e+00,4.590000000000e+19
4.950000000000e+00,4.630000000000e+19
5.690000000000e+00,4.670000000000e+19
6.540000000000e+00,4.730000000000e+19
8.310000000000e+00,4.890000000000e+19
8.720000000000e+00,4.930000000000e+19
9.160000000000e+00,4.980000000000e+19
9.610000000000e+00,5.030000000000e+19
1.009000000000e+01,5.080000000000e+19
1.059000000000e+01,5.140000000000e+19
1.112000000000e+01,5.210000000000e+19
1.167000000000e+01,5.290000000000e+19
1.225000000000e+01,5.370000000000e+19
1.286000000000e+01,5.460000000000e+19
1.377000000000e+01,5.600000000000e+19
1.432000000000e+01,5.700000000000e+19
1.460000000000e+01,5.740000000000e+19
1.489000000000e+01,5.790000000000e+19
1.519000000000e+01,5.850000000000e+19
1.549000000000e+01,5.900000000000e+19
1.579000000000e+01,5.960000000000e+19
1.611000000000e+01,6.020000000000e+19
1.643000000000e+01,6.080000000000e+19
1.675000000000e+01,6.150000000000e+19
1.708000000000e+01,6.210000000000e+19
1.847000000000e+01,6.510000000000e+19
1.884000000000e+01,6.590000000000e+19
1.921000000000e+01,6.680000000000e+19
1.959000000000e+01,6.770000000000e+19
1.997000000000e+01,6.860000000000e+19
2.118000000000e+01,7.160000000000e+19
2.160000000000e+01,7.270000000000e+19
2.202000000000e+01,7.390000000000e+19
2.335000000000e+01,7.770000000000e+19
2.380000000000e+01,7.900000000000e+19
2.427000000000e+01,8.050000000000e+19
2.475000000000e+01,8.200000000000e+19
2.573000000000e+01,8.520000000000e+19
2.623000000000e+01,8.690000000000e+19
2.675000000000e+01,8.870000000000e+19
2.727000000000e+01,9.060000000000e+19
2.780000000000e+01,9.250000000000e+19
2.834000000000e+01,9.460000000000e+19
2.890000000000e+01,9.670000000000e+19
2.946000000000e+01,9.900000000000e+19
3.004000000000e+01,1.014000000000e+20
3.062000000000e+01,1.038000000000e+20
3.122000000000e+01,1.064000000000e+20
3.182000000000e+01,1.091000000000e+20
3.244000000000e+01,1.119000000000e+20
3.307000000000e+01,1.149000000000e+20
3.371000000000e+01,1.180000000000e+20
3.436000000000e+01,1.212000000000e+20
3.639000000000e+01,1.317000000000e+20
3.709000000000e+01,1.355000000000e+20
3.780000000000e+01,1.394000000000e+20
3.852000000000e+01,1.436000000000e+20
3.926000000000e+01,1.478000000000e+20
4.001000000000e+01,1.522000000000e+20
4.077000000000e+01,1.568000000000e+20
4.233000000000e+01,1.664000000000e+20
4.313000000000e+01,1.715000000000e+20
4.394000000000e+01,1.767000000000e+20
4.477000000000e+01,1.820000000000e+20
4.646000000000e+01,1.932000000000e+20
4.821000000000e+01,2.049000000000e+20
5.095000000000e+01,2.238000000000e+20
5.190000000000e+01,2.305000000000e+20
5.482000000000e+01,2.514000000000e+20
5.583000000000e+01,2.588000000000e+20
5.686000000000e+01,2.664000000000e+20
6.114000000000e+01,2.996000000000e+20
6.226000000000e+01,3.088000000000e+20
6.574000000000e+01,3.388000000000e+20
6.818000000000e+01,3.615000000000e+20
6.944000000000e+01,3.739000000000e+20
7.203000000000e+01,4.005000000000e+20
7.336000000000e+01,4.148000000000e+20
7.474000000000e+01,4.309000000000e+20
7.613000000000e+01,4.470000000000e+20
8.048000000000e+01,5.027000000000e+20
8.838000000000e+01,6.210000000000e+20
9.179000000000e+01,6.794000000000e+20
9.352000000000e+01,7.103000000000e+20
9.530000000000e+01,7.445000000000e+20
9.711000000000e+01,7.783000000000e+20
1.027500000000e+02,8.921000000000e+20
1.066800000000e+02,9.743000000000e+20
1.107200000000e+02,1.060900000000e+21
1.169900000000e+02,1.196400000000e+21
1.235500000000e+02,1.337500000000e+21
1.257900000000e+02,1.384400000000e+21
1.327100000000e+02,1.530300000000e+21
1.374800000000e+02,1.632100000000e+21
1.609200000000e+02,2.119300000000e+21
1.637600000000e+02,2.179900000000e+21
1.726400000000e+02,2.371600000000e+21
1.821800000000e+02,2.579600000000e+21
1.855100000000e+02,2.653500000000e+21
1.889300000000e+02,2.731500000000e+21
2.035600000000e+02,3.064300000000e+21
2.074900000000e+02,3.152800000000e+21
2.115100000000e+02,3.243500000000e+21
2.156700000000e+02,3.339600000000e+21
2.199800000000e+02,3.435500000000e+21
2.289500000000e+02,3.641500000000e+21
2.336600000000e+02,3.748400000000e+21
2.384900000000e+02,3.858400000000e+21
2.435000000000e+02,3.971700000000e+21
2.486800000000e+02,4.090200000000e+21
2.539900000000e+02,4.208500000000e+21
2.594900000000e+02,4.333600000000e+21
2.651700000000e+02,4.462300000000e+21
2.710300000000e+02,4.595000000000e+21
2.770900000000e+02,4.732600000000e+21
2.833300000000e+02,4.873700000000e+21
2.897500000000e+02,5.019400000000e+21
2.963700000000e+02,5.169100000000e+21
3.032200000000e+02,5.324600000000e+21
3.102700000000e+02,5.486000000000e+21
3.175500000000e+02,5.652600000000e+21
3.250500000000e+02,5.825600000000e+21
3.327800000000e+02,6.004200000000e+21
3.407400000000e+02,6.189200000000e+21
3.489500000000e+02,6.381900000000e+21
3.574000000000e+02,6.581500000000e+21
3.661000000000e+02,6.788600000000e+21
3.750600000000e+02,7.003500000000e+21
3.842900000000e+02,7.226800000000e+21
3.937700000000e+02,7.458400000000e+21
4.035300000000e+02,7.699000000000e+21
4.135700000000e+02,7.949500000000e+21
4.238900000000e+02,8.209200000000e+21
4.345000000000e+02,8.479200000000e+21
4.454200000000e+02,8.760100000000e+21
4.566300000000e+02,9.052400000000e+21
4.681500000000e+02,9.355100000000e+21
4.800000000000e+02,9.670500000000e+21
4.921700000000e+02,9.998400000000e+21
5.046700000000e+02,1.033890000000e+22
5.175600000000e+02,1.069710000000e+22
5.306800000000e+02,1.106150000000e+22
5.441800000000e+02,1.144300000000e+22
5.580500000000e+02,1.184050000000e+22
5.722700000000e+02,1.225240000000e+22
5.868500000000e+02,1.268100000000e+22
6.018000000000e+02,1.312590000000e+22
6.171600000000e+02,1.358940000000e+22
6.329400000000e+02,1.408240000000e+22
6.490100000000e+02,1.456910000000e+22
6.654700000000e+02,1.508200000000e+22
6.823900000000e+02,1.561810000000e+22
6.997200000000e+02,1.617510000000e+22
7.175500000000e+02,1.675740000000e+22
7.357000000000e+02,1.735400000000e+22
7.543900000000e+02,1.798000000000e+22
7.735000000000e+02,1.862710000000e+22
7.929800000000e+02,1.929270000000e+22
8.130200000000e+02,1.998980000000e+22
8.335800000000e+02,2.071360000000e+22
8.545000000000e+02,2.146150000000e+22
8.760200000000e+02,2.224090000000e+22
8.980700000000e+02,2.305020000000e+22
9.206300000000e+02,2.389290000000e+22
9.437200000000e+02,2.476720000000e+22
9.673700000000e+02,2.567560000000e+22
9.915800000000e+02,2.662070000000e+22
1.016370000000e+03,2.760010000000e+22
1.041730000000e+03,2.862230000000e+22
1.067700000000e+03,2.968380000000e+22
1.094290000000e+03,3.078900000000e+22
1.121500000000e+03,3.193680000000e+22
1.149210000000e+03,3.313110000000e+22
1.177840000000e+03,3.438430000000e+22
1.207080000000e+03,3.568930000000e+22
1.236850000000e+03,3.703840000000e+22
