# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_3db097a0ad0b5a998299"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "28Si^+(2P3/2)"
# neutral: "Kr"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 27.9769, M = 83.798, &alpha; = 2.4953."
# updated: "2021-12-28 20:09:30"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_003_1022_1022/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "de6d3fa7282323e730d7d03095555bd54e67469ede168d28b36fe5a9995364ed"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,2.384000000000e+20
2.300000000000e-01,2.384000000000e+20
9.100000000000e-01,2.385000000000e+20
1.600000000000e+00,2.386000000000e+20
3.910000000000e+00,2.393000000000e+20
5.470000000000e+00,2.401000000000e+20
6.560000000000e+00,2.414000000000e+20
7.870000000000e+00,2.428000000000e+20
9.050000000000e+00,2.442000000000e+20
1.041000000000e+01,2.461000000000e+20
1.662000000000e+01,2.583000000000e+20
1.745000000000e+01,2.603000000000e+20
1.832000000000e+01,2.625000000000e+20
1.923000000000e+01,2.650000000000e+20
2.018000000000e+01,2.677000000000e+20
2.118000000000e+01,2.707000000000e+20
2.223000000000e+01,2.740000000000e+20
2.333000000000e+01,2.776000000000e+20
2.697000000000e+01,2.907000000000e+20
2.830000000000e+01,2.960000000000e+20
2.885000000000e+01,2.983000000000e+20
2.942000000000e+01,3.007000000000e+20
3.000000000000e+01,3.032000000000e+20
3.059000000000e+01,3.058000000000e+20
3.244000000000e+01,3.142000000000e+20
3.308000000000e+01,3.172000000000e+20
3.373000000000e+01,3.203000000000e+20
3.439000000000e+01,3.236000000000e+20
3.864000000000e+01,3.455000000000e+20
3.940000000000e+01,3.498000000000e+20
4.017000000000e+01,3.541000000000e+20
4.095000000000e+01,3.586000000000e+20
4.176000000000e+01,3.633000000000e+20
4.257000000000e+01,3.682000000000e+20
4.341000000000e+01,3.733000000000e+20
4.512000000000e+01,3.841000000000e+20
4.600000000000e+01,3.898000000000e+20
4.781000000000e+01,4.019000000000e+20
4.875000000000e+01,4.084000000000e+20
4.970000000000e+01,4.151000000000e+20
5.067000000000e+01,4.221000000000e+20
5.166000000000e+01,4.294000000000e+20
5.267000000000e+01,4.370000000000e+20
