# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_0aa5f2ffb087d13b3431"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "30Si^+(2P)"
# neutral: "Kr"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 29.9738, M = 83.798, &alpha; = 2.4953."
# updated: "2021-12-28 21:31:05"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_007_2135_2135/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "af64952f45246149b7ca29aa35693d373f8c08587ca3a2e871354499c3d2956a"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,4.400000000000e+19
1.100000000000e-01,4.400000000000e+19
4.400000000000e-01,4.400000000000e+19
7.700000000000e-01,4.410000000000e+19
1.350000000000e+00,4.410000000000e+19
1.890000000000e+00,4.420000000000e+19
2.650000000000e+00,4.440000000000e+19
3.180000000000e+00,4.460000000000e+19
3.810000000000e+00,4.480000000000e+19
4.390000000000e+00,4.500000000000e+19
5.040000000000e+00,4.540000000000e+19
5.800000000000e+00,4.580000000000e+19
6.670000000000e+00,4.640000000000e+19
7.330000000000e+00,4.690000000000e+19
8.070000000000e+00,4.750000000000e+19
8.470000000000e+00,4.790000000000e+19
8.890000000000e+00,4.830000000000e+19
9.330000000000e+00,4.870000000000e+19
9.800000000000e+00,4.920000000000e+19
1.029000000000e+01,4.970000000000e+19
1.080000000000e+01,5.030000000000e+19
1.134000000000e+01,5.090000000000e+19
1.191000000000e+01,5.160000000000e+19
1.250000000000e+01,5.240000000000e+19
1.312000000000e+01,5.320000000000e+19
1.378000000000e+01,5.420000000000e+19
1.405000000000e+01,5.460000000000e+19
1.433000000000e+01,5.500000000000e+19
1.462000000000e+01,5.540000000000e+19
1.491000000000e+01,5.590000000000e+19
1.521000000000e+01,5.640000000000e+19
1.551000000000e+01,5.680000000000e+19
1.582000000000e+01,5.740000000000e+19
1.613000000000e+01,5.790000000000e+19
1.645000000000e+01,5.840000000000e+19
1.678000000000e+01,5.900000000000e+19
1.712000000000e+01,5.960000000000e+19
1.746000000000e+01,6.020000000000e+19
1.780000000000e+01,6.090000000000e+19
1.816000000000e+01,6.160000000000e+19
1.852000000000e+01,6.230000000000e+19
1.889000000000e+01,6.300000000000e+19
1.926000000000e+01,6.380000000000e+19
1.965000000000e+01,6.450000000000e+19
