# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_019242fafe86e7ba0025"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "30Si^+(2P1/2)"
# neutral: "Kr"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 29.9738, M = 83.798, &alpha; = 2.4953."
# updated: "2021-12-27 15:53:50"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_008_2136_2136/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "4b365fd198f23fd4b60f84db32502f0abe0d5ea3bc44a22a77a9577b65fa0551"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,4.881149597630e+21
2.300000000000e-01,4.881149597630e+21
9.100000000000e-01,4.880884433049e+21
1.600000000000e+00,4.880884433049e+21
2.790000000000e+00,4.880619268469e+21
3.910000000000e+00,4.880088939308e+21
5.480000000000e+00,4.879028280986e+21
6.570000000000e+00,4.878232787245e+21
7.890000000000e+00,4.876906964342e+21
9.070000000000e+00,4.875581141440e+21
1.044000000000e+01,4.873724989376e+21
1.201000000000e+01,4.871338508152e+21
1.382000000000e+01,4.868421697767e+21
1.520000000000e+01,4.865770051962e+21
1.673000000000e+01,4.862588076996e+21
1.758000000000e+01,4.860731924932e+21
1.846000000000e+01,4.858875772869e+21
1.939000000000e+01,4.856754456225e+21
2.037000000000e+01,4.854367975001e+21
2.140000000000e+01,4.851716329196e+21
2.248000000000e+01,4.848799518810e+21
2.361000000000e+01,4.845617543845e+21
2.481000000000e+01,4.842435568879e+21
2.607000000000e+01,4.838458100171e+21
2.739000000000e+01,4.834480631464e+21
2.878000000000e+01,4.830237998176e+21
2.937000000000e+01,4.828381846113e+21
2.996000000000e+01,4.826260529469e+21
3.057000000000e+01,4.824404377405e+21
3.120000000000e+01,4.822283060762e+21
3.183000000000e+01,4.820161744118e+21
3.248000000000e+01,4.818040427474e+21
3.315000000000e+01,4.815653946249e+21
3.382000000000e+01,4.813267465025e+21
3.452000000000e+01,4.810880983801e+21
3.522000000000e+01,4.808494502576e+21
3.594000000000e+01,4.805842856771e+21
3.668000000000e+01,4.803191210966e+21
3.743000000000e+01,4.800539565162e+21
3.820000000000e+01,4.797887919357e+21
3.899000000000e+01,4.794971108971e+21
3.979000000000e+01,4.792054298586e+21
4.061000000000e+01,4.788872323620e+21
4.145000000000e+01,4.785690348654e+21
4.230000000000e+01,4.782508373688e+21
4.317000000000e+01,4.779326398722e+21
4.407000000000e+01,4.775879259176e+21
4.498000000000e+01,4.772432119630e+21
4.591000000000e+01,4.768984980083e+21
4.686000000000e+01,4.765537840537e+21
4.783000000000e+01,4.761825536410e+21
4.883000000000e+01,4.758113232283e+21
4.985000000000e+01,4.754400928157e+21
5.088000000000e+01,4.750423459449e+21
5.194000000000e+01,4.746711155322e+21
5.303000000000e+01,4.742733686615e+21
5.414000000000e+01,4.738756217908e+21
5.527000000000e+01,4.734778749200e+21
5.643000000000e+01,4.730536115913e+21
5.761000000000e+01,4.726558647205e+21
5.882000000000e+01,4.722316013917e+21
6.005000000000e+01,4.718338545210e+21
6.132000000000e+01,4.714361076503e+21
6.261000000000e+01,4.710383607795e+21
6.393000000000e+01,4.706406139088e+21
6.527000000000e+01,4.702693834961e+21
6.666000000000e+01,4.698451201673e+21
6.807000000000e+01,4.694208568386e+21
6.952000000000e+01,4.690231099678e+21
7.100000000000e+01,4.686253630971e+21
7.251000000000e+01,4.682806491425e+21
7.403000000000e+01,4.680685174781e+21
7.558000000000e+01,4.679094187298e+21
7.717000000000e+01,4.678033528976e+21
7.880000000000e+01,4.676442541493e+21
8.046000000000e+01,4.675381883171e+21
8.216000000000e+01,4.674851554010e+21
8.389000000000e+01,4.674851554010e+21
8.566000000000e+01,4.675116718591e+21
8.746000000000e+01,4.676707706073e+21
8.930000000000e+01,4.678563858137e+21
9.117000000000e+01,4.681480668522e+21
9.308000000000e+01,4.684927808069e+21
9.500000000000e+01,4.693413074644e+21
9.698000000000e+01,4.696329885030e+21
9.900000000000e+01,4.702428670381e+21
1.010900000000e+02,4.708792620313e+21
1.031100000000e+02,4.721255355595e+21
1.052100000000e+02,4.732392267976e+21
1.073200000000e+02,4.744324674098e+21
1.094700000000e+02,4.756787409381e+21
1.116400000000e+02,4.772166955049e+21
1.138400000000e+02,4.785955513235e+21
1.160500000000e+02,4.803191210966e+21
1.182600000000e+02,4.816979769152e+21
1.204900000000e+02,4.839783923074e+21
1.227200000000e+02,4.857284785386e+21
1.249500000000e+02,4.876906964342e+21
1.271900000000e+02,4.893877497493e+21
1.294200000000e+02,4.915355828513e+21
1.316500000000e+02,4.931796032503e+21
1.338900000000e+02,4.949827223976e+21
1.361200000000e+02,4.962024794679e+21
1.465800000000e+02,5.103357516079e+21
1.500300000000e+02,5.029906927284e+21
1.518500000000e+02,4.948766565655e+21
1.549200000000e+02,5.004451127557e+21
1.560300000000e+02,4.986950265245e+21
1.599600000000e+02,5.058544701977e+21
1.616300000000e+02,4.987480594406e+21
1.647800000000e+02,5.109456301430e+21
1.660600000000e+02,5.031232750186e+21
1.755300000000e+02,5.232227502197e+21
1.843800000000e+02,5.132260455352e+21
1.865600000000e+02,5.130139138709e+21
1.890800000000e+02,5.196695448411e+21
1.914400000000e+02,5.132260455352e+21
1.942900000000e+02,5.179990079840e+21
1.966200000000e+02,5.160633065465e+21
1.991100000000e+02,5.163549875850e+21
2.018100000000e+02,5.180255244421e+21
2.070900000000e+02,5.214461475304e+21
2.097600000000e+02,5.239386945870e+21
2.124900000000e+02,5.261130441470e+21
2.153100000000e+02,5.285790747455e+21
2.182200000000e+02,5.305943255572e+21
2.211300000000e+02,5.338558498972e+21
2.241800000000e+02,5.350490905094e+21
2.273500000000e+02,5.377007363143e+21
2.305000000000e+02,5.408031619060e+21
2.338800000000e+02,5.428979620919e+21
2.373000000000e+02,5.460269041417e+21
2.407800000000e+02,5.492088791075e+21
2.444100000000e+02,5.523908540734e+21
2.482300000000e+02,5.553341809168e+21
2.521600000000e+02,5.582244748441e+21
2.562500000000e+02,5.610087029393e+21
2.605000000000e+02,5.637664145763e+21
2.648700000000e+02,5.666301920456e+21
2.694100000000e+02,5.692553213924e+21
2.741200000000e+02,5.718539342812e+21
2.790000000000e+02,5.744260307120e+21
2.840900000000e+02,5.766268967300e+21
2.893600000000e+02,5.787482133739e+21
2.948200000000e+02,5.806308818954e+21
3.005000000000e+02,5.822749022944e+21
3.064000000000e+02,5.839454391515e+21
3.125100000000e+02,5.852447455959e+21
3.188700000000e+02,5.863319203759e+21
3.254500000000e+02,5.872334799496e+21
3.322800000000e+02,5.871804470335e+21
3.393700000000e+02,5.881880724393e+21
3.467100000000e+02,5.883206547296e+21
3.543200000000e+02,5.884532370198e+21
3.622100000000e+02,5.880554901491e+21
3.703600000000e+02,5.878168420266e+21
3.788400000000e+02,5.872865128656e+21
3.875800000000e+02,5.865440520403e+21
3.966500000000e+02,5.855364266344e+21
4.060200000000e+02,5.842371201900e+21
4.157100000000e+02,5.828317479134e+21
4.258500000000e+02,5.809755958500e+21
4.361400000000e+02,5.791724767027e+21
4.468400000000e+02,5.771307094329e+21
4.579600000000e+02,5.750093927890e+21
4.692700000000e+02,5.731267242676e+21
4.811500000000e+02,5.706606936690e+21
4.932500000000e+02,5.683272453607e+21
5.059000000000e+02,5.657021160139e+21
5.187800000000e+02,5.631830524993e+21
5.320100000000e+02,5.606639889846e+21
5.457800000000e+02,5.577471785992e+21
5.599800000000e+02,5.550159834202e+21
5.746500000000e+02,5.519665907446e+21
5.896800000000e+02,5.490232639012e+21
6.053400000000e+02,5.457352231031e+21
6.212200000000e+02,5.427653798017e+21
6.376700000000e+02,5.395303719197e+21
6.546700000000e+02,5.362423311216e+21
6.720200000000e+02,5.331929384460e+21
6.899500000000e+02,5.299048976480e+21
7.083900000000e+02,5.266433733080e+21
7.273500000000e+02,5.233818489680e+21
7.468800000000e+02,5.201203246279e+21
7.670300000000e+02,5.168853167460e+21
7.876800000000e+02,5.136768253221e+21
8.088300000000e+02,5.104153009821e+21
8.306100000000e+02,5.074454576806e+21
8.530200000000e+02,5.038127029279e+21
8.759100000000e+02,5.005246621299e+21
8.994700000000e+02,4.973161707059e+21
9.236400000000e+02,4.941341957401e+21
9.485200000000e+02,4.908726714001e+21
9.739700000000e+02,4.875581141440e+21
9.999600000000e+02,4.851981493776e+21
1.026920000000e+03,4.816979769152e+21
1.054310000000e+03,4.785955513235e+21
1.082610000000e+03,4.754400928157e+21
1.111390000000e+03,4.724967659722e+21
1.141140000000e+03,4.695269226708e+21
1.171570000000e+03,4.665835958273e+21
1.202550000000e+03,4.637198183581e+21
1.234360000000e+03,4.608825573468e+21
1.266960000000e+03,4.580983292517e+21
1.300340000000e+03,4.553141011566e+21
1.334480000000e+03,4.526624553517e+21
1.369460000000e+03,4.500108095468e+21
1.405240000000e+03,4.474121966580e+21
1.441830000000e+03,4.448666166853e+21
1.479270000000e+03,4.423740696288e+21
1.517520000000e+03,4.399080390302e+21
1.556750000000e+03,4.374950413478e+21
1.596620000000e+03,4.351881094975e+21
1.637460000000e+03,4.328811776473e+21
1.679170000000e+03,4.306537951712e+21
1.721790000000e+03,4.284529291531e+21
1.765300000000e+03,4.262785795931e+21
1.809710000000e+03,4.241837794073e+21
1.855050000000e+03,4.221154956794e+21
1.901320000000e+03,4.201002448677e+21
1.948540000000e+03,4.181380269721e+21
1.996720000000e+03,4.162553584506e+21
2.045940000000e+03,4.142666240970e+21
2.095970000000e+03,4.120657580789e+21
2.147050000000e+03,4.105012870541e+21
2.199270000000e+03,4.085921020745e+21
2.252540000000e+03,4.068685323014e+21
