# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_d4c20250c3e6d88e9d5a"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "30Si^+(2P3/2)"
# neutral: "Kr"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 29.9738, M = 83.798, &alpha; = 2.4953."
# updated: "2021-12-28 20:13:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_009_2137_2137/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "f012de6566f0f50d7a255c4fc57705baa567234ef1a6fd4c98226d355af96b76"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,5.322913788724e+21
2.300000000000e-01,5.322913788724e+21
9.400000000000e-01,5.322913788724e+21
1.640000000000e+00,5.322913788724e+21
2.860000000000e+00,5.323178953304e+21
4.010000000000e+00,5.323709282465e+21
5.610000000000e+00,5.324769940787e+21
6.730000000000e+00,5.325565434528e+21
8.080000000000e+00,5.326891257431e+21
9.290000000000e+00,5.328217080333e+21
1.068000000000e+01,5.330073232397e+21
1.227000000000e+01,5.332194549041e+21
1.411000000000e+01,5.335111359426e+21
1.552000000000e+01,5.336967511489e+21
1.706000000000e+01,5.340414651036e+21
1.790000000000e+01,5.342270803099e+21
1.879000000000e+01,5.344126955163e+21
1.973000000000e+01,5.345983107226e+21
2.071000000000e+01,5.348104423870e+21
2.173000000000e+01,5.350490905094e+21
2.281000000000e+01,5.352877386319e+21
2.394000000000e+01,5.355263867543e+21
2.512000000000e+01,5.358180677929e+21
2.636000000000e+01,5.361362652894e+21
2.767000000000e+01,5.364809792441e+21
2.903000000000e+01,5.368256931987e+21
2.960000000000e+01,5.369847919470e+21
3.019000000000e+01,5.371173742372e+21
3.078000000000e+01,5.372764729855e+21
3.139000000000e+01,5.374355717338e+21
3.201000000000e+01,5.375681540241e+21
3.264000000000e+01,5.377272527724e+21
3.328000000000e+01,5.378863515207e+21
3.394000000000e+01,5.380719667270e+21
3.460000000000e+01,5.382310654753e+21
3.528000000000e+01,5.384166806816e+21
3.597000000000e+01,5.386022958880e+21
3.668000000000e+01,5.388144275524e+21
3.740000000000e+01,5.390000427587e+21
3.813000000000e+01,5.391856579651e+21
3.888000000000e+01,5.393712731714e+21
3.965000000000e+01,5.395568883777e+21
4.042000000000e+01,5.397425035841e+21
4.121000000000e+01,5.398220529582e+21
4.202000000000e+01,5.400341846226e+21
4.284000000000e+01,5.402463162870e+21
4.368000000000e+01,5.404054150353e+21
4.454000000000e+01,5.406175466997e+21
4.541000000000e+01,5.408296783641e+21
4.629000000000e+01,5.410683264865e+21
4.720000000000e+01,5.412804581509e+21
4.811000000000e+01,5.415721391895e+21
4.905000000000e+01,5.417842708538e+21
5.002000000000e+01,5.419168531441e+21
5.099000000000e+01,5.421289848085e+21
5.199000000000e+01,5.423676329309e+21
5.300000000000e+01,5.426062810534e+21
5.404000000000e+01,5.428449291758e+21
5.509000000000e+01,5.430570608402e+21
5.617000000000e+01,5.432691925046e+21
5.727000000000e+01,5.435078406270e+21
5.838000000000e+01,5.437730052075e+21
5.953000000000e+01,5.440116533299e+21
6.069000000000e+01,5.442237849943e+21
6.188000000000e+01,5.445154660329e+21
6.310000000000e+01,5.447010812392e+21
6.432000000000e+01,5.451518610260e+21
6.557000000000e+01,5.454435420646e+21
6.685000000000e+01,5.457352231031e+21
6.815000000000e+01,5.461594864319e+21
6.947000000000e+01,5.465307168446e+21
7.083000000000e+01,5.469284637153e+21
7.220000000000e+01,5.473527270441e+21
7.361000000000e+01,5.478035068309e+21
7.504000000000e+01,5.482012537017e+21
7.650000000000e+01,5.486785499465e+21
7.799000000000e+01,5.491558461914e+21
7.950000000000e+01,5.496331424363e+21
8.105000000000e+01,5.501634715973e+21
8.262000000000e+01,5.506142513841e+21
8.420000000000e+01,5.513567122095e+21
8.583000000000e+01,5.519931072026e+21
8.748000000000e+01,5.526560186539e+21
8.916000000000e+01,5.533719630212e+21
9.088000000000e+01,5.540348744724e+21
9.262000000000e+01,5.546977859236e+21
9.439000000000e+01,5.554137302909e+21
9.620000000000e+01,5.561561911163e+21
1.037100000000e+02,5.591525508758e+21
1.056600000000e+02,5.599215281592e+21
1.076500000000e+02,5.606639889846e+21
1.096600000000e+02,5.614329662680e+21
1.117000000000e+02,5.621223941773e+21
1.158900000000e+02,5.642437108212e+21
1.269000000000e+02,5.668158072519e+21
1.291900000000e+02,5.675052351612e+21
1.315200000000e+02,5.681416301544e+21
1.339000000000e+02,5.686454428573e+21
1.363100000000e+02,5.691757720183e+21
1.387500000000e+02,5.698121670115e+21
1.412600000000e+02,5.702099138822e+21
1.438000000000e+02,5.706341772110e+21
1.463900000000e+02,5.710584405398e+21
1.490100000000e+02,5.715092203266e+21
1.516800000000e+02,5.719600001134e+21
1.544000000000e+02,5.723312305261e+21
1.571800000000e+02,5.725433621905e+21
1.600100000000e+02,5.730206584354e+21
1.629000000000e+02,5.733388559320e+21
1.688800000000e+02,5.740548002993e+21
1.849400000000e+02,5.769981271427e+21
1.919800000000e+02,5.767859954783e+21
1.956300000000e+02,5.770776765168e+21
2.031700000000e+02,5.775814892198e+21
2.071200000000e+02,5.778201373422e+21
2.112100000000e+02,5.778731702583e+21
2.153900000000e+02,5.779792360905e+21
2.196600000000e+02,5.781383348388e+21
2.240900000000e+02,5.782178842129e+21
2.286400000000e+02,5.781118183808e+21
2.333400000000e+02,5.779527196325e+21
2.381600000000e+02,5.778201373422e+21
2.431500000000e+02,5.775549727617e+21
2.482900000000e+02,5.771837423490e+21
2.535800000000e+02,5.768125119364e+21
2.590400000000e+02,5.762556663173e+21
2.646900000000e+02,5.755662384081e+21
2.705100000000e+02,5.748237775827e+21
2.765000000000e+02,5.740017673832e+21
3.023500000000e+02,5.698651999276e+21
3.093200000000e+02,5.685658934832e+21
3.165100000000e+02,5.671870376646e+21
3.239200000000e+02,5.657021160139e+21
3.315600000000e+02,5.641111285310e+21
3.394200000000e+02,5.624671081319e+21
3.475200000000e+02,5.607435383588e+21
3.558600000000e+02,5.589139027534e+21
3.644500000000e+02,5.570312342319e+21
3.732900000000e+02,5.550690163363e+21
3.824000000000e+02,5.530272490666e+21
3.917700000000e+02,5.509324488807e+21
4.014000000000e+02,5.487846157787e+21
4.113100000000e+02,5.465837497607e+21
4.215000000000e+02,5.443298508265e+21
4.319800000000e+02,5.420229189763e+21
4.427500000000e+02,5.396894706680e+21
4.538300000000e+02,5.373029894436e+21
4.652300000000e+02,5.348899917611e+21
4.769300000000e+02,5.324504776207e+21
