# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_f05343501f8ed274cef3"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "30Si^+(2P3/2)"
# neutral: "Kr"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 29.9738, M = 83.798, &alpha; = 2.4953."
# updated: "2021-12-28 20:13:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_009_2137_2137/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "17c39be4148686d8d287eb5925db85b9d32934ee19c45c4b87ef94f015f73071"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,8.900000000000e+19
1.500000000000e-01,8.900000000000e+19
6.200000000000e-01,8.910000000000e+19
1.080000000000e+00,8.910000000000e+19
1.890000000000e+00,8.930000000000e+19
2.640000000000e+00,8.940000000000e+19
3.700000000000e+00,8.980000000000e+19
4.440000000000e+00,9.020000000000e+19
5.330000000000e+00,9.070000000000e+19
6.130000000000e+00,9.120000000000e+19
7.050000000000e+00,9.190000000000e+19
8.100000000000e+00,9.280000000000e+19
9.320000000000e+00,9.410000000000e+19
1.024000000000e+01,9.510000000000e+19
1.127000000000e+01,9.640000000000e+19
1.183000000000e+01,9.710000000000e+19
1.242000000000e+01,9.800000000000e+19
1.303000000000e+01,9.890000000000e+19
1.368000000000e+01,9.990000000000e+19
1.436000000000e+01,1.011000000000e+20
1.508000000000e+01,1.023000000000e+20
1.582000000000e+01,1.037000000000e+20
1.661000000000e+01,1.052000000000e+20
1.743000000000e+01,1.069000000000e+20
1.958000000000e+01,1.118000000000e+20
1.997000000000e+01,1.127000000000e+20
2.037000000000e+01,1.137000000000e+20
2.077000000000e+01,1.148000000000e+20
2.118000000000e+01,1.158000000000e+20
2.160000000000e+01,1.169000000000e+20
2.202000000000e+01,1.181000000000e+20
2.246000000000e+01,1.193000000000e+20
2.290000000000e+01,1.206000000000e+20
2.335000000000e+01,1.219000000000e+20
2.381000000000e+01,1.233000000000e+20
2.428000000000e+01,1.247000000000e+20
2.476000000000e+01,1.262000000000e+20
2.524000000000e+01,1.278000000000e+20
2.574000000000e+01,1.294000000000e+20
2.624000000000e+01,1.310000000000e+20
2.675000000000e+01,1.327000000000e+20
2.728000000000e+01,1.346000000000e+20
2.781000000000e+01,1.365000000000e+20
2.836000000000e+01,1.385000000000e+20
2.891000000000e+01,1.405000000000e+20
2.947000000000e+01,1.430000000000e+20
3.005000000000e+01,1.453000000000e+20
3.064000000000e+01,1.477000000000e+20
3.123000000000e+01,1.502000000000e+20
3.184000000000e+01,1.528000000000e+20
3.246000000000e+01,1.555000000000e+20
3.309000000000e+01,1.583000000000e+20
3.373000000000e+01,1.612000000000e+20
3.438000000000e+01,1.642000000000e+20
3.505000000000e+01,1.673000000000e+20
3.572000000000e+01,1.706000000000e+20
3.641000000000e+01,1.740000000000e+20
3.711000000000e+01,1.775000000000e+20
3.783000000000e+01,1.812000000000e+20
3.855000000000e+01,1.849000000000e+20
3.929000000000e+01,1.888000000000e+20
4.004000000000e+01,1.929000000000e+20
4.081000000000e+01,1.971000000000e+20
4.159000000000e+01,2.014000000000e+20
4.238000000000e+01,2.059000000000e+20
4.319000000000e+01,2.106000000000e+20
4.401000000000e+01,2.154000000000e+20
4.484000000000e+01,2.203000000000e+20
4.569000000000e+01,2.254000000000e+20
4.656000000000e+01,2.307000000000e+20
4.744000000000e+01,2.362000000000e+20
4.833000000000e+01,2.418000000000e+20
4.925000000000e+01,2.476000000000e+20
5.018000000000e+01,2.536000000000e+20
5.112000000000e+01,2.598000000000e+20
5.208000000000e+01,2.661000000000e+20
5.306000000000e+01,2.727000000000e+20
5.406000000000e+01,2.796000000000e+20
5.506000000000e+01,2.866000000000e+20
5.610000000000e+01,2.940000000000e+20
5.715000000000e+01,3.015000000000e+20
5.822000000000e+01,3.094000000000e+20
6.387000000000e+01,3.539000000000e+20
6.507000000000e+01,3.640000000000e+20
6.630000000000e+01,3.748000000000e+20
6.754000000000e+01,3.860000000000e+20
6.882000000000e+01,3.979000000000e+20
7.011000000000e+01,4.099000000000e+20
7.142000000000e+01,4.231000000000e+20
7.846000000000e+01,5.006000000000e+20
8.791000000000e+01,6.291000000000e+20
8.963000000000e+01,6.549000000000e+20
9.309000000000e+01,7.115000000000e+20
9.488000000000e+01,7.425000000000e+20
1.062300000000e+02,9.511000000000e+20
1.082000000000e+02,9.900000000000e+20
1.102400000000e+02,1.030600000000e+21
1.754900000000e+02,2.338400000000e+21
1.786100000000e+02,2.404000000000e+21
1.817900000000e+02,2.469600000000e+21
1.850700000000e+02,2.540400000000e+21
1.885300000000e+02,2.617900000000e+21
1.920000000000e+02,2.688100000000e+21
1.955400000000e+02,2.762000000000e+21
1.992200000000e+02,2.839900000000e+21
2.191400000000e+02,3.266300000000e+21
2.234800000000e+02,3.361000000000e+21
2.279600000000e+02,3.457800000000e+21
2.325800000000e+02,3.559100000000e+21
2.373300000000e+02,3.661400000000e+21
2.422500000000e+02,3.768100000000e+21
2.473100000000e+02,3.877600000000e+21
2.525400000000e+02,3.989400000000e+21
2.579500000000e+02,4.107700000000e+21
2.635100000000e+02,4.226400000000e+21
2.692500000000e+02,4.350900000000e+21
2.751900000000e+02,4.479100000000e+21
2.812800000000e+02,4.608900000000e+21
2.875800000000e+02,4.747400000000e+21
2.940800000000e+02,4.886700000000e+21
3.007800000000e+02,5.030700000000e+21
3.077100000000e+02,5.180000000000e+21
3.148400000000e+02,5.332500000000e+21
3.222000000000e+02,5.492400000000e+21
3.297800000000e+02,5.658500000000e+21
3.624700000000e+02,6.384800000000e+21
3.712700000000e+02,6.583700000000e+21
3.803200000000e+02,6.790100000000e+21
3.896500000000e+02,7.003300000000e+21
3.992400000000e+02,7.225100000000e+21
4.091100000000e+02,7.455000000000e+21
4.192600000000e+02,7.695400000000e+21
4.297000000000e+02,7.944600000000e+21
4.404300000000e+02,8.203500000000e+21
4.514500000000e+02,8.470300000000e+21
4.628100000000e+02,8.753000000000e+21
4.744800000000e+02,9.045600000000e+21
4.864700000000e+02,9.350700000000e+21
4.987800000000e+02,9.666000000000e+21
5.114300000000e+02,9.992800000000e+21
5.244000000000e+02,1.033140000000e+22
5.377400000000e+02,1.068530000000e+22
5.514200000000e+02,1.105220000000e+22
6.097500000000e+02,1.266610000000e+22
6.253300000000e+02,1.311250000000e+22
6.412000000000e+02,1.356990000000e+22
6.575000000000e+02,1.404690000000e+22
6.742800000000e+02,1.454680000000e+22
6.914400000000e+02,1.506350000000e+22
