# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_4e774e0897a9000ae691"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "70Ge^+(2P1/2)"
# neutral: "Kr"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 69.9242, M = 83.798, &alpha; = 2.4953."
# updated: "2022-01-15 19:59:33"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14055_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "522feb610bfd5cc5fdca4775da9a7d9707320cbb76d1367d0f8683fbfc18d3f7"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,9.890000000000e+19
2.600000000000e-01,9.890000000000e+19
1.020000000000e+00,9.890000000000e+19
1.790000000000e+00,9.890000000000e+19
3.130000000000e+00,9.910000000000e+19
4.380000000000e+00,9.930000000000e+19
6.130000000000e+00,9.970000000000e+19
7.360000000000e+00,1.001000000000e+20
1.015000000000e+01,1.011000000000e+20
1.344000000000e+01,1.028000000000e+20
1.546000000000e+01,1.041000000000e+20
1.701000000000e+01,1.051000000000e+20
1.872000000000e+01,1.064000000000e+20
2.168000000000e+01,1.090000000000e+20
2.277000000000e+01,1.100000000000e+20
2.392000000000e+01,1.111000000000e+20
2.639000000000e+01,1.137000000000e+20
2.912000000000e+01,1.169000000000e+20
3.059000000000e+01,1.187000000000e+20
3.214000000000e+01,1.207000000000e+20
3.279000000000e+01,1.216000000000e+20
3.413000000000e+01,1.234000000000e+20
3.482000000000e+01,1.244000000000e+20
3.625000000000e+01,1.264000000000e+20
3.773000000000e+01,1.286000000000e+20
3.928000000000e+01,1.310000000000e+20
4.008000000000e+01,1.323000000000e+20
4.089000000000e+01,1.336000000000e+20
4.173000000000e+01,1.350000000000e+20
4.258000000000e+01,1.364000000000e+20
4.344000000000e+01,1.379000000000e+20
4.433000000000e+01,1.395000000000e+20
4.523000000000e+01,1.411000000000e+20
4.616000000000e+01,1.428000000000e+20
4.710000000000e+01,1.445000000000e+20
4.806000000000e+01,1.463000000000e+20
4.905000000000e+01,1.482000000000e+20
5.428000000000e+01,1.590000000000e+20
5.540000000000e+01,1.614000000000e+20
5.653000000000e+01,1.640000000000e+20
5.770000000000e+01,1.665000000000e+20
5.888000000000e+01,1.692000000000e+20
6.009000000000e+01,1.721000000000e+20
6.133000000000e+01,1.751000000000e+20
6.260000000000e+01,1.782000000000e+20
6.389000000000e+01,1.815000000000e+20
6.521000000000e+01,1.850000000000e+20
6.655000000000e+01,1.886000000000e+20
6.793000000000e+01,1.924000000000e+20
6.933000000000e+01,1.964000000000e+20
7.076000000000e+01,2.007000000000e+20
7.223000000000e+01,2.052000000000e+20
7.373000000000e+01,2.099000000000e+20
8.002000000000e+01,2.316000000000e+20
8.168000000000e+01,2.378000000000e+20
8.337000000000e+01,2.446000000000e+20
8.509000000000e+01,2.517000000000e+20
8.686000000000e+01,2.594000000000e+20
8.865000000000e+01,2.677000000000e+20
9.048000000000e+01,2.764000000000e+20
9.235000000000e+01,2.859000000000e+20
9.619000000000e+01,3.072000000000e+20
9.817000000000e+01,3.192000000000e+20
1.001900000000e+02,3.322000000000e+20
1.022400000000e+02,3.464000000000e+20
1.043300000000e+02,3.617000000000e+20
1.064600000000e+02,3.786000000000e+20
1.086200000000e+02,3.969000000000e+20
1.108200000000e+02,4.171000000000e+20
1.153300000000e+02,4.639000000000e+20
1.176300000000e+02,4.902000000000e+20
1.199700000000e+02,5.190000000000e+20
1.247300000000e+02,5.870000000000e+20
1.295600000000e+02,6.617000000000e+20
1.320300000000e+02,7.043000000000e+20
1.369900000000e+02,7.972000000000e+20
1.444900000000e+02,9.421000000000e+20
1.495900000000e+02,1.053500000000e+21
2.158900000000e+02,1.969200000000e+21
2.547800000000e+02,2.485700000000e+21
3.662100000000e+02,4.279000000000e+21
3.739200000000e+02,4.452700000000e+21
3.819200000000e+02,4.596000000000e+21
3.902200000000e+02,4.742500000000e+21
3.988200000000e+02,4.886400000000e+21
4.077300000000e+02,5.005500000000e+21
4.169700000000e+02,5.144700000000e+21
4.265500000000e+02,5.281400000000e+21
4.364600000000e+02,5.428900000000e+21
4.467300000000e+02,5.572000000000e+21
4.573700000000e+02,5.721300000000e+21
4.683700000000e+02,5.874600000000e+21
4.915400000000e+02,6.174900000000e+21
5.037200000000e+02,6.360300000000e+21
5.163300000000e+02,6.534000000000e+21
5.293400000000e+02,6.711700000000e+21
5.428000000000e+02,6.895600000000e+21
5.567100000000e+02,7.085700000000e+21
5.710600000000e+02,7.282700000000e+21
5.858800000000e+02,7.486100000000e+21
6.011800000000e+02,7.696700000000e+21
6.169800000000e+02,7.914200000000e+21
6.333000000000e+02,8.142600000000e+21
6.501500000000e+02,8.377700000000e+21
