# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_cef4e4cddd766caebb9b"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "70Ge^+(2P1/2)"
# neutral: "Kr"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 69.9242, M = 83.798, &alpha; = 2.4953."
# updated: "2022-01-15 19:59:33"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14055_neutral_8_37_38/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "522feb610bfd5cc5fdca4775da9a7d9707320cbb76d1367d0f8683fbfc18d3f7"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,3.410000000000e+19
1.400000000000e-01,3.410000000000e+19
5.700000000000e-01,3.410000000000e+19
1.000000000000e+00,3.410000000000e+19
2.440000000000e+00,3.420000000000e+19
3.420000000000e+00,3.440000000000e+19
4.100000000000e+00,3.450000000000e+19
4.930000000000e+00,3.470000000000e+19
6.520000000000e+00,3.520000000000e+19
7.490000000000e+00,3.550000000000e+19
8.620000000000e+00,3.600000000000e+19
1.043000000000e+01,3.690000000000e+19
1.096000000000e+01,3.720000000000e+19
1.150000000000e+01,3.750000000000e+19
1.208000000000e+01,3.780000000000e+19
1.332000000000e+01,3.860000000000e+19
1.399000000000e+01,3.910000000000e+19
1.543000000000e+01,4.010000000000e+19
1.621000000000e+01,4.070000000000e+19
1.702000000000e+01,4.140000000000e+19
1.788000000000e+01,4.210000000000e+19
1.824000000000e+01,4.250000000000e+19
1.975000000000e+01,4.390000000000e+19
2.055000000000e+01,4.460000000000e+19
2.097000000000e+01,4.510000000000e+19
2.271000000000e+01,4.690000000000e+19
2.317000000000e+01,4.740000000000e+19
2.460000000000e+01,4.900000000000e+19
2.510000000000e+01,4.960000000000e+19
2.561000000000e+01,5.020000000000e+19
2.613000000000e+01,5.080000000000e+19
2.666000000000e+01,5.150000000000e+19
2.775000000000e+01,5.280000000000e+19
3.007000000000e+01,5.590000000000e+19
3.068000000000e+01,5.680000000000e+19
3.130000000000e+01,5.760000000000e+19
3.194000000000e+01,5.850000000000e+19
3.259000000000e+01,5.950000000000e+19
3.326000000000e+01,6.040000000000e+19
3.394000000000e+01,6.150000000000e+19
3.463000000000e+01,6.250000000000e+19
3.534000000000e+01,6.360000000000e+19
