# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_905254c4c7cad2163d44"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "73Ge^+(2P)"
# neutral: "Kr"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 72.9235, M = 83.798, &alpha; = 2.4953."
# updated: "2022-01-20 22:03:30"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14067_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "914c6f22585431581db8bed96ae3aff8c33a2b72c26ef2087fbf61a68b9ee730"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,3.895798016535e+21
1.400000000000e-01,3.895798016535e+21
5.700000000000e-01,3.895798016535e+21
1.000000000000e+00,3.895798016535e+21
1.750000000000e+00,3.895798016535e+21
2.450000000000e+00,3.895798016535e+21
4.110000000000e+00,3.895532851955e+21
4.940000000000e+00,3.895267687374e+21
7.510000000000e+00,3.894472193633e+21
8.640000000000e+00,3.893941864472e+21
9.500000000000e+00,3.893411535311e+21
1.045000000000e+01,3.892881206150e+21
1.334000000000e+01,3.891025054086e+21
1.401000000000e+01,3.890494724925e+21
1.704000000000e+01,3.887843079121e+21
1.862000000000e+01,3.886252091638e+21
1.938000000000e+01,3.885456597896e+21
2.057000000000e+01,3.884130774994e+21
2.098000000000e+01,3.883600445833e+21
2.141000000000e+01,3.883070116672e+21
2.184000000000e+01,3.882539787511e+21
2.228000000000e+01,3.882009458350e+21
2.273000000000e+01,3.881479129189e+21
2.318000000000e+01,3.880948800028e+21
2.365000000000e+01,3.880418470867e+21
2.413000000000e+01,3.879888141706e+21
2.561000000000e+01,3.878031989642e+21
2.666000000000e+01,3.876706166740e+21
2.946000000000e+01,3.872728698033e+21
3.005000000000e+01,3.871933204291e+21
3.066000000000e+01,3.871137710550e+21
3.256000000000e+01,3.868751229325e+21
3.322000000000e+01,3.867955735584e+21
3.389000000000e+01,3.867160241842e+21
3.458000000000e+01,3.866364748101e+21
3.672000000000e+01,3.863713102296e+21
3.823000000000e+01,3.862122114813e+21
3.901000000000e+01,3.861326621072e+21
4.227000000000e+01,3.858144646106e+21
4.401000000000e+01,3.856818823203e+21
4.582000000000e+01,3.855493000301e+21
4.867000000000e+01,3.853636848238e+21
5.066000000000e+01,3.852841354496e+21
5.274000000000e+01,3.852045860755e+21
5.381000000000e+01,3.851780696174e+21
5.602000000000e+01,3.851250367013e+21
5.831000000000e+01,3.850985202433e+21
6.192000000000e+01,3.850720037852e+21
6.444000000000e+01,3.850454873272e+21
6.573000000000e+01,3.850454873272e+21
6.705000000000e+01,3.850454873272e+21
6.977000000000e+01,3.850454873272e+21
7.117000000000e+01,3.850454873272e+21
7.259000000000e+01,3.850454873272e+21
7.404000000000e+01,3.850454873272e+21
7.551000000000e+01,3.850454873272e+21
7.702000000000e+01,3.850454873272e+21
7.855000000000e+01,3.850454873272e+21
8.169000000000e+01,3.850720037852e+21
8.331000000000e+01,3.850985202433e+21
8.495000000000e+01,3.851250367013e+21
8.663000000000e+01,3.851780696174e+21
9.008000000000e+01,3.853106519077e+21
9.185000000000e+01,3.853902012818e+21
9.365000000000e+01,3.854962671140e+21
9.736000000000e+01,3.857614316945e+21
9.927000000000e+01,3.859470469008e+21
1.012100000000e+02,3.861591785652e+21
1.031900000000e+02,3.863978266877e+21
1.052100000000e+02,3.867160241842e+21
1.072600000000e+02,3.870607381389e+21
1.093500000000e+02,3.874319685516e+21
1.114800000000e+02,3.878562318803e+21
1.136500000000e+02,3.883335281252e+21
1.158500000000e+02,3.888638572862e+21
1.180900000000e+02,3.894737358213e+21
1.203700000000e+02,3.901101308145e+21
1.226900000000e+02,3.907995587238e+21
1.250500000000e+02,3.915685360072e+21
1.274400000000e+02,3.923640297486e+21
1.298700000000e+02,3.932390728643e+21
1.323400000000e+02,3.941406324379e+21
1.348400000000e+02,3.950687084696e+21
1.425400000000e+02,3.978529365648e+21
1.478200000000e+02,3.996560557121e+21
1.505100000000e+02,4.005841317438e+21
1.532200000000e+02,4.015917571496e+21
1.638600000000e+02,4.040312712901e+21
1.701200000000e+02,4.051184460701e+21
2.008500000000e+02,4.101035401833e+21
2.246400000000e+02,4.131529328589e+21
4.121200000000e+02,4.284264126951e+21
4.217200000000e+02,4.276574354116e+21
4.316300000000e+02,4.265437441736e+21
4.418800000000e+02,4.253239871034e+21
5.792100000000e+02,4.094936616482e+21
5.941600000000e+02,4.074518943784e+21
6.096300000000e+02,4.053305777345e+21
6.254600000000e+02,4.033418433809e+21
6.418000000000e+02,4.010614279887e+21
6.586300000000e+02,3.989931442609e+21
6.759900000000e+02,3.966596959526e+21
7.504100000000e+02,3.874054520935e+21
7.703900000000e+02,3.849659379530e+21
7.908900000000e+02,3.827650719350e+21
8.119800000000e+02,3.803785907106e+21
8.336300000000e+02,3.780716588603e+21
8.558900000000e+02,3.757647270101e+21
8.787500000000e+02,3.734577951598e+21
9.022200000000e+02,3.711508633096e+21
9.263400000000e+02,3.688174150013e+21
9.510500000000e+02,3.665900325252e+21
9.764700000000e+02,3.642035513008e+21
1.056490000000e+03,3.575214038725e+21
1.113700000000e+03,3.529870895461e+21
1.143260000000e+03,3.507862235281e+21
1.173590000000e+03,3.486118739681e+21
1.204710000000e+03,3.464110079500e+21
