# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_676af5bbfdd08d5b5890"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "73Ge^+(2P3/2)"
# neutral: "Kr"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 72.9235, M = 83.798, &alpha; = 2.4953."
# updated: "2022-01-20 22:17:55"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14069_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "7fdc33b3bb648add1eec6c7c9ed608afef5e7d379d78f63960c887c0b69bf121"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,3.888638572862e+21
2.500000000000e-01,3.888638572862e+21
9.900000000000e-01,3.888638572862e+21
1.730000000000e+00,3.888638572862e+21
3.030000000000e+00,3.888638572862e+21
5.950000000000e+00,3.888903737442e+21
7.140000000000e+00,3.889168902023e+21
8.560000000000e+00,3.889434066603e+21
1.132000000000e+01,3.890229560345e+21
1.302000000000e+01,3.890759889506e+21
1.647000000000e+01,3.892085712408e+21
1.811000000000e+01,3.892881206150e+21
1.901000000000e+01,3.893411535311e+21
1.996000000000e+01,3.893941864472e+21
2.096000000000e+01,3.894472193633e+21
2.200000000000e+01,3.895267687374e+21
2.310000000000e+01,3.896063181116e+21
2.546000000000e+01,3.897919333179e+21
2.672000000000e+01,3.898979991501e+21
2.805000000000e+01,3.900040649823e+21
3.091000000000e+01,3.902957460208e+21
3.215000000000e+01,3.904283283111e+21
3.279000000000e+01,3.905078776852e+21
3.344000000000e+01,3.905874270594e+21
3.410000000000e+01,3.906669764335e+21
3.478000000000e+01,3.907465258077e+21
3.547000000000e+01,3.908260751818e+21
3.689000000000e+01,3.910116903882e+21
3.762000000000e+01,3.911177562204e+21
3.836000000000e+01,3.912238220525e+21
3.912000000000e+01,3.913298878847e+21
3.989000000000e+01,3.914359537169e+21
4.068000000000e+01,3.915685360072e+21
4.149000000000e+01,3.916746018394e+21
4.230000000000e+01,3.918071841296e+21
4.314000000000e+01,3.919397664199e+21
4.399000000000e+01,3.920723487101e+21
4.485000000000e+01,3.922049310004e+21
4.574000000000e+01,3.923375132906e+21
4.664000000000e+01,3.924966120389e+21
4.755000000000e+01,3.926557107872e+21
4.849000000000e+01,3.928148095355e+21
4.944000000000e+01,3.929739082838e+21
5.553000000000e+01,3.940610830638e+21
5.662000000000e+01,3.942732147282e+21
5.772000000000e+01,3.944853463926e+21
5.884000000000e+01,3.946974780569e+21
5.998000000000e+01,3.949096097213e+21
6.114000000000e+01,3.951217413857e+21
6.233000000000e+01,3.953338730501e+21
6.354000000000e+01,3.955725211726e+21
6.477000000000e+01,3.957846528369e+21
6.602000000000e+01,3.960233009594e+21
6.730000000000e+01,3.962354326238e+21
6.859000000000e+01,3.965005972043e+21
6.991000000000e+01,3.967392453267e+21
7.126000000000e+01,3.969778934491e+21
7.263000000000e+01,3.972430580296e+21
7.403000000000e+01,3.975082226101e+21
7.545000000000e+01,3.977733871906e+21
7.988000000000e+01,3.984893315579e+21
8.141000000000e+01,3.987810125965e+21
8.297000000000e+01,3.990992100931e+21
8.456000000000e+01,3.993643746735e+21
8.781000000000e+01,4.000272861248e+21
8.949000000000e+01,4.003454836213e+21
9.120000000000e+01,4.006636811179e+21
9.294000000000e+01,4.010083950726e+21
9.472000000000e+01,4.013796254853e+21
9.652000000000e+01,4.017508558979e+21
9.836000000000e+01,4.021486027687e+21
1.002300000000e+02,4.025728660974e+21
1.021400000000e+02,4.029706129682e+21
1.040800000000e+02,4.034479092131e+21
1.080700000000e+02,4.044290181609e+21
1.101300000000e+02,4.049593473218e+21
1.122100000000e+02,4.054896764828e+21
1.143400000000e+02,4.060730385599e+21
1.165100000000e+02,4.066298841789e+21
1.187100000000e+02,4.072397627140e+21
1.209600000000e+02,4.078761577072e+21
1.232400000000e+02,4.084860362423e+21
1.255600000000e+02,4.091489476936e+21
1.279200000000e+02,4.098118591448e+21
1.303200000000e+02,4.104747705960e+21
1.327600000000e+02,4.111376820472e+21
1.352400000000e+02,4.118271099565e+21
1.377700000000e+02,4.124900214077e+21
1.403200000000e+02,4.131794493170e+21
1.429200000000e+02,4.138423607682e+21
1.455700000000e+02,4.144787557614e+21
1.482600000000e+02,4.150886342965e+21
1.509800000000e+02,4.157515457477e+21
1.622900000000e+02,4.180054446819e+21
1.652200000000e+02,4.185092573848e+21
1.682000000000e+02,4.190130700877e+21
1.712300000000e+02,4.194373334165e+21
1.743000000000e+02,4.198881132033e+21
1.774200000000e+02,4.203123765321e+21
1.806000000000e+02,4.207101234029e+21
1.838200000000e+02,4.210813538155e+21
