# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_b80cf6f29b5dffcb90a3"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "74Ge^+(2P)"
# neutral: "Kr"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 83.798, &alpha; = 2.4953."
# updated: "2022-01-20 22:03:30"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14073_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "46f6ae8f08402eadbf971065897048c1c61f67403887dfc04d714834bc888e0f"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,3.882009458350e+21
1.400000000000e-01,3.882009458350e+21
5.700000000000e-01,3.882009458350e+21
1.000000000000e+00,3.882009458350e+21
1.750000000000e+00,3.882009458350e+21
2.460000000000e+00,3.882009458350e+21
3.440000000000e+00,3.881744293769e+21
4.950000000000e+00,3.881479129189e+21
5.700000000000e+00,3.881213964608e+21
7.540000000000e+00,3.880418470867e+21
9.530000000000e+00,3.879622977125e+21
1.049000000000e+01,3.879092647964e+21
1.101000000000e+01,3.878827483384e+21
1.214000000000e+01,3.878031989642e+21
1.275000000000e+01,3.877501660481e+21
1.339000000000e+01,3.876971331321e+21
1.406000000000e+01,3.876441002160e+21
1.477000000000e+01,3.875910672999e+21
1.629000000000e+01,3.874584850096e+21
1.710000000000e+01,3.873789356355e+21
1.796000000000e+01,3.872993862613e+21
1.869000000000e+01,3.872198368872e+21
1.945000000000e+01,3.871402875130e+21
2.024000000000e+01,3.870607381389e+21
2.148000000000e+01,3.869281558486e+21
2.192000000000e+01,3.868751229325e+21
2.236000000000e+01,3.868220900164e+21
2.281000000000e+01,3.867690571003e+21
2.327000000000e+01,3.867160241842e+21
2.373000000000e+01,3.866629912681e+21
2.421000000000e+01,3.866099583520e+21
2.570000000000e+01,3.864243431457e+21
3.139000000000e+01,3.856818823203e+21
3.203000000000e+01,3.856023329462e+21
3.268000000000e+01,3.855227835720e+21
3.401000000000e+01,3.853371683657e+21
3.470000000000e+01,3.852576189916e+21
3.612000000000e+01,3.850720037852e+21
3.837000000000e+01,3.848333556628e+21
3.914000000000e+01,3.847538062886e+21
4.598000000000e+01,3.841704442116e+21
4.691000000000e+01,3.841174112955e+21
4.787000000000e+01,3.840643783794e+21
4.884000000000e+01,3.840113454633e+21
5.188000000000e+01,3.838787631730e+21
5.400000000000e+01,3.837992137989e+21
5.510000000000e+01,3.837726973408e+21
5.736000000000e+01,3.837461808828e+21
5.852000000000e+01,3.837461808828e+21
6.213000000000e+01,3.837196644247e+21
6.339000000000e+01,3.837196644247e+21
6.466000000000e+01,3.837196644247e+21
6.596000000000e+01,3.836931479667e+21
6.729000000000e+01,3.836931479667e+21
6.864000000000e+01,3.836931479667e+21
7.002000000000e+01,3.836931479667e+21
7.142000000000e+01,3.836931479667e+21
7.285000000000e+01,3.836931479667e+21
7.430000000000e+01,3.836931479667e+21
7.578000000000e+01,3.836931479667e+21
7.729000000000e+01,3.836931479667e+21
8.039000000000e+01,3.837196644247e+21
8.198000000000e+01,3.837461808828e+21
8.525000000000e+01,3.837992137989e+21
8.865000000000e+01,3.838787631730e+21
9.039000000000e+01,3.839317960891e+21
9.217000000000e+01,3.840113454633e+21
9.398000000000e+01,3.841174112955e+21
9.583000000000e+01,3.842499935857e+21
9.770000000000e+01,3.843825758759e+21
9.963000000000e+01,3.845416746242e+21
1.015800000000e+02,3.847538062886e+21
1.055900000000e+02,3.853106519077e+21
1.076500000000e+02,3.856553658623e+21
1.097500000000e+02,3.860265962750e+21
1.118900000000e+02,3.864243431457e+21
1.140700000000e+02,3.868751229325e+21
1.162700000000e+02,3.874319685516e+21
1.185200000000e+02,3.880153306286e+21
1.208000000000e+02,3.886782420799e+21
1.231300000000e+02,3.893676699891e+21
1.255000000000e+02,3.900836143564e+21
1.279000000000e+02,3.909586574721e+21
1.303400000000e+02,3.918867335038e+21
