# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_7e5911ed4a83df35811d"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "74Ge^+(2P3/2)"
# neutral: "Kr"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 83.798, &alpha; = 2.4953."
# updated: "2022-01-20 22:17:55"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14075_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "675a86a82a6ca87a367c22b7d9a41b4fc8868ff6b5cfa3ef6c3d57dd2f059498"
reduced_electric_field_Td,reduced_transport_SI
8.000000000000e-02,3.934512045286e+21
3.200000000000e-01,3.934512045286e+21
1.260000000000e+00,3.934512045286e+21
2.210000000000e+00,3.934512045286e+21
3.870000000000e+00,3.934777209867e+21
5.420000000000e+00,3.935042374447e+21
7.590000000000e+00,3.935572703608e+21
9.100000000000e+00,3.935837868189e+21
1.092000000000e+01,3.936633361930e+21
1.256000000000e+01,3.937428855672e+21
1.444000000000e+01,3.938224349413e+21
1.660000000000e+01,3.939285007735e+21
1.909000000000e+01,3.940875995218e+21
2.099000000000e+01,3.942201818121e+21
2.308000000000e+01,3.943792805604e+21
2.423000000000e+01,3.944853463926e+21
2.544000000000e+01,3.945914122247e+21
2.670000000000e+01,3.946974780569e+21
2.803000000000e+01,3.948300603472e+21
2.942000000000e+01,3.949626426374e+21
3.088000000000e+01,3.950952249277e+21
3.242000000000e+01,3.952543236760e+21
3.402000000000e+01,3.954399388823e+21
3.571000000000e+01,3.956255540887e+21
3.748000000000e+01,3.958111692950e+21
3.933000000000e+01,3.960498174174e+21
4.011000000000e+01,3.961558832496e+21
4.090000000000e+01,3.962619490818e+21
4.171000000000e+01,3.963680149140e+21
4.253000000000e+01,3.964475642882e+21
4.337000000000e+01,3.965536301204e+21
4.423000000000e+01,3.966862124106e+21
4.510000000000e+01,3.967922782428e+21
4.599000000000e+01,3.968718276169e+21
4.690000000000e+01,3.969778934491e+21
4.782000000000e+01,3.971104757394e+21
4.876000000000e+01,3.972430580296e+21
4.972000000000e+01,3.973756403199e+21
5.070000000000e+01,3.974817061521e+21
5.170000000000e+01,3.976408049004e+21
5.271000000000e+01,3.977999036487e+21
5.375000000000e+01,3.978794530228e+21
5.481000000000e+01,3.980120353130e+21
