# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_916d3a4042050fa32523"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "76Ge^+(2P)"
# neutral: "Kr"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 75.9214, M = 83.798, &alpha; = 2.4953."
# updated: "2022-01-20 22:03:30"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14079_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "e4a2add3f406bc0c6a19b0981da55754b6e02745ef9b2e31d2b154a9f5cb0de4"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,3.854697506559e+21
1.400000000000e-01,3.854697506559e+21
1.770000000000e+00,3.854432341979e+21
4.990000000000e+00,3.853902012818e+21
5.740000000000e+00,3.853636848238e+21
6.600000000000e+00,3.853371683657e+21
9.600000000000e+00,3.852045860755e+21
1.056000000000e+01,3.851515531594e+21
1.109000000000e+01,3.851250367013e+21
1.349000000000e+01,3.849659379530e+21
1.416000000000e+01,3.849129050369e+21
1.487000000000e+01,3.848598721208e+21
1.722000000000e+01,3.846477404564e+21
1.809000000000e+01,3.845681910823e+21
1.882000000000e+01,3.844886417081e+21
1.959000000000e+01,3.844090923340e+21
2.038000000000e+01,3.843295429598e+21
2.121000000000e+01,3.842499935857e+21
2.164000000000e+01,3.841969606696e+21
2.207000000000e+01,3.841439277535e+21
2.252000000000e+01,3.840908948374e+21
2.297000000000e+01,3.840378619213e+21
2.343000000000e+01,3.839848290052e+21
2.438000000000e+01,3.838787631730e+21
2.538000000000e+01,3.837461808828e+21
2.589000000000e+01,3.836931479667e+21
2.641000000000e+01,3.836401150506e+21
2.977000000000e+01,3.831893352637e+21
3.038000000000e+01,3.831097858896e+21
3.099000000000e+01,3.830302365155e+21
3.162000000000e+01,3.829506871413e+21
3.226000000000e+01,3.828711377672e+21
3.291000000000e+01,3.827915883930e+21
3.357000000000e+01,3.827120390189e+21
3.425000000000e+01,3.826324896447e+21
3.566000000000e+01,3.824468744384e+21
3.638000000000e+01,3.823673250642e+21
3.712000000000e+01,3.822877756901e+21
3.787000000000e+01,3.822082263159e+21
3.864000000000e+01,3.821286769418e+21
4.187000000000e+01,3.818104794452e+21
4.272000000000e+01,3.817309300711e+21
4.448000000000e+01,3.815718313228e+21
4.538000000000e+01,3.815187984067e+21
4.725000000000e+01,3.813862161164e+21
