# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_c08d2aec69234410e3ca"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "76Ge^+(2P)"
# neutral: "Kr"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 75.9214, M = 83.798, &alpha; = 2.4953."
# updated: "2022-01-20 22:03:30"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14079_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "e4a2add3f406bc0c6a19b0981da55754b6e02745ef9b2e31d2b154a9f5cb0de4"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,3.811210515359e+21
2.100000000000e-01,3.811210515359e+21
8.300000000000e-01,3.811210515359e+21
1.440000000000e+00,3.811210515359e+21
2.530000000000e+00,3.811210515359e+21
3.540000000000e+00,3.810945350779e+21
4.960000000000e+00,3.810680186198e+21
7.140000000000e+00,3.810415021618e+21
8.210000000000e+00,3.810149857037e+21
1.086000000000e+01,3.809354363296e+21
1.249000000000e+01,3.808558869555e+21
1.374000000000e+01,3.808028540394e+21
1.511000000000e+01,3.807498211233e+21
1.587000000000e+01,3.807233046652e+21
1.666000000000e+01,3.806967882072e+21
1.837000000000e+01,3.806172388330e+21
1.930000000000e+01,3.805642059169e+21
2.026000000000e+01,3.805111730008e+21
2.128000000000e+01,3.804581400847e+21
2.235000000000e+01,3.804051071686e+21
2.347000000000e+01,3.803520742525e+21
2.464000000000e+01,3.802990413364e+21
2.588000000000e+01,3.802460084203e+21
2.640000000000e+01,3.802194919623e+21
2.693000000000e+01,3.801929755042e+21
2.974000000000e+01,3.800869096720e+21
3.034000000000e+01,3.800603932140e+21
3.095000000000e+01,3.800338767559e+21
3.157000000000e+01,3.800073602979e+21
3.221000000000e+01,3.799808438398e+21
3.285000000000e+01,3.799543273818e+21
3.351000000000e+01,3.799278109237e+21
3.419000000000e+01,3.799012944657e+21
3.702000000000e+01,3.798217450915e+21
3.852000000000e+01,3.797952286335e+21
4.089000000000e+01,3.797687121754e+21
4.516000000000e+01,3.797156792594e+21
4.607000000000e+01,3.797156792594e+21
4.699000000000e+01,3.797156792594e+21
4.794000000000e+01,3.797156792594e+21
5.189000000000e+01,3.798217450915e+21
5.293000000000e+01,3.798482615496e+21
5.399000000000e+01,3.798747780076e+21
5.507000000000e+01,3.799012944657e+21
