# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_dbaa0a43e34f8a2729af"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "76Ge^+(2P)"
# neutral: "Kr"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 75.9214, M = 83.798, &alpha; = 2.4953."
# updated: "2022-01-20 22:03:30"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14079_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "e4a2add3f406bc0c6a19b0981da55754b6e02745ef9b2e31d2b154a9f5cb0de4"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,3.793974817628e+21
2.500000000000e-01,3.793974817628e+21
1.020000000000e+00,3.793974817628e+21
1.780000000000e+00,3.793974817628e+21
3.110000000000e+00,3.793974817628e+21
4.350000000000e+00,3.793974817628e+21
6.100000000000e+00,3.793974817628e+21
7.320000000000e+00,3.793709653047e+21
8.780000000000e+00,3.793709653047e+21
1.010000000000e+01,3.793709653047e+21
1.161000000000e+01,3.793709653047e+21
1.335000000000e+01,3.793444488467e+21
1.535000000000e+01,3.793444488467e+21
1.689000000000e+01,3.793444488467e+21
1.858000000000e+01,3.793444488467e+21
1.951000000000e+01,3.793444488467e+21
2.048000000000e+01,3.793179323886e+21
2.151000000000e+01,3.793179323886e+21
2.258000000000e+01,3.793179323886e+21
2.371000000000e+01,3.793444488467e+21
2.490000000000e+01,3.793444488467e+21
2.614000000000e+01,3.793444488467e+21
2.745000000000e+01,3.793444488467e+21
2.882000000000e+01,3.793444488467e+21
3.027000000000e+01,3.793709653047e+21
3.241000000000e+01,3.793974817628e+21
3.508000000000e+01,3.794239982208e+21
3.723000000000e+01,3.794770311369e+21
3.873000000000e+01,3.795035475950e+21
3.951000000000e+01,3.795300640530e+21
4.192000000000e+01,3.795830969691e+21
4.276000000000e+01,3.796096134272e+21
4.361000000000e+01,3.796361298852e+21
4.448000000000e+01,3.796626463433e+21
4.537000000000e+01,3.796891628013e+21
4.627000000000e+01,3.797421957174e+21
4.814000000000e+01,3.797952286335e+21
5.007000000000e+01,3.798747780076e+21
5.862000000000e+01,3.802725248784e+21
5.979000000000e+01,3.803255577945e+21
6.098000000000e+01,3.803785907106e+21
6.342000000000e+01,3.805111730008e+21
6.726000000000e+01,3.807498211233e+21
7.134000000000e+01,3.810149857037e+21
7.868000000000e+01,3.815187984067e+21
8.023000000000e+01,3.816513806969e+21
8.181000000000e+01,3.818104794452e+21
8.342000000000e+01,3.819695781935e+21
8.506000000000e+01,3.821551933998e+21
8.844000000000e+01,3.825264238125e+21
9.018000000000e+01,3.827120390189e+21
9.195000000000e+01,3.829506871413e+21
9.747000000000e+01,3.837461808828e+21
9.937000000000e+01,3.840378619213e+21
1.013100000000e+02,3.843825758759e+21
1.032900000000e+02,3.847538062886e+21
1.073500000000e+02,3.855493000301e+21
1.137100000000e+02,3.870077052228e+21
1.159000000000e+02,3.875645508418e+21
1.181300000000e+02,3.881479129189e+21
1.203900000000e+02,3.887577914540e+21
1.226900000000e+02,3.893941864472e+21
1.250300000000e+02,3.900570978984e+21
1.298100000000e+02,3.914889866330e+21
1.322500000000e+02,3.922314474584e+21
1.347200000000e+02,3.930004247418e+21
1.372300000000e+02,3.937694020252e+21
1.397700000000e+02,3.945383793087e+21
1.423400000000e+02,3.953338730501e+21
1.449400000000e+02,3.961028503335e+21
1.475700000000e+02,3.968718276169e+21
1.502300000000e+02,3.976408049004e+21
1.529200000000e+02,3.983567492677e+21
1.556400000000e+02,3.990992100931e+21
1.816700000000e+02,4.043759852448e+21
1.877500000000e+02,4.055427093989e+21
2.038400000000e+02,4.085125527004e+21
2.105400000000e+02,4.097323097706e+21
2.139900000000e+02,4.103952212219e+21
2.912400000000e+02,4.221154956794e+21
3.407400000000e+02,4.273657543731e+21
4.145300000000e+02,4.237064831624e+21
4.241600000000e+02,4.229375058790e+21
4.341200000000e+02,4.219829133892e+21
4.550300000000e+02,4.198615967453e+21
4.773300000000e+02,4.173955661467e+21
4.890300000000e+02,4.160697432443e+21
5.011200000000e+02,4.146378545097e+21
5.135900000000e+02,4.131264164009e+21
5.264600000000e+02,4.115089124599e+21
5.397300000000e+02,4.097853426867e+21
5.534200000000e+02,4.080352564555e+21
5.675300000000e+02,4.063116866823e+21
5.820900000000e+02,4.044555346189e+21
5.970800000000e+02,4.025463496394e+21
6.125200000000e+02,4.005576152857e+21
6.284300000000e+02,3.985953973901e+21
6.448100000000e+02,3.965536301204e+21
6.616800000000e+02,3.944588299345e+21
6.790700000000e+02,3.923375132906e+21
6.969500000000e+02,3.901896801886e+21
7.153400000000e+02,3.879888141706e+21
7.342600000000e+02,3.857879481525e+21
7.537100000000e+02,3.835870821345e+21
7.737200000000e+02,3.813331832003e+21
7.942800000000e+02,3.791058007242e+21
8.154200000000e+02,3.768519017901e+21
8.371300000000e+02,3.745714863979e+21
8.594500000000e+02,3.722910710057e+21
8.823600000000e+02,3.700371720715e+21
9.058900000000e+02,3.677567566793e+21
9.300600000000e+02,3.655028577452e+21
9.548700000000e+02,3.632224423530e+21
9.803300000000e+02,3.609685434188e+21
1.006460000000e+03,3.587411609427e+21
1.033270000000e+03,3.564872620086e+21
1.060780000000e+03,3.542598795325e+21
1.089000000000e+03,3.520590135144e+21
1.117940000000e+03,3.498846639544e+21
1.147620000000e+03,3.476572814783e+21
1.178050000000e+03,3.454829319183e+21
1.209250000000e+03,3.433350988163e+21
1.241230000000e+03,3.412668150885e+21
1.274020000000e+03,3.391720149027e+21
1.307630000000e+03,3.370241818007e+21
1.342070000000e+03,3.349558980729e+21
1.377350000000e+03,3.329406472612e+21
1.413490000000e+03,3.309784293656e+21
1.450530000000e+03,3.289631785539e+21
1.488460000000e+03,3.269744442002e+21
1.527320000000e+03,3.250122263046e+21
1.567120000000e+03,3.231295577831e+21
1.607940000000e+03,3.211673398875e+21
1.649690000000e+03,3.193111878241e+21
