# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_7113b560471b52012b89"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "76Ge^+(2P1/2)"
# neutral: "Kr"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 75.9214, M = 83.798, &alpha; = 2.4953."
# updated: "2022-01-01 15:59:42"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14080_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "c8dcd8aa1825eb1e6700811f47744751fb79e5dda36168793e0254bb0be60d46"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,3.750487826428e+21
2.100000000000e-01,3.750487826428e+21
2.570000000000e+00,3.750222661847e+21
3.600000000000e+00,3.749957497267e+21
6.040000000000e+00,3.749162003525e+21
7.250000000000e+00,3.748631674364e+21
9.600000000000e+00,3.747305851462e+21
1.104000000000e+01,3.746245193140e+21
1.397000000000e+01,3.743593547335e+21
1.537000000000e+01,3.742267724432e+21
1.614000000000e+01,3.741472230691e+21
1.695000000000e+01,3.740676736949e+21
1.781000000000e+01,3.739616078628e+21
1.870000000000e+01,3.738555420306e+21
1.964000000000e+01,3.737494761984e+21
2.063000000000e+01,3.736168939081e+21
2.391000000000e+01,3.731395976632e+21
2.511000000000e+01,3.729539824569e+21
2.638000000000e+01,3.727683672506e+21
2.691000000000e+01,3.726888178764e+21
2.746000000000e+01,3.725827520442e+21
2.801000000000e+01,3.725032026701e+21
2.858000000000e+01,3.723971368379e+21
2.916000000000e+01,3.723175874637e+21
2.975000000000e+01,3.722115216315e+21
3.035000000000e+01,3.721054557993e+21
3.097000000000e+01,3.719993899671e+21
3.159000000000e+01,3.718933241349e+21
3.223000000000e+01,3.717607418447e+21
3.289000000000e+01,3.716546760125e+21
3.356000000000e+01,3.715220937223e+21
3.424000000000e+01,3.713895114320e+21
3.493000000000e+01,3.712569291418e+21
3.564000000000e+01,3.711243468515e+21
3.637000000000e+01,3.709917645613e+21
3.787000000000e+01,3.707000835227e+21
3.864000000000e+01,3.705409847745e+21
4.189000000000e+01,3.698780733232e+21
4.275000000000e+01,3.697189745749e+21
4.363000000000e+01,3.695333593686e+21
4.452000000000e+01,3.693477441623e+21
4.543000000000e+01,3.691621289559e+21
4.636000000000e+01,3.689499972915e+21
4.732000000000e+01,3.687643820852e+21
4.829000000000e+01,3.685522504208e+21
4.928000000000e+01,3.683401187564e+21
5.133000000000e+01,3.679158554276e+21
5.239000000000e+01,3.676772073052e+21
5.347000000000e+01,3.674650756408e+21
5.458000000000e+01,3.672529439764e+21
5.571000000000e+01,3.670142958540e+21
5.924000000000e+01,3.662983514866e+21
6.047000000000e+01,3.660597033642e+21
6.301000000000e+01,3.655293742032e+21
6.432000000000e+01,3.652642096227e+21
6.566000000000e+01,3.649990450422e+21
6.703000000000e+01,3.647338804618e+21
6.843000000000e+01,3.644687158813e+21
6.985000000000e+01,3.642035513008e+21
7.131000000000e+01,3.639383867203e+21
7.280000000000e+01,3.636997385979e+21
7.433000000000e+01,3.634345740174e+21
7.588000000000e+01,3.631694094369e+21
7.747000000000e+01,3.629042448564e+21
