# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_90d813676a803e50ca8a"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "76Ge^+(2P1/2)"
# neutral: "Kr"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 75.9214, M = 83.798, &alpha; = 2.4953."
# updated: "2022-01-01 15:59:42"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14080_neutral_8_37_38/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "c8dcd8aa1825eb1e6700811f47744751fb79e5dda36168793e0254bb0be60d46"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,3.818900288194e+21
1.500000000000e-01,3.818900288194e+21
5.800000000000e-01,3.818900288194e+21
1.020000000000e+00,3.818900288194e+21
1.780000000000e+00,3.818900288194e+21
3.500000000000e+00,3.818635123613e+21
4.200000000000e+00,3.818369959033e+21
5.040000000000e+00,3.818104794452e+21
6.660000000000e+00,3.817309300711e+21
7.660000000000e+00,3.816778971550e+21
9.690000000000e+00,3.815453148647e+21
1.067000000000e+01,3.814657654906e+21
1.120000000000e+01,3.814127325745e+21
1.176000000000e+01,3.813596996584e+21
1.235000000000e+01,3.813066667423e+21
1.362000000000e+01,3.811740844520e+21
1.430000000000e+01,3.810945350779e+21
1.502000000000e+01,3.810149857037e+21
1.577000000000e+01,3.809354363296e+21
1.657000000000e+01,3.808293704974e+21
1.740000000000e+01,3.807233046652e+21
1.827000000000e+01,3.806172388330e+21
1.864000000000e+01,3.805642059169e+21
1.902000000000e+01,3.805111730008e+21
2.019000000000e+01,3.803255577945e+21
2.101000000000e+01,3.801929755042e+21
2.187000000000e+01,3.800603932140e+21
2.231000000000e+01,3.799808438398e+21
2.276000000000e+01,3.799012944657e+21
2.322000000000e+01,3.798217450915e+21
2.368000000000e+01,3.797421957174e+21
2.416000000000e+01,3.796626463433e+21
2.515000000000e+01,3.794770311369e+21
2.566000000000e+01,3.793709653047e+21
2.618000000000e+01,3.792648994725e+21
2.671000000000e+01,3.791588336403e+21
2.725000000000e+01,3.790527678081e+21
2.953000000000e+01,3.786019880213e+21
3.012000000000e+01,3.784694057311e+21
3.074000000000e+01,3.783368234408e+21
