# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_dbc95b2ffcdfb8a281f4"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "7Li^+(1S0)"
# neutral: "N2"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Compiled Ko of Ellis et al., At. Data Nucl. Data Tables 22 (1978) 179."
# source_family: "compiled ko of ellis et al., at. data nucl. data tables 22 (1978) 179."
# comment: ""
# updated: "2011-12-12 12:28:42"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_014_7959_7959/003_mobility.txt"
# source_file_sha256: "693260b5f3b21526b01030aa8379732af8e823ce23642a1377809fd766d07e0b"
reduced_electric_field_Td,reduced_transport_SI
8.000000000000e+00,1.095129717417e+22
1.000000000000e+01,1.095129717417e+22
1.200000000000e+01,1.092478071612e+22
1.500000000000e+01,1.087174780002e+22
2.000000000000e+01,1.065961613563e+22
2.500000000000e+01,1.050051738734e+22
3.000000000000e+01,1.028838572295e+22
4.000000000000e+01,1.007625405856e+22
5.000000000000e+01,9.837605936119e+21
6.000000000000e+01,9.678507187826e+21
8.000000000000e+01,9.519408439533e+21
1.000000000000e+02,9.651990729777e+21
1.200000000000e+02,9.943671768314e+21
1.500000000000e+02,1.103084654832e+22
2.000000000000e+02,1.339081131466e+22
2.500000000000e+02,1.442495317857e+22
3.000000000000e+02,1.447798609467e+22
