# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_840b3eba54c0d95b20cf"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "CO2^+"
# neutral: "N2"
# gas_temperature_K: 298.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 298 K"
# group_comment: "Compiled Ko of Ellis et al., At. Data Nucl. Data Tables 22 (1978) 179."
# source_family: "compiled ko of ellis et al., at. data nucl. data tables 22 (1978) 179."
# comment: ""
# updated: "2010-05-14 15:04:20"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_031_221_221/001_mobility.txt"
# source_file_sha256: "145c84c6e342b82696a6823bcef89014ec065425f388e4cb1b759c35d426f9e8"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e+00,5.780587854647e+21
4.000000000000e+00,5.780587854647e+21
6.000000000000e+00,5.780587854647e+21
8.000000000000e+00,5.780587854647e+21
1.000000000000e+01,5.780587854647e+21
1.200000000000e+01,5.780587854647e+21
1.500000000000e+01,5.754071396598e+21
2.000000000000e+01,5.754071396598e+21
3.000000000000e+01,5.727554938549e+21
4.000000000000e+01,5.727554938549e+21
6.000000000000e+01,5.833620770744e+21
8.000000000000e+01,5.992719519037e+21
1.000000000000e+02,6.204851183428e+21
1.200000000000e+02,6.470015763916e+21
1.600000000000e+02,7.026861382942e+21
2.000000000000e+02,7.238993047333e+21
2.400000000000e+02,7.292025963430e+21
2.600000000000e+02,7.212476589284e+21
