# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_6c943eb6ac3a3d3bbeb5"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "12C(2P1/2)^+"
# neutral: "Ne"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 100 K"
# group_comment: "Ground State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "ground state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 12, M = 20.1797, &alpha; = 0.39488."
# updated: "2021-12-19 21:00:31"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_1382_neutral_38_39_40/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "4f19e85a5d30ef8dee75cfe3ac8030351ee575d9d0c79e470be28e3ac7836e45"
reduced_electric_field_Td,reduced_transport_SI
1.000000000000e-02,2.173156319392e+22
5.000000000000e-02,2.173156319392e+22
2.100000000000e-01,2.173156319392e+22
3.700000000000e-01,2.173129802934e+22
6.400000000000e-01,2.173129802934e+22
8.900000000000e-01,2.173076770018e+22
1.250000000000e+00,2.173023737102e+22
1.500000000000e+00,2.172944187728e+22
1.800000000000e+00,2.172864638354e+22
2.070000000000e+00,2.172785088980e+22
2.380000000000e+00,2.172652506690e+22
2.740000000000e+00,2.172493407941e+22
3.150000000000e+00,2.172307792735e+22
3.470000000000e+00,2.172122177529e+22
3.820000000000e+00,2.171910045864e+22
4.010000000000e+00,2.171777463574e+22
4.210000000000e+00,2.171644881284e+22
4.420000000000e+00,2.171485782535e+22
4.640000000000e+00,2.171326683787e+22
4.870000000000e+00,2.171141068581e+22
5.120000000000e+00,2.170928936916e+22
5.370000000000e+00,2.170716805252e+22
5.640000000000e+00,2.170584222962e+22
5.930000000000e+00,2.170212992549e+22
6.220000000000e+00,2.169921311511e+22
6.530000000000e+00,2.169603114014e+22
6.670000000000e+00,2.169470531724e+22
6.800000000000e+00,2.169311432975e+22
6.940000000000e+00,2.169178850685e+22
7.070000000000e+00,2.169019751937e+22
7.220000000000e+00,2.168860653189e+22
7.360000000000e+00,2.168701554440e+22
7.510000000000e+00,2.168515939234e+22
7.660000000000e+00,2.168356840486e+22
7.810000000000e+00,2.168171225279e+22
7.970000000000e+00,2.167985610073e+22
8.130000000000e+00,2.167773478409e+22
8.290000000000e+00,2.167587863202e+22
8.460000000000e+00,2.167375731538e+22
8.630000000000e+00,2.167163599873e+22
8.800000000000e+00,2.166951468209e+22
8.980000000000e+00,2.166712820087e+22
9.160000000000e+00,2.166500688422e+22
9.350000000000e+00,2.166262040300e+22
9.530000000000e+00,2.166023392177e+22
9.720000000000e+00,2.165784744055e+22
9.920000000000e+00,2.165546095932e+22
1.012000000000e+01,2.165280931352e+22
1.032000000000e+01,2.165042283230e+22
1.053000000000e+01,2.164803635107e+22
1.074000000000e+01,2.164538470527e+22
1.096000000000e+01,2.164326338862e+22
1.118000000000e+01,2.164087690740e+22
1.141000000000e+01,2.163822526159e+22
1.164000000000e+01,2.163557361579e+22
1.236000000000e+01,2.162841417211e+22
1.261000000000e+01,2.162735351379e+22
1.421000000000e+01,2.163053548876e+22
1.449000000000e+01,2.163371746372e+22
1.479000000000e+01,2.163663427411e+22
1.508000000000e+01,2.164087690740e+22
1.570000000000e+01,2.165333964268e+22
1.601000000000e+01,2.166209007384e+22
1.634000000000e+01,2.167375731538e+22
1.769000000000e+01,2.173341934599e+22
1.805000000000e+01,2.175542800617e+22
1.841000000000e+01,2.177611084345e+22
1.916000000000e+01,2.182993925329e+22
2.032000000000e+01,2.195377111237e+22
2.072000000000e+01,2.200415238267e+22
2.237000000000e+01,2.225871037994e+22
2.322000000000e+01,2.242947636977e+22
2.366000000000e+01,2.252864792287e+22
2.451000000000e+01,2.275218166422e+22
2.494000000000e+01,2.286142947139e+22
2.538000000000e+01,2.296855596190e+22
2.583000000000e+01,2.307939475655e+22
2.626000000000e+01,2.319155937409e+22
2.670000000000e+01,2.330611047286e+22
4.796000000000e+01,2.682935225381e+22
5.135000000000e+01,2.759302624562e+22
5.288000000000e+01,2.794304349186e+22
5.369000000000e+01,2.811274882338e+22
5.453000000000e+01,2.827980250909e+22
5.630000000000e+01,2.862451646372e+22
5.724000000000e+01,2.878096356621e+22
5.821000000000e+01,2.893210737709e+22
5.922000000000e+01,2.906999295894e+22
6.027000000000e+01,2.920787854079e+22
6.136000000000e+01,2.933250589362e+22
6.249000000000e+01,2.944387501743e+22
6.366000000000e+01,2.954463755801e+22
6.488000000000e+01,2.963744516119e+22
6.614000000000e+01,2.971699453533e+22
6.744000000000e+01,2.977002745143e+22
6.880000000000e+01,2.982836365914e+22
7.165000000000e+01,2.989730645006e+22
9.345000000000e+01,2.987874492943e+22
9.567000000000e+01,2.980715049270e+22
9.795000000000e+01,2.973025276436e+22
1.003100000000e+02,2.964805174441e+22
1.027400000000e+02,2.956054743284e+22
1.052400000000e+02,2.946773982967e+22
1.078200000000e+02,2.936697728909e+22
1.104700000000e+02,2.926356310270e+22
1.132000000000e+02,2.915749727050e+22
